cell_id,Indicator minor,Indicator minor conirostris/ussheri,Indicator minor [minor Group]
82541ffffffffff,13.0,0.0,12.0
8254affffffffff,108.0,0.0,91.0
8254e7fffffffff,33.0,0.0,28.0
8254f7fffffffff,45.0,0.0,38.0
825897fffffffff,21.0,5.0,12.0
8258a7fffffffff,8.0,0.0,8.0
8258b7fffffffff,2.0,2.0,0.0
8258cffffffffff,3.0,0.0,3.0
8258d7fffffffff,3.0,3.0,0.0
8258dffffffffff,2.0,1.0,1.0
8258e7fffffffff,16.0,0.0,12.0
825987fffffffff,2.0,0.0,2.0
82599ffffffffff,22.0,0.0,20.0
826a5ffffffffff,15.0,0.0,14.0
826a6ffffffffff,2.0,0.0,2.0
826ac7fffffffff,155.0,22.0,113.0
826acffffffffff,127.0,0.0,114.0
826adffffffffff,155.0,31.0,112.0
826aeffffffffff,46.0,2.0,44.0
826b17fffffffff,1.0,0.0,1.0
82750ffffffffff,32.0,29.0,1.0
82751ffffffffff,1.0,1.0,0.0
827527fffffffff,70.0,0.0,60.0
82752ffffffffff,37.0,12.0,23.0
827537fffffffff,2.0,0.0,2.0
827577fffffffff,1.0,0.0,1.0
8275affffffffff,1.0,1.0,0.0
827a47fffffffff,153.0,0.0,143.0
827a4ffffffffff,326.0,62.0,235.0
827a5ffffffffff,8.0,0.0,7.0
827a67fffffffff,140.0,0.0,129.0
827a6ffffffffff,344.0,0.0,303.0
827ac7fffffffff,10.0,0.0,10.0
827acffffffffff,120.0,0.0,107.0
827adffffffffff,6.0,0.0,6.0
827aeffffffffff,9.0,0.0,4.0
827b4ffffffffff,36.0,0.0,32.0
827b5ffffffffff,23.0,0.0,18.0
827b6ffffffffff,2.0,0.0,1.0
82828ffffffffff,3.0,3.0,0.0
8282d7fffffffff,6.0,6.0,0.0
828327fffffffff,4.0,0.0,4.0
828337fffffffff,3.0,0.0,3.0
829607fffffffff,17.0,0.0,17.0
82960ffffffffff,5.0,0.0,5.0
829617fffffffff,9.0,0.0,9.0
829627fffffffff,49.0,0.0,40.0
82962ffffffffff,27.0,0.0,24.0
829637fffffffff,14.0,0.0,12.0
829677fffffffff,1.0,0.0,0.0
829697fffffffff,191.0,0.0,167.0
82969ffffffffff,4.0,0.0,0.0
8296a7fffffffff,4.0,0.0,4.0
8296affffffffff,7.0,0.0,6.0
8296b7fffffffff,62.0,0.0,50.0
829707fffffffff,50.0,0.0,48.0
82970ffffffffff,16.0,0.0,15.0
829717fffffffff,29.0,0.0,29.0
82971ffffffffff,63.0,0.0,58.0
829727fffffffff,2.0,0.0,2.0
82972ffffffffff,67.0,0.0,57.0
829737fffffffff,3.0,0.0,2.0
829747fffffffff,21.0,0.0,15.0
82974ffffffffff,146.0,0.0,127.0
829757fffffffff,91.0,0.0,73.0
82975ffffffffff,45.0,0.0,39.0
829777fffffffff,6.0,0.0,6.0
82978ffffffffff,12.0,0.0,12.0
829797fffffffff,2.0,0.0,2.0
8297affffffffff,9.0,0.0,8.0
82ac87fffffffff,14.0,0.0,14.0
82ac97fffffffff,11.0,0.0,11.0
82aca7fffffffff,37.0,0.0,28.0
82acb7fffffffff,11.0,0.0,8.0
82ad37fffffffff,36.0,0.0,34.0
82bc0ffffffffff,8.0,0.0,6.0
82bc1ffffffffff,13.0,0.0,10.0
82bc47fffffffff,10.0,0.0,9.0
82bc4ffffffffff,7.0,0.0,6.0
82bc57fffffffff,5.0,0.0,3.0
82bc6ffffffffff,54.0,0.0,48.0
82bc77fffffffff,14.0,0.0,13.0
82bc8ffffffffff,19.0,0.0,18.0
82bc9ffffffffff,13.0,0.0,9.0
82bcc7fffffffff,83.0,0.0,74.0
82bccffffffffff,6.0,0.0,4.0
82bcd7fffffffff,200.0,0.0,162.0
82bcdffffffffff,127.0,0.0,119.0
82bce7fffffffff,92.0,0.0,86.0
82bceffffffffff,6.0,0.0,5.0
82bcf7fffffffff,292.0,0.0,241.0
