cell_id,Platyrinchus mystaceus,Platyrinchus mystaceus [albogularis Group],Platyrinchus mystaceus [mystaceus Group]
83a895fffffffff,8.0,0.0,0.0
83a8a0fffffffff,8.0,0.0,0.0
83a8a1fffffffff,645.0,0.0,29.0
83a8a2fffffffff,244.0,0.0,15.0
83a8a3fffffffff,127.0,0.0,1.0
83a8a5fffffffff,18.0,0.0,2.0
83a8a8fffffffff,5.0,0.0,0.0
83a8a9fffffffff,16.0,0.0,0.0
83a8aafffffffff,34.0,0.0,0.0
83a8abfffffffff,5.0,0.0,0.0
83a8acfffffffff,59.0,0.0,0.0
83a8adfffffffff,26.0,0.0,0.0
83a8aefffffffff,17.0,0.0,0.0
83a8c2fffffffff,45.0,0.0,10.0
83a8c6fffffffff,3.0,0.0,0.0
83a8d1fffffffff,25.0,0.0,0.0
83a8d4fffffffff,1.0,0.0,0.0
83a8d5fffffffff,2.0,0.0,0.0
83a8defffffffff,6.0,0.0,0.0
83a8ecfffffffff,19.0,0.0,0.0
83a8f1fffffffff,1.0,0.0,0.0
83a8f4fffffffff,8.0,0.0,0.0
83a8f6fffffffff,1.0,0.0,0.0
83a901fffffffff,4.0,0.0,0.0
83a903fffffffff,4.0,0.0,0.0
83a908fffffffff,14.0,0.0,0.0
83a909fffffffff,10.0,0.0,0.0
83a90afffffffff,1.0,0.0,0.0
83a90bfffffffff,2.0,0.0,0.0
83a90cfffffffff,5.0,0.0,0.0
83a90dfffffffff,14.0,0.0,0.0
83a90efffffffff,54.0,0.0,6.0
83a918fffffffff,11.0,0.0,0.0
83a919fffffffff,50.0,0.0,0.0
83a91bfffffffff,134.0,0.0,0.0
83a91dfffffffff,88.0,0.0,0.0
83a92afffffffff,2.0,0.0,0.0
83a92efffffffff,6.0,0.0,0.0
83a940fffffffff,1.0,0.0,0.0
83a942fffffffff,56.0,0.0,0.0
83a943fffffffff,167.0,0.0,0.0
83a946fffffffff,30.0,0.0,0.0
83a950fffffffff,137.0,0.0,0.0
83a951fffffffff,5.0,0.0,0.0
83a952fffffffff,18.0,0.0,3.0
83a953fffffffff,340.0,0.0,0.0
83a955fffffffff,45.0,0.0,0.0
83a956fffffffff,1.0,0.0,0.0
83a95afffffffff,35.0,0.0,0.0
83a95bfffffffff,3.0,0.0,0.0
83a95cfffffffff,51.0,0.0,0.0
83a95efffffffff,5.0,0.0,0.0
83a973fffffffff,2.0,0.0,0.0
83a976fffffffff,22.0,0.0,0.0
