cell_id,Vanellus miles,Vanellus miles miles,Vanellus miles novaehollandiae
846520dffffffff,12.0,0.0,0.0
8465263ffffffff,11.0,0.0,0.0
846526bffffffff,51.0,0.0,0.0
8472dcbffffffff,3.0,0.0,0.0
8472debffffffff,11.0,1.0,0.0
849419dffffffff,2.0,0.0,0.0
8494213ffffffff,2.0,0.0,0.0
84942c1ffffffff,4.0,0.0,0.0
84942d3ffffffff,2.0,0.0,0.0
84944bdffffffff,2.0,0.0,0.0
8494501ffffffff,15.0,7.0,0.0
8494503ffffffff,14.0,7.0,0.0
8494507ffffffff,5.0,5.0,0.0
849450bffffffff,405.0,93.0,0.0
8494511ffffffff,633.0,122.0,0.0
8494513ffffffff,29.0,4.0,0.0
8494515ffffffff,16.0,5.0,0.0
8494517ffffffff,80.0,24.0,0.0
849451bffffffff,4.0,0.0,0.0
849451dffffffff,3384.0,930.0,0.0
8494535ffffffff,16.0,0.0,0.0
8494537ffffffff,7.0,0.0,0.0
8494539ffffffff,72.0,12.0,0.0
849453bffffffff,6.0,0.0,0.0
849453dffffffff,3.0,2.0,0.0
8494551ffffffff,8.0,3.0,0.0
8494559ffffffff,31.0,0.0,0.0
8494597ffffffff,2.0,0.0,0.0
84945a5ffffffff,25.0,5.0,0.0
84945a7ffffffff,8.0,0.0,0.0
84945adffffffff,22.0,3.0,0.0
84945c3ffffffff,24.0,10.0,0.0
84945c5ffffffff,73.0,14.0,0.0
84945c7ffffffff,307.0,70.0,0.0
84945cbffffffff,2.0,0.0,0.0
84945cdffffffff,2.0,0.0,0.0
84945e1ffffffff,3.0,1.0,0.0
84945e3ffffffff,6.0,0.0,0.0
84945e5ffffffff,286.0,52.0,0.0
84945e7ffffffff,3.0,0.0,0.0
84945ebffffffff,279.0,49.0,0.0
8494601ffffffff,4.0,0.0,0.0
8494803ffffffff,799.0,71.0,0.0
8494807ffffffff,8.0,0.0,0.0
849480bffffffff,293.0,35.0,0.0
8494811ffffffff,196.0,15.0,0.0
8494819ffffffff,2.0,0.0,0.0
849481dffffffff,657.0,106.0,0.0
8494825ffffffff,83.0,29.0,0.0
8494855ffffffff,10.0,0.0,0.0
849485bffffffff,10.0,0.0,0.0
8494899ffffffff,4.0,0.0,0.0
84948cbffffffff,2.0,0.0,0.0
84948cdffffffff,13.0,3.0,0.0
8494903ffffffff,22.0,0.0,0.0
8494905ffffffff,2.0,0.0,0.0
8494911ffffffff,25.0,1.0,0.0
8494913ffffffff,1.0,0.0,0.0
849491bffffffff,5.0,2.0,0.0
8494963ffffffff,1.0,0.0,0.0
8494a9dffffffff,3.0,3.0,0.0
8494aa5ffffffff,2.0,0.0,0.0
8494aa7ffffffff,74.0,14.0,0.0
8494aadffffffff,6.0,0.0,0.0
8494ac7ffffffff,4.0,0.0,0.0
8494ad7ffffffff,3.0,0.0,0.0
8494ae3ffffffff,5.0,0.0,0.0
8494c17ffffffff,2.0,0.0,0.0
8494c49ffffffff,66.0,14.0,0.0
8494c69ffffffff,2.0,0.0,0.0
8494c91ffffffff,7.0,0.0,0.0
8494c99ffffffff,35.0,4.0,0.0
8494d45ffffffff,5.0,0.0,0.0
8494d59ffffffff,1.0,0.0,0.0
8494d5dffffffff,27.0,4.0,0.0
8494e21ffffffff,2.0,2.0,0.0
8494e23ffffffff,21.0,6.0,0.0
8494e25ffffffff,4.0,0.0,0.0
8494e29ffffffff,41.0,18.0,0.0
8494e2bffffffff,89.0,11.0,0.0
8494e35ffffffff,243.0,50.0,0.0
8494e3dffffffff,37.0,0.0,0.0
8494e81ffffffff,23.0,2.0,0.0
8494e85ffffffff,71.0,33.0,0.0
8494e87ffffffff,40.0,3.0,0.0
8494e93ffffffff,4.0,4.0,0.0
8494ea1ffffffff,12.0,0.0,0.0
8494ea5ffffffff,2.0,0.0,0.0
8494eb5ffffffff,5.0,0.0,0.0
8494ed3ffffffff,603.0,223.0,0.0
8494ed5ffffffff,2.0,0.0,0.0
8494ed7ffffffff,22.0,8.0,0.0
8494edbffffffff,25.0,3.0,0.0
8494eddffffffff,2.0,0.0,0.0
8494ee1ffffffff,10.0,1.0,0.0
8494ee3ffffffff,1.0,0.0,0.0
8494ee5ffffffff,2.0,2.0,0.0
8494ee7ffffffff,41.0,11.0,0.0
8494f33ffffffff,1.0,0.0,0.0
8494f5dffffffff,2.0,0.0,0.0
8494f61ffffffff,4.0,0.0,0.0
8494f65ffffffff,1.0,0.0,0.0
8494f6bffffffff,6.0,0.0,0.0
849b41bffffffff,1.0,0.0,0.0
849b6e7ffffffff,2.0,0.0,0.0
849c001ffffffff,2.0,0.0,0.0
849c009ffffffff,58.0,15.0,0.0
849c00bffffffff,12.0,4.0,0.0
849c011ffffffff,9.0,1.0,0.0
849c013ffffffff,2.0,0.0,0.0
849c015ffffffff,1.0,0.0,0.0
849c017ffffffff,54.0,15.0,0.0
849c019ffffffff,21.0,2.0,0.0
849c01dffffffff,15.0,9.0,0.0
849c051ffffffff,7.0,6.0,0.0
849c055ffffffff,5.0,0.0,0.0
849c057ffffffff,4.0,0.0,0.0
849c059ffffffff,60.0,8.0,0.0
849c05dffffffff,585.0,104.0,0.0
