cell_id,Carpodacus rubicilla,Carpodacus rubicilla rubicilla,Carpodacus rubicilla [severtzovi Group]
83204dfffffffff,2.0,0.0,0.0
832083fffffffff,3.0,0.0,0.0
832088fffffffff,1.0,0.0,1.0
83208afffffffff,2.0,0.0,0.0
83208cfffffffff,1.0,0.0,0.0
83208efffffffff,5.0,0.0,0.0
832400fffffffff,3.0,0.0,0.0
83240afffffffff,3.0,0.0,0.0
83241cfffffffff,1.0,0.0,0.0
832483fffffffff,2.0,0.0,0.0
832485fffffffff,2.0,0.0,0.0
832488fffffffff,6.0,0.0,0.0
83248afffffffff,2.0,0.0,0.0
832491fffffffff,1.0,0.0,1.0
832492fffffffff,2.0,0.0,0.0
832494fffffffff,6.0,0.0,0.0
832499fffffffff,2.0,0.0,2.0
83249cfffffffff,3.0,0.0,0.0
832513fffffffff,2.0,0.0,2.0
832516fffffffff,6.0,0.0,2.0
8325acfffffffff,4.0,0.0,0.0
832c09fffffffff,1.0,0.0,0.0
832c28fffffffff,184.0,61.0,0.0
832c2cfffffffff,26.0,8.0,0.0
832d53fffffffff,3.0,0.0,0.0
833c01fffffffff,1.0,0.0,0.0
833c03fffffffff,13.0,0.0,0.0
833c04fffffffff,4.0,0.0,3.0
833c06fffffffff,3.0,0.0,0.0
833c09fffffffff,5.0,0.0,2.0
833c0afffffffff,5.0,0.0,0.0
833c0dfffffffff,2.0,0.0,2.0
833c0efffffffff,67.0,0.0,0.0
833c31fffffffff,12.0,1.0,0.0
833c61fffffffff,2.0,0.0,2.0
833c63fffffffff,3.0,0.0,0.0
833c68fffffffff,4.0,0.0,0.0
833c6cfffffffff,2.0,0.0,0.0
833c6efffffffff,4.0,0.0,0.0
833c70fffffffff,1.0,0.0,0.0
833c72fffffffff,3.0,0.0,1.0
833d00fffffffff,125.0,0.0,0.0
833d04fffffffff,224.0,0.0,0.0
833d06fffffffff,246.0,0.0,0.0
833d15fffffffff,26.0,0.0,0.0
833d1cfffffffff,1.0,0.0,0.0
833d20fffffffff,1.0,0.0,0.0
833d22fffffffff,23.0,0.0,0.0
833d23fffffffff,1.0,0.0,0.0
833d26fffffffff,1.0,0.0,0.0
833d31fffffffff,4.0,0.0,0.0
833d33fffffffff,3.0,0.0,0.0
833d35fffffffff,11.0,0.0,0.0
833d49fffffffff,5.0,0.0,4.0
833d59fffffffff,2.0,0.0,0.0
