cell_id,Buteogallus anthracinus,Buteogallus anthracinus anthracinus,Buteogallus anthracinus [subtilis Group]
842990bffffffff,33.0,6.0,0.0
8429951ffffffff,2.0,2.0,0.0
8429953ffffffff,200.0,47.0,0.0
8429957ffffffff,10.0,4.0,0.0
8429b05ffffffff,3.0,2.0,0.0
8429b0dffffffff,2.0,0.0,0.0
8429b21ffffffff,2.0,0.0,0.0
8429b29ffffffff,738.0,11.0,0.0
8429b2dffffffff,1293.0,87.0,0.0
8429b61ffffffff,5.0,3.0,0.0
8429b65ffffffff,32.0,11.0,0.0
8429b67ffffffff,93.0,3.0,0.0
8429b6bffffffff,22.0,8.0,0.0
8429b6dffffffff,2.0,0.0,0.0
8444249ffffffff,87.0,2.0,0.0
844424dffffffff,9.0,4.0,0.0
8445011ffffffff,17.0,0.0,0.0
8445013ffffffff,2.0,0.0,0.0
8445017ffffffff,2.0,0.0,0.0
8445019ffffffff,30.0,3.0,0.0
844501bffffffff,3.0,0.0,0.0
8445051ffffffff,13.0,0.0,0.0
8445053ffffffff,341.0,47.0,0.0
8445057ffffffff,32.0,4.0,0.0
8445059ffffffff,171.0,0.0,0.0
844505bffffffff,724.0,44.0,0.0
844505dffffffff,4.0,0.0,0.0
8445085ffffffff,11.0,0.0,0.0
8445087ffffffff,11.0,0.0,0.0
844508dffffffff,6.0,0.0,0.0
8445091ffffffff,8.0,0.0,0.0
8445093ffffffff,4.0,1.0,0.0
8445097ffffffff,2.0,0.0,0.0
844509bffffffff,51.0,10.0,0.0
84450a1ffffffff,28.0,0.0,0.0
84450a3ffffffff,9.0,0.0,0.0
84450a5ffffffff,45.0,1.0,0.0
84450a7ffffffff,28.0,7.0,0.0
84450a9ffffffff,30.0,4.0,0.0
84450abffffffff,6.0,1.0,0.0
84450adffffffff,16.0,0.0,0.0
84450b1ffffffff,641.0,88.0,0.0
84450b5ffffffff,34.0,5.0,0.0
84450b9ffffffff,2.0,0.0,0.0
84450bdffffffff,6.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0
84450cdffffffff,4.0,2.0,0.0
84450d5ffffffff,2.0,0.0,0.0
84450e1ffffffff,94.0,0.0,0.0
84450e3ffffffff,38.0,6.0,0.0
84450e7ffffffff,26.0,4.0,0.0
84450ebffffffff,17.0,4.0,0.0
84450edffffffff,3.0,0.0,0.0
844519bffffffff,59.0,2.0,0.0
8445203ffffffff,78.0,0.0,2.0
8445205ffffffff,17.0,2.0,0.0
8445207ffffffff,126.0,8.0,2.0
8445209ffffffff,49.0,6.0,0.0
844520dffffffff,38.0,7.0,0.0
8445215ffffffff,2619.0,37.0,6.0
8445217ffffffff,90.0,2.0,0.0
8445219ffffffff,11.0,0.0,0.0
844521dffffffff,58.0,1.0,20.0
8445221ffffffff,174.0,13.0,8.0
8445223ffffffff,15.0,0.0,0.0
8445225ffffffff,628.0,37.0,39.0
8445227ffffffff,3.0,0.0,0.0
8445229ffffffff,2.0,0.0,0.0
844522bffffffff,337.0,8.0,28.0
844522dffffffff,5.0,0.0,0.0
8445231ffffffff,30.0,0.0,0.0
8445233ffffffff,447.0,26.0,0.0
844523bffffffff,112.0,4.0,0.0
