cell_id,Laterallus jamaicensis,Laterallus jamaicensis jamaicensis/coturniculus,Laterallus jamaicensis salinasi/murivagans,Laterallus jamaicensis tuerosi
834858fffffffff,8.0,0.0,0.0,0.0
83802bfffffffff,11.0,0.0,0.0,0.0
838155fffffffff,1.0,0.0,0.0,0.0
838e64fffffffff,42.0,0.0,0.0,29.0
838e66fffffffff,103.0,0.0,0.0,82.0
83b219fffffffff,73.0,0.0,0.0,0.0
83b2c5fffffffff,99.0,0.0,3.0,0.0
83b2d8fffffffff,26.0,0.0,0.0,0.0
83b2dafffffffff,5.0,0.0,0.0,0.0
83b2e2fffffffff,13.0,0.0,0.0,0.0
83b2e6fffffffff,3.0,0.0,0.0,0.0
