cell_id,Pyriglena maura,Pyriglena maura pacifica,Pyriglena maura castanoptera,Pyriglena maura picea,Pyriglena maura [maura Group]
8466c29ffffffff,1.0,0.0,0.0,0.0,0.0
8466c41ffffffff,12.0,0.0,0.0,0.0,0.0
8466c49ffffffff,14.0,0.0,0.0,0.0,0.0
8466c63ffffffff,1.0,0.0,0.0,0.0,0.0
8466d31ffffffff,34.0,1.0,0.0,0.0,0.0
8466d35ffffffff,3.0,0.0,0.0,0.0,0.0
8466d37ffffffff,5.0,2.0,0.0,0.0,0.0
8466de1ffffffff,9.0,0.0,9.0,0.0,0.0
8466e3dffffffff,5.0,0.0,0.0,0.0,0.0
848b617ffffffff,5.0,0.0,0.0,0.0,4.0
848b63bffffffff,5.0,0.0,0.0,0.0,0.0
848b693ffffffff,1.0,0.0,0.0,0.0,0.0
848b6edffffffff,2.0,0.0,0.0,0.0,0.0
848f0d1ffffffff,3.0,3.0,0.0,0.0,0.0
848f0dbffffffff,2.0,0.0,0.0,0.0,0.0
848f2c3ffffffff,1.0,1.0,0.0,0.0,0.0
848f2cbffffffff,4.0,0.0,0.0,0.0,0.0
848f4b3ffffffff,14.0,0.0,0.0,0.0,0.0
848f705ffffffff,1.0,0.0,1.0,0.0,0.0
