cell_id,Tangara velia,Tangara velia [velia Group],Tangara velia cyanomelas
845f00dffffffff,1.0,0.0,0.0
845f031ffffffff,1.0,0.0,0.0
845f03dffffffff,48.0,4.0,0.0
845f0d7ffffffff,1.0,0.0,0.0
845f0d9ffffffff,4.0,0.0,0.0
845f105ffffffff,6.0,0.0,0.0
845f107ffffffff,1.0,0.0,0.0
845f117ffffffff,4.0,0.0,0.0
845f129ffffffff,1.0,0.0,0.0
845f12bffffffff,2.0,0.0,0.0
845f139ffffffff,1.0,0.0,0.0
845f13dffffffff,1.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f163ffffffff,3.0,0.0,0.0
845f1cbffffffff,1.0,0.0,0.0
845f1cdffffffff,1.0,0.0,0.0
845f2b1ffffffff,1.0,0.0,0.0
845f2b3ffffffff,6.0,0.0,0.0
845f2b7ffffffff,1.0,0.0,0.0
845f2bbffffffff,1.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0
845f42bffffffff,6.0,0.0,0.0
845f549ffffffff,8.0,0.0,0.0
845f711ffffffff,16.0,0.0,0.0
845f713ffffffff,4.0,0.0,0.0
845f755ffffffff,1.0,0.0,0.0
845f757ffffffff,1.0,0.0,0.0
845f759ffffffff,15.0,0.0,0.0
845f75dffffffff,16.0,0.0,0.0
8466411ffffffff,72.0,0.0,0.0
8466415ffffffff,25.0,0.0,0.0
8466417ffffffff,10.0,0.0,0.0
846641dffffffff,42.0,2.0,0.0
8466437ffffffff,1.0,0.0,0.0
8466481ffffffff,1.0,0.0,0.0
8466485ffffffff,2.0,0.0,0.0
846648dffffffff,4.0,0.0,0.0
84664d5ffffffff,1.0,0.0,0.0
84665a3ffffffff,2.0,0.0,0.0
84665abffffffff,153.0,0.0,0.0
84665bdffffffff,90.0,6.0,0.0
84665e9ffffffff,7.0,0.0,0.0
8466637ffffffff,2.0,0.0,0.0
84666ebffffffff,2.0,0.0,0.0
8466c21ffffffff,129.0,0.0,0.0
8466c23ffffffff,35.0,0.0,0.0
8466c27ffffffff,9.0,0.0,0.0
8466c29ffffffff,28.0,0.0,0.0
8466c2bffffffff,11.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0
8466c35ffffffff,5.0,0.0,0.0
8466c37ffffffff,2.0,0.0,0.0
8466c53ffffffff,7.0,0.0,0.0
8466c57ffffffff,7.0,0.0,0.0
8466c5bffffffff,7.0,0.0,0.0
8466cc5ffffffff,2.0,0.0,0.0
8466cdbffffffff,1.0,0.0,0.0
8466ce1ffffffff,4.0,0.0,0.0
8466ce9ffffffff,2.0,0.0,0.0
8466d13ffffffff,12.0,0.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d1bffffffff,48.0,0.0,0.0
8466d81ffffffff,21.0,3.0,0.0
8466d89ffffffff,3.0,0.0,0.0
8466d8bffffffff,3.0,1.0,0.0
8466da9ffffffff,3.0,0.0,0.0
8466dadffffffff,8.0,0.0,0.0
8466db1ffffffff,10.0,1.0,0.0
8466db5ffffffff,4.0,0.0,0.0
8466dc3ffffffff,788.0,73.0,0.0
8466dc7ffffffff,22.0,0.0,0.0
8466dcbffffffff,22.0,0.0,0.0
8466dd1ffffffff,2.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0
8466dd5ffffffff,46.0,4.0,0.0
8466dd7ffffffff,3.0,1.0,0.0
8466ddbffffffff,5.0,0.0,0.0
8466dddffffffff,6.0,4.0,0.0
8466de1ffffffff,6.0,0.0,0.0
8466de3ffffffff,73.0,7.0,0.0
8466de7ffffffff,10.0,0.0,0.0
8466debffffffff,32.0,2.0,0.0
8466e17ffffffff,5.0,0.0,0.0
8466e8dffffffff,13.0,0.0,0.0
8466e9dffffffff,5.0,0.0,0.0
8466eadffffffff,12.0,0.0,0.0
8466ec3ffffffff,4.0,0.0,0.0
8466ec5ffffffff,39.0,0.0,0.0
8466ec7ffffffff,62.0,0.0,0.0
8466ecbffffffff,8.0,0.0,0.0
8466ee5ffffffff,57.0,0.0,0.0
8466eebffffffff,4.0,0.0,0.0
8466eedffffffff,8.0,0.0,0.0
8480469ffffffff,143.0,12.0,0.0
848046bffffffff,2.0,0.0,0.0
8480643ffffffff,2.0,0.0,0.0
8480655ffffffff,4.0,0.0,0.0
8480665ffffffff,2.0,0.0,0.0
84806b7ffffffff,8.0,1.0,0.0
8480713ffffffff,4.0,0.0,0.0
8480747ffffffff,2.0,0.0,0.0
8480759ffffffff,8.0,0.0,0.0
848075bffffffff,2.0,0.0,0.0
848075dffffffff,2.0,0.0,0.0
8481149ffffffff,2.0,0.0,0.0
8481163ffffffff,3.0,0.0,0.0
8481235ffffffff,1.0,0.0,0.0
8481321ffffffff,52.0,0.0,38.0
8481323ffffffff,18.0,0.0,14.0
8481327ffffffff,72.0,0.0,49.0
848132bffffffff,1.0,0.0,1.0
848132dffffffff,6.0,0.0,6.0
8481335ffffffff,4.0,0.0,4.0
8481339ffffffff,2.0,0.0,2.0
848133dffffffff,1.0,0.0,0.0
8481363ffffffff,33.0,0.0,25.0
84814d5ffffffff,7.0,3.0,0.0
84814d9ffffffff,3.0,0.0,0.0
84814e7ffffffff,3.0,0.0,0.0
8481803ffffffff,2.0,0.0,0.0
848180bffffffff,13.0,0.0,12.0
8481839ffffffff,3.0,0.0,3.0
8481851ffffffff,44.0,0.0,26.0
848a003ffffffff,1.0,0.0,0.0
848a00bffffffff,4.0,0.0,0.0
848a01dffffffff,9.0,2.0,0.0
848a049ffffffff,2.0,2.0,0.0
848a04bffffffff,2.0,0.0,0.0
848a051ffffffff,2.0,2.0,0.0
848a059ffffffff,19.0,3.0,0.0
848a05bffffffff,6.0,3.0,0.0
848a05dffffffff,5.0,5.0,0.0
848a069ffffffff,7.0,5.0,0.0
848a109ffffffff,12.0,0.0,0.0
848a155ffffffff,10.0,0.0,0.0
848a1a7ffffffff,4.0,0.0,0.0
848a213ffffffff,1.0,0.0,0.0
848a217ffffffff,2.0,0.0,0.0
848a21bffffffff,2.0,0.0,0.0
848a233ffffffff,2.0,2.0,0.0
848a23bffffffff,5.0,2.0,0.0
848a249ffffffff,2.0,0.0,0.0
848a313ffffffff,1.0,1.0,0.0
848a317ffffffff,3.0,0.0,0.0
848a337ffffffff,2.0,0.0,0.0
848a451ffffffff,2.0,0.0,0.0
848a459ffffffff,27.0,1.0,0.0
848a45bffffffff,9.0,0.0,0.0
848a45dffffffff,31.0,2.0,0.0
848a489ffffffff,3.0,0.0,0.0
848a565ffffffff,1.0,0.0,0.0
848a68bffffffff,4.0,0.0,0.0
848a699ffffffff,110.0,0.0,0.0
848a69dffffffff,3.0,0.0,0.0
848a6d1ffffffff,3.0,0.0,0.0
848a6d3ffffffff,11.0,0.0,0.0
848a6d7ffffffff,3.0,0.0,0.0
848a6d9ffffffff,14.0,0.0,0.0
848a6dbffffffff,40.0,0.0,0.0
848a6e5ffffffff,1.0,0.0,0.0
848a827ffffffff,2.0,0.0,0.0
848a8d9ffffffff,6.0,0.0,0.0
848a927ffffffff,17.0,0.0,0.0
848a9cdffffffff,6.0,0.0,0.0
848aa8bffffffff,11.0,0.0,0.0
848aa93ffffffff,3.0,0.0,0.0
848aa9dffffffff,23.0,0.0,0.0
848aab9ffffffff,4.0,0.0,0.0
848aaddffffffff,2.0,0.0,0.0
848adc5ffffffff,2.0,2.0,0.0
848af09ffffffff,25.0,8.0,0.0
848af0bffffffff,4.0,0.0,0.0
848af29ffffffff,42.0,9.0,0.0
848af2bffffffff,6.0,0.0,0.0
848af2dffffffff,12.0,2.0,0.0
848af41ffffffff,4.0,4.0,0.0
848af4dffffffff,3.0,3.0,0.0
848af61ffffffff,56.0,13.0,0.0
848af63ffffffff,45.0,4.0,0.0
848af67ffffffff,11.0,0.0,0.0
848af6bffffffff,11.0,0.0,0.0
848b0b5ffffffff,1.0,0.0,0.0
848b0bdffffffff,1.0,0.0,0.0
848b401ffffffff,1.0,0.0,0.0
848b40dffffffff,4.0,0.0,0.0
848b42dffffffff,4.0,0.0,0.0
848b445ffffffff,4.0,0.0,0.0
848b447ffffffff,2.0,0.0,0.0
848b44bffffffff,18.0,0.0,0.0
848b44dffffffff,17.0,0.0,0.0
848b459ffffffff,5.0,0.0,0.0
848b463ffffffff,2.0,0.0,0.0
848b469ffffffff,5.0,0.0,0.0
848b46bffffffff,2.0,0.0,0.0
848b521ffffffff,1.0,0.0,0.0
848b5cdffffffff,8.0,0.0,0.0
848b617ffffffff,23.0,0.0,0.0
848b627ffffffff,10.0,0.0,0.0
848b631ffffffff,1.0,0.0,0.0
848b633ffffffff,5.0,0.0,0.0
848b637ffffffff,91.0,0.0,0.0
848b63bffffffff,12.0,0.0,0.0
848b683ffffffff,3.0,0.0,0.0
848b691ffffffff,3.0,0.0,0.0
848b693ffffffff,5.0,0.0,0.0
848b697ffffffff,1.0,0.0,0.0
848b699ffffffff,1.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b6c3ffffffff,1.0,0.0,0.0
848b6cbffffffff,3.0,0.0,0.0
