cell_id,Hydrobates pelagicus,Hydrobates pelagicus pelagicus,Hydrobates pelagicus melitensis
8407411ffffffff,1.0,0.0,0.0
8407413ffffffff,1.0,0.0,0.0
8407417ffffffff,5.0,0.0,0.0
8407451ffffffff,1.0,0.0,0.0
84074e9ffffffff,36.0,0.0,0.0
84074edffffffff,11.0,0.0,0.0
84075d1ffffffff,34.0,0.0,0.0
84075d9ffffffff,7.0,0.0,0.0
8408281ffffffff,1.0,0.0,0.0
8409917ffffffff,2.0,0.0,0.0
840991bffffffff,3.0,0.0,0.0
84099e9ffffffff,2.0,0.0,0.0
8409a09ffffffff,2.0,0.0,0.0
8409a47ffffffff,2.0,0.0,0.0
8409a5dffffffff,1.0,0.0,0.0
8409a69ffffffff,6.0,1.0,0.0
8409a6bffffffff,27.0,8.0,0.0
8418011ffffffff,6.0,0.0,0.0
8418013ffffffff,8.0,5.0,0.0
8418015ffffffff,4.0,4.0,0.0
8418019ffffffff,4.0,4.0,0.0
841801dffffffff,8.0,0.0,0.0
841804bffffffff,1.0,0.0,0.0
8418051ffffffff,2.0,0.0,0.0
8418053ffffffff,294.0,184.0,0.0
8418057ffffffff,21.0,8.0,0.0
8418059ffffffff,26.0,2.0,0.0
841805bffffffff,3.0,0.0,0.0
841808bffffffff,1.0,1.0,0.0
84180c9ffffffff,3.0,2.0,0.0
84180cdffffffff,27.0,5.0,0.0
84180edffffffff,1.0,1.0,0.0
8418223ffffffff,1.0,0.0,0.0
8418235ffffffff,1.0,0.0,0.0
8418239ffffffff,2.0,0.0,0.0
841823dffffffff,1.0,0.0,0.0
8418255ffffffff,2.0,0.0,0.0
841828bffffffff,16.0,0.0,0.0
8418299ffffffff,4.0,2.0,0.0
84182a3ffffffff,2.0,2.0,0.0
84182bdffffffff,1.0,0.0,0.0
84182c9ffffffff,2.0,0.0,0.0
84182cbffffffff,9.0,0.0,0.0
84182d3ffffffff,1.0,0.0,0.0
84182d9ffffffff,1.0,0.0,0.0
84182e5ffffffff,4.0,3.0,0.0
8418409ffffffff,2.0,0.0,0.0
8418411ffffffff,1.0,0.0,0.0
8418425ffffffff,7.0,1.0,0.0
8418427ffffffff,1.0,0.0,0.0
8418429ffffffff,3.0,3.0,0.0
8418433ffffffff,2.0,0.0,0.0
841843bffffffff,2.0,0.0,0.0
8418443ffffffff,7.0,0.0,0.0
8418453ffffffff,2.0,0.0,0.0
8418455ffffffff,29.0,0.0,0.0
8418457ffffffff,8.0,0.0,0.0
8418461ffffffff,17.0,4.0,0.0
8418467ffffffff,2.0,0.0,0.0
841846bffffffff,3.0,0.0,0.0
841846dffffffff,5.0,1.0,0.0
8418495ffffffff,46.0,0.0,0.0
841849dffffffff,6.0,0.0,0.0
84184a3ffffffff,3.0,0.0,0.0
84184a5ffffffff,2.0,0.0,0.0
84184a7ffffffff,2.0,0.0,0.0
84184a9ffffffff,2.0,0.0,0.0
84184b1ffffffff,34.0,0.0,0.0
84184b5ffffffff,3.0,0.0,0.0
84184b9ffffffff,27.0,0.0,0.0
84184bdffffffff,45.0,0.0,0.0
84184c5ffffffff,8.0,0.0,0.0
84184e7ffffffff,2.0,0.0,0.0
84184e9ffffffff,5.0,0.0,0.0
84184ebffffffff,13.0,0.0,0.0
84184edffffffff,5.0,0.0,0.0
8418551ffffffff,1.0,0.0,0.0
8418553ffffffff,12.0,0.0,0.0
8418557ffffffff,22.0,0.0,0.0
8418595ffffffff,3.0,0.0,0.0
8418597ffffffff,3.0,0.0,0.0
84185bbffffffff,17.0,0.0,0.0
8418629ffffffff,1.0,1.0,0.0
84186a5ffffffff,3.0,0.0,0.0
84186a7ffffffff,8.0,5.0,0.0
8418705ffffffff,2.0,0.0,0.0
8418709ffffffff,6.0,0.0,0.0
841870dffffffff,69.0,13.0,0.0
841871bffffffff,4.0,0.0,0.0
8418729ffffffff,22.0,5.0,0.0
841873bffffffff,3.0,0.0,0.0
8418747ffffffff,7.0,0.0,0.0
8418763ffffffff,37.0,11.0,0.0
841876bffffffff,1.0,1.0,0.0
841901bffffffff,2.0,0.0,0.0
8419081ffffffff,3.0,0.0,0.0
8419083ffffffff,1.0,0.0,0.0
8419085ffffffff,3.0,0.0,0.0
8419087ffffffff,11.0,0.0,0.0
8419089ffffffff,4.0,3.0,0.0
841908dffffffff,1.0,0.0,0.0
8419097ffffffff,2.0,0.0,0.0
84190c1ffffffff,2.0,0.0,0.0
84190c5ffffffff,4.0,0.0,0.0
84190c7ffffffff,2.0,0.0,0.0
84190cdffffffff,4.0,0.0,0.0
84190e1ffffffff,1.0,0.0,0.0
84190e5ffffffff,2.0,0.0,0.0
84190e9ffffffff,2.0,0.0,0.0
84190ebffffffff,12.0,8.0,0.0
8419265ffffffff,4.0,0.0,0.0
841926dffffffff,2.0,0.0,0.0
8419289ffffffff,2.0,0.0,0.0
841928dffffffff,2.0,0.0,0.0
84192a7ffffffff,2.0,0.0,0.0
84192abffffffff,2.0,2.0,0.0
84192b1ffffffff,2.0,0.0,0.0
84192b7ffffffff,2.0,2.0,0.0
84192c3ffffffff,1.0,0.0,0.0
84192cbffffffff,10.0,4.0,0.0
8419401ffffffff,4.0,0.0,0.0
841940dffffffff,1.0,1.0,0.0
841946bffffffff,2.0,0.0,0.0
841946dffffffff,3.0,0.0,0.0
8419507ffffffff,17.0,2.0,0.0
841951dffffffff,2.0,2.0,0.0
8419533ffffffff,1.0,0.0,0.0
8419561ffffffff,2.0,0.0,0.0
8419567ffffffff,2.0,0.0,0.0
8419569ffffffff,3.0,0.0,0.0
8419581ffffffff,3.0,0.0,0.0
84195a7ffffffff,2.0,0.0,0.0
84195bbffffffff,3.0,0.0,0.0
841973bffffffff,10.0,1.0,0.0
8419769ffffffff,3.0,2.0,0.0
8434413ffffffff,1.0,0.0,0.0
84344c5ffffffff,7.0,0.0,0.0
84344cdffffffff,2.0,0.0,0.0
84344e9ffffffff,1.0,0.0,0.0
843460dffffffff,4.0,0.0,0.0
8434647ffffffff,1.0,0.0,0.0
843466bffffffff,10.0,0.0,0.0
8434689ffffffff,2.0,0.0,0.0
84346a9ffffffff,1.0,0.0,0.0
84346d7ffffffff,7.0,0.0,0.0
84346dbffffffff,21.0,0.0,0.0
84354bbffffffff,2.0,0.0,0.0
8438251ffffffff,21.0,0.0,0.0
8438253ffffffff,1.0,0.0,0.0
843826bffffffff,2.0,0.0,0.0
8439101ffffffff,42.0,0.0,0.0
8439105ffffffff,104.0,0.0,0.0
8439107ffffffff,4.0,0.0,0.0
843910dffffffff,12.0,0.0,0.0
8439113ffffffff,1.0,0.0,0.0
8439115ffffffff,14.0,3.0,0.0
8439117ffffffff,78.0,0.0,0.0
8439133ffffffff,2.0,0.0,0.0
8439149ffffffff,9.0,0.0,0.0
843914bffffffff,2.0,0.0,0.0
84391a1ffffffff,39.0,0.0,0.0
84391a9ffffffff,51.0,0.0,1.0
84391abffffffff,8.0,0.0,0.0
84391e1ffffffff,222.0,0.0,0.0
84391e7ffffffff,4.0,0.0,0.0
84391e9ffffffff,21.0,0.0,0.0
