cell_id,Prunella ocularis,Prunella ocularis ocularis,Prunella ocularis fagani
842c001ffffffff,2.0,2.0,0.0
842c003ffffffff,1.0,1.0,0.0
842c005ffffffff,1.0,1.0,0.0
842c009ffffffff,3.0,3.0,0.0
842c00dffffffff,2.0,0.0,0.0
842c015ffffffff,10.0,3.0,0.0
842c01dffffffff,1.0,1.0,0.0
842c033ffffffff,11.0,11.0,0.0
842c057ffffffff,59.0,45.0,0.0
842c067ffffffff,5.0,5.0,0.0
842c06bffffffff,3.0,3.0,0.0
842c06dffffffff,3.0,3.0,0.0
842c10bffffffff,2.0,2.0,0.0
842c119ffffffff,2.0,2.0,0.0
842c139ffffffff,2.0,2.0,0.0
842c157ffffffff,10.0,9.0,0.0
842c159ffffffff,2.0,2.0,0.0
842c15bffffffff,2.0,2.0,0.0
842c183ffffffff,2.0,2.0,0.0
842c191ffffffff,2.0,2.0,0.0
842c195ffffffff,4.0,4.0,0.0
842c19dffffffff,4.0,4.0,0.0
842c1ddffffffff,1.0,1.0,0.0
842c229ffffffff,2.0,2.0,0.0
842c261ffffffff,1.0,1.0,0.0
842c263ffffffff,36.0,34.0,0.0
842c269ffffffff,3.0,3.0,0.0
842c333ffffffff,13.0,13.0,0.0
842c33bffffffff,7.0,6.0,0.0
842c347ffffffff,1.0,1.0,0.0
842c8edffffffff,2.0,2.0,0.0
842ca8dffffffff,1.0,1.0,0.0
842cac7ffffffff,2.0,2.0,0.0
842cac9ffffffff,1.0,1.0,0.0
842cc21ffffffff,5.0,5.0,0.0
842cc2dffffffff,1.0,0.0,0.0
842cc33ffffffff,5.0,5.0,0.0
842cc35ffffffff,2.0,2.0,0.0
842cc37ffffffff,1.0,1.0,0.0
842cc65ffffffff,1.0,0.0,0.0
842cce3ffffffff,4.0,4.0,0.0
842cd43ffffffff,5.0,5.0,0.0
842cd49ffffffff,4.0,4.0,0.0
842cd4bffffffff,15.0,15.0,0.0
842cd59ffffffff,6.0,5.0,0.0
842cd5bffffffff,8.0,7.0,0.0
842cf15ffffffff,2.0,2.0,0.0
842cf31ffffffff,43.0,39.0,0.0
842cf33ffffffff,14.0,12.0,0.0
842cf35ffffffff,9.0,9.0,0.0
842cf37ffffffff,9.0,9.0,0.0
842cf3bffffffff,53.0,53.0,0.0
842cf3dffffffff,4.0,2.0,0.0
842cf55ffffffff,2.0,2.0,0.0
842d107ffffffff,1.0,1.0,0.0
842d12bffffffff,133.0,116.0,0.0
842d139ffffffff,2.0,1.0,0.0
842d13dffffffff,20.0,18.0,0.0
842d183ffffffff,2.0,2.0,0.0
842d1b9ffffffff,1.0,1.0,0.0
842d1e5ffffffff,3.0,3.0,0.0
842da81ffffffff,5.0,5.0,0.0
842da89ffffffff,10.0,8.0,0.0
842da8bffffffff,3.0,3.0,0.0
842dab9ffffffff,1.0,1.0,0.0
843f6dbffffffff,1.0,1.0,0.0
8442203ffffffff,2.0,2.0,0.0
844300dffffffff,3.0,3.0,0.0
84431c5ffffffff,2.0,0.0,0.0
84431e9ffffffff,2.0,2.0,0.0
8443259ffffffff,2.0,0.0,0.0
8443261ffffffff,7.0,6.0,0.0
8443267ffffffff,2.0,2.0,0.0
844333bffffffff,1.0,1.0,0.0
84521b9ffffffff,2.0,0.0,2.0
8452f59ffffffff,1.0,0.0,1.0
