cell_id,Actenoides princeps,Actenoides princeps princeps/erythrorhamphus,Actenoides princeps regalis
8368c6fffffffff,1.0,0.0,0.0
8368c8fffffffff,129.0,31.0,0.0
8368cafffffffff,35.0,3.0,0.0
8368cefffffffff,2.0,0.0,0.0
8368d2fffffffff,29.0,6.0,0.0
8368d3fffffffff,1.0,0.0,0.0
