cell_id,Anthus gustavi,Anthus gustavi gustavi/stejnegeri,Anthus gustavi menzbieri
83082dfffffffff,1.0,0.0,0.0
830980fffffffff,2.0,0.0,0.0
830991fffffffff,1.0,0.0,0.0
8309a0fffffffff,3.0,0.0,0.0
8309a4fffffffff,9.0,0.0,0.0
8309a6fffffffff,4.0,0.0,0.0
830ca4fffffffff,67.0,0.0,0.0
8314aefffffffff,1.0,0.0,1.0
831650fffffffff,3.0,0.0,0.0
831653fffffffff,1.0,0.0,0.0
831870fffffffff,2.0,0.0,0.0
831873fffffffff,2.0,0.0,0.0
83192cfffffffff,6.0,0.0,0.0
8322dbfffffffff,7.0,0.0,0.0
833083fffffffff,2.0,2.0,0.0
83309afffffffff,1.0,0.0,0.0
83309bfffffffff,10.0,0.0,0.0
83309dfffffffff,3.0,3.0,0.0
83312afffffffff,1.0,0.0,0.0
834103fffffffff,1.0,0.0,0.0
83411cfffffffff,1.0,0.0,0.0
834192fffffffff,1.0,0.0,0.0
8341a0fffffffff,1.0,1.0,0.0
8341a5fffffffff,1.0,0.0,0.0
8341b4fffffffff,1.0,1.0,0.0
8341b5fffffffff,4.0,4.0,0.0
8341b6fffffffff,1.0,0.0,0.0
834b32fffffffff,1.0,0.0,0.0
834b84fffffffff,7.0,3.0,0.0
834b86fffffffff,13.0,7.0,0.0
834ba0fffffffff,10.0,9.0,0.0
834ba1fffffffff,15.0,4.0,0.0
834ba3fffffffff,2.0,0.0,0.0
834bb1fffffffff,5.0,0.0,0.0
834bb5fffffffff,9.0,4.0,0.0
836802fffffffff,18.0,0.0,0.0
83694cfffffffff,2.0,0.0,0.0
83694efffffffff,13.0,0.0,0.0
839415fffffffff,2.0,0.0,0.0
83942cfffffffff,1.0,0.0,0.0
