cell_id,Pyrrhura melanura,Pyrrhura melanura pacifica,Pyrrhura melanura chapmani,Pyrrhura melanura [melanura Group]
845f42bffffffff,8.0,0.0,0.0,0.0
8466415ffffffff,127.0,0.0,0.0,0.0
846641dffffffff,10.0,0.0,0.0,0.0
8466485ffffffff,1.0,0.0,0.0,0.0
84665a7ffffffff,2.0,0.0,0.0,0.0
84665abffffffff,333.0,0.0,0.0,26.0
84665bdffffffff,360.0,0.0,0.0,15.0
84665e9ffffffff,14.0,0.0,0.0,0.0
8466637ffffffff,5.0,0.0,0.0,0.0
84666b3ffffffff,2.0,0.0,0.0,0.0
84666b9ffffffff,1.0,0.0,0.0,0.0
84666e3ffffffff,3.0,0.0,0.0,0.0
84666ebffffffff,3.0,0.0,0.0,0.0
8466c01ffffffff,1.0,0.0,0.0,0.0
8466c03ffffffff,3.0,0.0,0.0,0.0
8466c05ffffffff,4.0,0.0,0.0,0.0
8466c09ffffffff,5.0,0.0,0.0,0.0
8466c0dffffffff,216.0,0.0,0.0,0.0
8466c17ffffffff,4.0,0.0,0.0,0.0
8466c19ffffffff,5.0,0.0,0.0,0.0
8466c1dffffffff,3.0,0.0,0.0,0.0
8466c21ffffffff,174.0,0.0,10.0,8.0
8466c23ffffffff,26.0,0.0,0.0,0.0
8466c25ffffffff,6.0,0.0,0.0,0.0
8466c27ffffffff,18.0,0.0,0.0,0.0
8466c29ffffffff,37.0,0.0,0.0,0.0
8466c2bffffffff,7.0,0.0,0.0,0.0
8466c2dffffffff,35.0,0.0,0.0,2.0
8466c35ffffffff,10.0,0.0,0.0,0.0
8466c37ffffffff,4.0,0.0,0.0,0.0
8466c45ffffffff,3.0,0.0,0.0,0.0
8466c47ffffffff,78.0,0.0,0.0,0.0
8466c4bffffffff,12.0,0.0,0.0,0.0
8466c4dffffffff,27.0,0.0,0.0,0.0
8466c53ffffffff,3.0,0.0,0.0,0.0
8466c57ffffffff,7.0,0.0,0.0,0.0
8466c5dffffffff,60.0,0.0,0.0,0.0
8466c61ffffffff,20.0,0.0,0.0,0.0
8466c63ffffffff,293.0,0.0,0.0,0.0
8466c67ffffffff,51.0,0.0,0.0,0.0
8466c6bffffffff,58.0,0.0,0.0,0.0
