cell_id,Pterorhinus chinensis,Pterorhinus chinensis [chinensis Group],Pterorhinus chinensis monachus
844b845ffffffff,1.0,0.0,0.0
844ba01ffffffff,5.0,0.0,0.0
844ba03ffffffff,131.0,0.0,0.0
844ba05ffffffff,87.0,0.0,0.0
844ba07ffffffff,1.0,0.0,0.0
844ba0bffffffff,147.0,0.0,0.0
844ba11ffffffff,8.0,0.0,0.0
844ba15ffffffff,4.0,0.0,0.0
844ba1dffffffff,666.0,0.0,0.0
844ba21ffffffff,32.0,0.0,0.0
844ba25ffffffff,3.0,0.0,0.0
844ba29ffffffff,38.0,0.0,0.0
844ba2bffffffff,19.0,0.0,0.0
844ba3dffffffff,2.0,0.0,0.0
844ba57ffffffff,18.0,0.0,0.0
846520dffffffff,1.0,0.0,0.0
8465263ffffffff,3.0,0.0,0.0
