cell_id,Forpus modestus,Forpus modestus modestus,Forpus modestus sclateri
825f07fffffffff,9.0,0.0,0.0
825f47fffffffff,9.0,0.0,0.0
825f6ffffffffff,8.0,0.0,0.0
825f77fffffffff,9.0,1.0,0.0
826647fffffffff,19.0,8.0,0.0
82664ffffffffff,9.0,0.0,0.0
82665ffffffffff,153.0,0.0,2.0
82666ffffffffff,2.0,0.0,0.0
8266c7fffffffff,20.0,0.0,0.0
8266cffffffffff,29.0,0.0,0.0
8266dffffffffff,140.0,0.0,10.0
8266effffffffff,56.0,0.0,0.0
82814ffffffffff,28.0,0.0,20.0
828a07fffffffff,2.0,0.0,0.0
828a47fffffffff,49.0,0.0,0.0
828a4ffffffffff,2.0,0.0,0.0
828a6ffffffffff,84.0,0.0,0.0
828a87fffffffff,2.0,0.0,0.0
828a9ffffffffff,7.0,0.0,0.0
828ab7fffffffff,2.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b47fffffffff,214.0,0.0,0.0
828b4ffffffffff,8.0,0.0,0.0
828b57fffffffff,14.0,0.0,3.0
828b5ffffffffff,14.0,0.0,10.0
828b67fffffffff,47.0,0.0,0.0
828b6ffffffffff,10.0,0.0,0.0
828b77fffffffff,22.0,0.0,0.0
828b87fffffffff,8.0,0.0,4.0
828b9ffffffffff,435.0,0.0,44.0
828e67fffffffff,2.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
828f47fffffffff,3.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f67fffffffff,14.0,0.0,0.0
828f6ffffffffff,3.0,0.0,0.0
828f77fffffffff,22.0,0.0,0.0
82a8cffffffffff,5.0,0.0,5.0
