cell_id,Sclerurus albigularis,Sclerurus albigularis canigularis,Sclerurus albigularis [albigularis Group]
845f487ffffffff,7.0,0.0,0.0
845f4a7ffffffff,1.0,0.0,0.0
845f581ffffffff,1.0,0.0,0.0
845f583ffffffff,266.0,0.0,0.0
845f5b5ffffffff,12.0,0.0,0.0
845f5b9ffffffff,10.0,0.0,0.0
84660cbffffffff,2.0,0.0,0.0
84660d3ffffffff,1.0,0.0,0.0
846622bffffffff,867.0,0.0,0.0
8466b4dffffffff,20.0,0.0,0.0
8466c21ffffffff,2.0,0.0,0.0
8466d19ffffffff,3.0,0.0,0.0
8466de1ffffffff,40.0,0.0,0.0
8466debffffffff,1.0,0.0,0.0
8466e39ffffffff,2.0,0.0,0.0
8466e51ffffffff,2.0,0.0,0.0
8467413ffffffff,7.0,0.0,0.0
8467417ffffffff,6.0,0.0,0.0
8467425ffffffff,5.0,0.0,0.0
8467427ffffffff,1.0,0.0,0.0
8467433ffffffff,1.0,0.0,0.0
8467437ffffffff,51.0,0.0,0.0
846743bffffffff,6.0,0.0,0.0
84674e9ffffffff,2.0,0.0,0.0
84674ebffffffff,3.0,0.0,0.0
84674edffffffff,45.0,0.0,0.0
8467519ffffffff,12.0,0.0,0.0
84675c1ffffffff,5.0,0.0,0.0
84675c7ffffffff,1.0,0.0,0.0
84675c9ffffffff,8.0,0.0,0.0
84675cbffffffff,21.0,0.0,0.0
846d681ffffffff,37.0,0.0,0.0
846d68bffffffff,3.0,0.0,0.0
846d68dffffffff,3.0,0.0,0.0
846d691ffffffff,17.0,0.0,0.0
846d69bffffffff,10.0,0.0,0.0
846d69dffffffff,724.0,0.0,0.0
848b205ffffffff,7.0,0.0,0.0
848b211ffffffff,3.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b221ffffffff,1.0,0.0,0.0
848b229ffffffff,34.0,0.0,0.0
848b4e5ffffffff,2.0,0.0,0.0
848b709ffffffff,25.0,0.0,0.0
848f401ffffffff,1.0,0.0,0.0
848f439ffffffff,38.0,0.0,0.0
848f463ffffffff,1.0,0.0,0.0
848f549ffffffff,1.0,0.0,0.0
