cell_id,Lagopus lagopus,Lagopus lagopus scotica/hibernica,Lagopus lagopus [lagopus Group]
820887fffffffff,2.0,0.0,0.0
8209a7fffffffff,2.0,1.0,0.0
820c17fffffffff,20.0,0.0,0.0
820c1ffffffffff,10.0,0.0,0.0
820c77fffffffff,7.0,0.0,0.0
820cdffffffffff,22.0,0.0,0.0
820cf7fffffffff,1.0,0.0,0.0
820d4ffffffffff,1.0,0.0,0.0
820d67fffffffff,5.0,0.0,0.0
820d77fffffffff,41.0,0.0,0.0
820e2ffffffffff,4.0,0.0,0.0
820e47fffffffff,3.0,0.0,0.0
820e4ffffffffff,22.0,0.0,0.0
820e5ffffffffff,25.0,0.0,0.0
820e67fffffffff,4.0,0.0,0.0
820e6ffffffffff,12.0,0.0,0.0
820e87fffffffff,2.0,0.0,0.0
820e8ffffffffff,2.0,0.0,0.0
820ec7fffffffff,4.0,0.0,0.0
820ecffffffffff,5.0,0.0,0.0
820ee7fffffffff,13.0,0.0,0.0
820eeffffffffff,5.0,0.0,0.0
820ef7fffffffff,47.0,0.0,40.0
82126ffffffffff,5.0,0.0,0.0
821277fffffffff,12.0,0.0,0.0
82128ffffffffff,14.0,0.0,0.0
8212a7fffffffff,1.0,0.0,0.0
8212f7fffffffff,8.0,0.0,0.0
821387fffffffff,3.0,0.0,0.0
82138ffffffffff,1.0,0.0,0.0
821397fffffffff,26.0,0.0,0.0
8213a7fffffffff,2.0,0.0,0.0
821807fffffffff,2.0,2.0,0.0
82190ffffffffff,6.0,3.0,0.0
821947fffffffff,5.0,1.0,0.0
82195ffffffffff,1.0,0.0,0.0
821977fffffffff,6.0,1.0,0.0
821aa7fffffffff,34.0,0.0,0.0
821b87fffffffff,4.0,0.0,2.0
821b9ffffffffff,10.0,0.0,0.0
82204ffffffffff,6.0,0.0,0.0
822a37fffffffff,2.0,0.0,0.0
822ab7fffffffff,45.0,0.0,0.0
822b17fffffffff,1.0,0.0,0.0
822b37fffffffff,2.0,0.0,0.0
822b87fffffffff,8.0,0.0,0.0
822b8ffffffffff,52.0,0.0,7.0
822b9ffffffffff,16.0,0.0,4.0
822ba7fffffffff,41.0,0.0,0.0
822bb7fffffffff,69.0,0.0,0.0
