cell_id,Crypturellus cinnamomeus,Crypturellus cinnamomeus occidentalis,Crypturellus cinnamomeus [cinnamomeus Group]
824507fffffffff,133.0,0.0,0.0
82450ffffffffff,2378.0,0.0,222.0
824527fffffffff,158.0,0.0,0.0
82452ffffffffff,4375.0,0.0,56.0
824537fffffffff,9.0,0.0,0.0
824577fffffffff,57.0,0.0,7.0
824807fffffffff,16.0,0.0,0.0
824837fffffffff,99.0,0.0,0.0
8248a7fffffffff,245.0,0.0,0.0
8248b7fffffffff,13.0,0.0,0.0
824997fffffffff,402.0,0.0,36.0
82499ffffffffff,607.0,0.0,2.0
8249affffffffff,171.0,36.0,0.0
8249b7fffffffff,27.0,0.0,0.0
82679ffffffffff,5.0,0.0,0.0
826d07fffffffff,117.0,0.0,15.0
826d27fffffffff,129.0,0.0,15.0
826d2ffffffffff,698.0,0.0,78.0
826d37fffffffff,125.0,0.0,2.0
826d67fffffffff,1146.0,0.0,0.0
826d6ffffffffff,2982.0,0.0,0.0
826d77fffffffff,390.0,0.0,0.0
