cell_id,Anthreptes longuemarei,Anthreptes longuemarei longuemarei/haussarum,Anthreptes longuemarei angolensis/nyassae
82541ffffffffff,3.0,0.0,0.0
8254affffffffff,29.0,1.0,0.0
8254e7fffffffff,32.0,6.0,0.0
8254effffffffff,1.0,0.0,0.0
8254f7fffffffff,24.0,1.0,0.0
82581ffffffffff,1.0,0.0,0.0
825887fffffffff,2.0,0.0,0.0
825897fffffffff,3.0,0.0,0.0
8258cffffffffff,7.0,2.0,0.0
8258d7fffffffff,1.0,0.0,0.0
8258dffffffffff,5.0,0.0,0.0
8258f7fffffffff,1.0,0.0,0.0
82599ffffffffff,1.0,0.0,0.0
826a17fffffffff,3.0,0.0,0.0
826a57fffffffff,1.0,0.0,0.0
826ac7fffffffff,9.0,1.0,0.0
826acffffffffff,3.0,0.0,0.0
826adffffffffff,7.0,0.0,0.0
826ae7fffffffff,6.0,6.0,0.0
826aeffffffffff,58.0,8.0,0.0
826b8ffffffffff,1.0,0.0,0.0
827527fffffffff,94.0,7.0,0.0
82752ffffffffff,1.0,0.0,0.0
827a6ffffffffff,2.0,0.0,2.0
827b4ffffffffff,3.0,0.0,0.0
827b6ffffffffff,3.0,0.0,0.0
82828ffffffffff,1.0,0.0,0.0
8282a7fffffffff,4.0,0.0,0.0
828317fffffffff,4.0,0.0,1.0
828327fffffffff,1.0,0.0,0.0
828337fffffffff,17.0,0.0,3.0
8283a7fffffffff,9.0,0.0,4.0
8283affffffffff,6.0,0.0,3.0
829607fffffffff,41.0,0.0,8.0
82960ffffffffff,9.0,0.0,0.0
829617fffffffff,32.0,0.0,13.0
82961ffffffffff,1.0,0.0,0.0
829627fffffffff,8.0,0.0,3.0
82962ffffffffff,7.0,0.0,0.0
829637fffffffff,34.0,0.0,13.0
829657fffffffff,6.0,0.0,0.0
829677fffffffff,4.0,0.0,0.0
8296a7fffffffff,3.0,0.0,1.0
8296affffffffff,2.0,0.0,2.0
8296b7fffffffff,72.0,0.0,26.0
829707fffffffff,32.0,0.0,2.0
829717fffffffff,35.0,0.0,9.0
82971ffffffffff,18.0,0.0,6.0
829757fffffffff,2.0,0.0,0.0
82975ffffffffff,1.0,0.0,0.0
82978ffffffffff,3.0,0.0,3.0
829797fffffffff,1.0,0.0,1.0
82979ffffffffff,1.0,0.0,0.0
8297a7fffffffff,2.0,0.0,2.0
8297affffffffff,2.0,0.0,1.0
