cell_id,Phylloscopus collybita,Phylloscopus collybita [collybita Group],Phylloscopus collybita tristis
820127fffffffff,13.0,0.0,0.0
820137fffffffff,29.0,0.0,0.0
820747fffffffff,47.0,4.0,0.0
82074ffffffffff,7.0,2.0,0.0
82075ffffffffff,17.0,3.0,0.0
820767fffffffff,114.0,23.0,0.0
820777fffffffff,28.0,5.0,0.0
820807fffffffff,89.0,2.0,0.0
820817fffffffff,169.0,7.0,0.0
82081ffffffffff,61.0,3.0,0.0
82082ffffffffff,22.0,0.0,0.0
820837fffffffff,100.0,2.0,0.0
820887fffffffff,137.0,7.0,0.0
82088ffffffffff,148.0,51.0,0.0
820897fffffffff,69.0,1.0,0.0
82089ffffffffff,932.0,62.0,5.0
8208a7fffffffff,80.0,18.0,0.0
8208affffffffff,5.0,0.0,0.0
8208b7fffffffff,101.0,5.0,0.0
8208c7fffffffff,7.0,0.0,0.0
8208cffffffffff,8.0,0.0,0.0
8208d7fffffffff,120.0,3.0,0.0
8208dffffffffff,61.0,2.0,0.0
8208e7fffffffff,9.0,0.0,0.0
8208effffffffff,44.0,2.0,0.0
8208f7fffffffff,17.0,0.0,0.0
82094ffffffffff,6.0,0.0,0.0
82095ffffffffff,47.0,0.0,0.0
820987fffffffff,231.0,4.0,0.0
82098ffffffffff,66.0,3.0,0.0
820997fffffffff,166.0,4.0,0.0
82099ffffffffff,220.0,29.0,0.0
8209a7fffffffff,452.0,68.0,43.0
8209affffffffff,12.0,0.0,0.0
8209b7fffffffff,2.0,0.0,0.0
820a37fffffffff,21.0,0.0,18.0
820a97fffffffff,2.0,0.0,2.0
820b9ffffffffff,3.0,0.0,3.0
820bb7fffffffff,14.0,0.0,5.0
821027fffffffff,4.0,0.0,0.0
8210affffffffff,1.0,0.0,0.0
8210c7fffffffff,248.0,6.0,52.0
8210d7fffffffff,8.0,0.0,5.0
8210dffffffffff,51.0,0.0,2.0
8210effffffffff,44.0,0.0,44.0
8210f7fffffffff,2.0,0.0,0.0
821107fffffffff,343.0,0.0,2.0
821117fffffffff,80.0,0.0,0.0
821127fffffffff,51.0,4.0,0.0
82112ffffffffff,46.0,2.0,0.0
821137fffffffff,122.0,16.0,0.0
821157fffffffff,6.0,0.0,0.0
82115ffffffffff,1.0,0.0,0.0
821187fffffffff,131.0,11.0,0.0
82118ffffffffff,346.0,24.0,0.0
821197fffffffff,10.0,0.0,0.0
82119ffffffffff,13.0,0.0,0.0
8211a7fffffffff,24.0,0.0,0.0
8211affffffffff,839.0,74.0,0.0
8211b7fffffffff,3.0,0.0,0.0
821597fffffffff,1.0,0.0,1.0
821807fffffffff,79.0,26.0,0.0
82180ffffffffff,42.0,2.0,0.0
821827fffffffff,65.0,19.0,0.0
82182ffffffffff,949.0,331.0,0.0
821847fffffffff,479.0,52.0,27.0
82184ffffffffff,7204.0,26.0,2.0
82185ffffffffff,1243.0,0.0,0.0
821867fffffffff,424.0,78.0,0.0
82186ffffffffff,666.0,44.0,2.0
