cell_id,Fregetta tropica,Fregetta tropica tropica,Fregetta tropica melanoleuca
84845e5ffffffff,1.0,0.0,0.0
849c005ffffffff,2.0,0.0,0.0
84ad369ffffffff,5.0,0.0,0.0
84bb537ffffffff,1.0,0.0,0.0
84bc225ffffffff,3.0,0.0,0.0
84bc653ffffffff,1.0,0.0,0.0
84bc693ffffffff,7.0,0.0,0.0
84bd433ffffffff,1.0,0.0,0.0
84bd485ffffffff,3.0,0.0,0.0
84bd4e3ffffffff,2.0,0.0,0.0
84bd4ebffffffff,3.0,0.0,0.0
84be0e3ffffffff,14.0,0.0,0.0
84be1d9ffffffff,1.0,0.0,0.0
84be889ffffffff,14.0,0.0,0.0
84be8c3ffffffff,14.0,0.0,0.0
84be8cbffffffff,8.0,0.0,0.0
84beaa5ffffffff,4.0,0.0,0.0
84beaa7ffffffff,2.0,0.0,0.0
84beab5ffffffff,26.0,0.0,0.0
84beab7ffffffff,109.0,0.0,0.0
84beae3ffffffff,6.0,0.0,0.0
84beae7ffffffff,1.0,0.0,0.0
84bf21bffffffff,2.0,0.0,0.0
84bf2b3ffffffff,1.0,0.0,0.0
84bf2bbffffffff,3.0,0.0,0.0
84bf2c7ffffffff,4.0,0.0,0.0
84bf2cdffffffff,2.0,0.0,0.0
84bf4c9ffffffff,88.0,0.0,0.0
84c3861ffffffff,3.0,0.0,0.0
84c3a15ffffffff,1.0,0.0,0.0
84c3a4dffffffff,1.0,0.0,0.0
84c3b13ffffffff,2.0,0.0,0.0
84c448bffffffff,1.0,0.0,0.0
84c44bdffffffff,2.0,0.0,0.0
84c9845ffffffff,3.0,0.0,0.0
84c9b03ffffffff,2.0,0.0,0.0
84c9b0bffffffff,6.0,0.0,0.0
84ca80dffffffff,2.0,0.0,0.0
84ca815ffffffff,2.0,0.0,0.0
84cc653ffffffff,2.0,0.0,0.0
84d09edffffffff,1.0,0.0,0.0
84d1409ffffffff,1.0,0.0,0.0
84d6a95ffffffff,1.0,0.0,0.0
84d6a97ffffffff,3.0,0.0,0.0
84d6d19ffffffff,1.0,0.0,0.0
84da00dffffffff,14.0,0.0,0.0
84da063ffffffff,3.0,0.0,0.0
84da083ffffffff,4.0,0.0,0.0
84da087ffffffff,1.0,0.0,0.0
84da093ffffffff,9.0,0.0,0.0
84da095ffffffff,2.0,0.0,0.0
84da097ffffffff,5.0,0.0,0.0
84da09bffffffff,2.0,0.0,0.0
84da0ddffffffff,1.0,0.0,0.0
84da189ffffffff,30.0,0.0,0.0
84da18bffffffff,2.0,0.0,0.0
84da1c3ffffffff,1.0,0.0,0.0
84da1d5ffffffff,20.0,0.0,0.0
84da537ffffffff,1.0,0.0,0.0
84da54dffffffff,1.0,0.0,0.0
84da723ffffffff,5.0,0.0,0.0
84da725ffffffff,5.0,0.0,0.0
84da731ffffffff,5.0,0.0,0.0
84da733ffffffff,15.0,0.0,0.0
84da735ffffffff,7.0,0.0,0.0
84da737ffffffff,3.0,0.0,0.0
84da73bffffffff,1.0,0.0,0.0
84da841ffffffff,1.0,0.0,0.0
84da84bffffffff,1.0,0.0,0.0
84daa91ffffffff,11.0,0.0,0.0
84daaa1ffffffff,1.0,0.0,0.0
84daaa9ffffffff,2.0,0.0,0.0
84daaabffffffff,2.0,0.0,0.0
84db337ffffffff,1.0,0.0,0.0
84db583ffffffff,1.0,0.0,0.0
84db635ffffffff,2.0,0.0,0.0
84db80bffffffff,13.0,0.0,0.0
84db81dffffffff,1.0,0.0,0.0
84db825ffffffff,9.0,0.0,0.0
84db857ffffffff,25.0,0.0,0.0
