cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
84002d7ffffffff,2.0,2.0,0.0
8401537ffffffff,2.0,0.0,0.0
84015a1ffffffff,18.0,18.0,0.0
84015a3ffffffff,12.0,12.0,0.0
84015a9ffffffff,2.0,0.0,0.0
84015adffffffff,1.0,1.0,0.0
84015e1ffffffff,2.0,2.0,0.0
8402411ffffffff,2.0,2.0,0.0
84024c1ffffffff,4.0,0.0,0.0
84024c9ffffffff,6.0,0.0,0.0
8406893ffffffff,1.0,0.0,0.0
840689bffffffff,1.0,0.0,0.0
8406967ffffffff,1.0,0.0,0.0
8406d1dffffffff,2.0,0.0,0.0
8406d45ffffffff,2.0,0.0,0.0
8406d4dffffffff,1.0,0.0,0.0
8406d69ffffffff,1.0,0.0,0.0
8406d6bffffffff,1.0,0.0,0.0
8406dd1ffffffff,1.0,0.0,0.0
84074e9ffffffff,1.0,0.0,0.0
8407581ffffffff,2.0,0.0,0.0
84075edffffffff,2.0,0.0,0.0
8407621ffffffff,1.0,0.0,0.0
8407623ffffffff,10.0,0.0,0.0
8407733ffffffff,2.0,2.0,0.0
84088e1ffffffff,2.0,0.0,2.0
8408937ffffffff,1.0,0.0,0.0
840898dffffffff,3.0,0.0,0.0
84089ebffffffff,4.0,0.0,0.0
84089edffffffff,2.0,0.0,0.0
840c143ffffffff,19.0,2.0,0.0
840ca43ffffffff,54.0,1.0,0.0
840d039ffffffff,31.0,7.0,0.0
840d667ffffffff,62.0,9.0,0.0
840e49bffffffff,3.0,0.0,0.0
840e805ffffffff,6.0,0.0,0.0
840ecc9ffffffff,33.0,0.0,0.0
840ee13ffffffff,1.0,0.0,0.0
840eea7ffffffff,37.0,0.0,0.0
840eee1ffffffff,3.0,0.0,0.0
840eee3ffffffff,2.0,0.0,0.0
840f483ffffffff,2.0,0.0,0.0
841126dffffffff,1.0,0.0,0.0
8412b03ffffffff,5.0,0.0,0.0
8416163ffffffff,1.0,1.0,0.0
841801dffffffff,2.0,0.0,0.0
8418059ffffffff,8.0,0.0,2.0
84182c9ffffffff,2.0,0.0,0.0
841846bffffffff,4.0,0.0,0.0
841870dffffffff,2.0,0.0,0.0
8418747ffffffff,10.0,0.0,0.0
84190a9ffffffff,4.0,0.0,0.0
84190ebffffffff,3.0,0.0,0.0
84191d9ffffffff,2.0,0.0,0.0
8419267ffffffff,1.0,0.0,1.0
841926dffffffff,1.0,0.0,1.0
84192c7ffffffff,2.0,0.0,0.0
841940dffffffff,2.0,0.0,0.0
8419411ffffffff,22.0,0.0,2.0
8419413ffffffff,3.0,0.0,0.0
8419415ffffffff,4.0,2.0,0.0
8419461ffffffff,2.0,0.0,0.0
841946bffffffff,2.0,0.0,0.0
8419483ffffffff,2.0,0.0,0.0
841948dffffffff,1.0,0.0,0.0
84194a1ffffffff,6.0,0.0,0.0
8419591ffffffff,5.0,0.0,0.0
84195b7ffffffff,6.0,0.0,0.0
84195bbffffffff,1.0,0.0,0.0
8419683ffffffff,3.0,0.0,0.0
8419689ffffffff,31.0,0.0,0.0
84196b1ffffffff,13.0,0.0,0.0
84196b3ffffffff,3.0,0.0,0.0
8419721ffffffff,2.0,0.0,0.0
8419729ffffffff,2.0,0.0,0.0
8419739ffffffff,1.0,0.0,0.0
841973dffffffff,2.0,0.0,0.0
841a849ffffffff,4.0,0.0,0.0
841aa07ffffffff,29.0,0.0,0.0
841aa0dffffffff,1.0,0.0,0.0
841aa23ffffffff,2.0,0.0,0.0
841aa35ffffffff,14.0,0.0,2.0
841aa3dffffffff,20.0,0.0,2.0
841aa47ffffffff,5.0,1.0,0.0
841ab1bffffffff,1.0,0.0,0.0
841b83bffffffff,3.0,0.0,0.0
841b8e1ffffffff,1.0,0.0,0.0
841b98dffffffff,19.0,0.0,0.0
841f00dffffffff,3.0,0.0,0.0
841f017ffffffff,5.0,0.0,0.0
841f01dffffffff,2.0,0.0,0.0
841f029ffffffff,2.0,0.0,0.0
841f069ffffffff,1.0,0.0,0.0
841f0c3ffffffff,2.0,0.0,0.0
841f0c7ffffffff,5.0,0.0,0.0
841f0ebffffffff,2.0,0.0,0.0
841f725ffffffff,8.0,0.0,0.0
84225a5ffffffff,2.0,0.0,0.0
8422db7ffffffff,19.0,5.0,0.0
84276c9ffffffff,3.0,1.0,0.0
842a065ffffffff,16.0,0.0,0.0
842a101ffffffff,6.0,0.0,0.0
842a10bffffffff,1.0,0.0,0.0
842a139ffffffff,7.0,0.0,0.0
842a13bffffffff,72.0,0.0,0.0
842a151ffffffff,8.0,5.0,0.0
842a159ffffffff,113.0,0.0,11.0
842a15dffffffff,6.0,0.0,0.0
842a301ffffffff,160.0,0.0,0.0
842a303ffffffff,41.0,0.0,3.0
842a307ffffffff,1.0,0.0,0.0
842a309ffffffff,264.0,0.0,0.0
842a30dffffffff,42.0,0.0,0.0
842a311ffffffff,2.0,0.0,2.0
842a313ffffffff,8.0,0.0,0.0
842a315ffffffff,18.0,0.0,0.0
842a317ffffffff,2.0,0.0,0.0
842a31dffffffff,212.0,79.0,70.0
842a333ffffffff,120.0,0.0,0.0
842a337ffffffff,1.0,0.0,0.0
842a33bffffffff,8.0,0.0,0.0
842a341ffffffff,13.0,0.0,0.0
842a347ffffffff,55.0,0.0,1.0
842a349ffffffff,156.0,0.0,14.0
842aa49ffffffff,3.0,0.0,3.0
842aad1ffffffff,2.0,0.0,0.0
842aad3ffffffff,1.0,0.0,0.0
842ad03ffffffff,17.0,0.0,0.0
842ad37ffffffff,48.0,0.0,0.0
842af03ffffffff,7.0,0.0,0.0
842b001ffffffff,2.0,0.0,0.0
842b007ffffffff,4.0,0.0,0.0
842b053ffffffff,3.0,0.0,0.0
842b057ffffffff,1.0,0.0,0.0
842b059ffffffff,5.0,0.0,0.0
842b06bffffffff,4.0,0.0,0.0
842b0a1ffffffff,9.0,0.0,0.0
842b0a5ffffffff,16.0,0.0,0.0
842b0a7ffffffff,19.0,0.0,0.0
842b0a9ffffffff,9.0,0.0,0.0
842b0c5ffffffff,3.0,0.0,0.0
842b0e3ffffffff,3.0,0.0,0.0
842b0ebffffffff,6.0,0.0,0.0
842b125ffffffff,11.0,0.0,0.0
842b127ffffffff,2.0,0.0,0.0
842b12dffffffff,23.0,0.0,0.0
842b167ffffffff,18.0,0.0,0.0
842b169ffffffff,38.0,0.0,0.0
842b181ffffffff,97.0,0.0,0.0
842b187ffffffff,346.0,0.0,0.0
842b18bffffffff,1.0,0.0,0.0
842b1b5ffffffff,142.0,0.0,0.0
842b1bdffffffff,6.0,0.0,0.0
842b1d5ffffffff,2.0,0.0,0.0
842b215ffffffff,1.0,0.0,1.0
842b217ffffffff,1.0,0.0,1.0
842b219ffffffff,2.0,0.0,0.0
842b235ffffffff,1.0,0.0,0.0
842b243ffffffff,5.0,0.0,0.0
842b255ffffffff,3.0,0.0,0.0
842b257ffffffff,5.0,0.0,0.0
842b2a3ffffffff,2.0,0.0,0.0
842b2a7ffffffff,2.0,0.0,0.0
842b2abffffffff,5.0,0.0,0.0
842b2adffffffff,2.0,0.0,0.0
842b2c5ffffffff,6.0,0.0,0.0
842b2e9ffffffff,14.0,0.0,0.0
842b2edffffffff,1.0,0.0,1.0
842b303ffffffff,10.0,0.0,0.0
842b315ffffffff,11.0,0.0,0.0
842b33bffffffff,1.0,0.0,0.0
842ba0bffffffff,1.0,0.0,0.0
842ba55ffffffff,1.0,0.0,0.0
842ba5bffffffff,1.0,0.0,0.0
842bac5ffffffff,9.0,0.0,0.0
842bacdffffffff,2.0,0.0,0.0
