cell_id,Puffinus assimilis,Puffinus assimilis assimilis,Puffinus assimilis haurakiensis,Puffinus assimilis kermadecensis,Puffinus assimilis tunneyi
84b9141ffffffff,1.0,0.0,0.0,0.0,0.0
84ba69dffffffff,1.0,0.0,0.0,0.0,0.0
84ba6d7ffffffff,1.0,1.0,0.0,0.0,0.0
84baa93ffffffff,1.0,0.0,0.0,1.0,0.0
84bb0a1ffffffff,1.0,0.0,0.0,0.0,0.0
84bb0a5ffffffff,2.0,0.0,0.0,0.0,0.0
84bb0a7ffffffff,1.0,0.0,0.0,0.0,0.0
84bb0adffffffff,2.0,0.0,0.0,0.0,0.0
84bb0e3ffffffff,3.0,0.0,3.0,0.0,0.0
84bb291ffffffff,2.0,0.0,0.0,0.0,0.0
84bb295ffffffff,4.0,1.0,0.0,0.0,0.0
84bb4adffffffff,1.0,0.0,0.0,0.0,0.0
84bb505ffffffff,1.0,0.0,0.0,0.0,0.0
84bb521ffffffff,1.0,0.0,1.0,0.0,0.0
84bb537ffffffff,36.0,5.0,0.0,0.0,0.0
84bb539ffffffff,3.0,0.0,0.0,0.0,0.0
84bb53dffffffff,3.0,0.0,0.0,0.0,0.0
84bb565ffffffff,5.0,0.0,2.0,0.0,0.0
84bb585ffffffff,1.0,1.0,0.0,0.0,0.0
84bb5e1ffffffff,1.0,0.0,1.0,0.0,0.0
84bb5e5ffffffff,3.0,3.0,0.0,0.0,0.0
84bd203ffffffff,4.0,0.0,0.0,0.0,0.0
84bd239ffffffff,3.0,0.0,0.0,0.0,0.0
84bd24bffffffff,2.0,0.0,0.0,0.0,0.0
84bd625ffffffff,1.0,0.0,0.0,0.0,0.0
84bd62dffffffff,3.0,0.0,0.0,0.0,0.0
84bd735ffffffff,1.0,0.0,0.0,1.0,0.0
84be0c7ffffffff,1.0,0.0,0.0,0.0,0.0
84be0e3ffffffff,1.0,0.0,0.0,0.0,0.0
84be0e7ffffffff,3.0,0.0,0.0,0.0,0.0
84be291ffffffff,1.0,0.0,0.0,0.0,0.0
84be297ffffffff,6.0,0.0,0.0,0.0,0.0
84be689ffffffff,2.0,0.0,0.0,0.0,0.0
84be8ddffffffff,5.0,0.0,0.0,0.0,0.0
84beab5ffffffff,1.0,0.0,0.0,0.0,0.0
84beab7ffffffff,11.0,9.0,0.0,0.0,0.0
84bf423ffffffff,4.0,0.0,0.0,0.0,0.0
84bf443ffffffff,3.0,0.0,0.0,0.0,0.0
84bf445ffffffff,3.0,0.0,0.0,0.0,0.0
84bf4c9ffffffff,43.0,11.0,0.0,0.0,0.0
84bf6e7ffffffff,1.0,0.0,0.0,0.0,0.0
84bfa65ffffffff,1.0,1.0,0.0,0.0,0.0
84c9837ffffffff,11.0,0.0,0.0,0.0,0.0
84c9845ffffffff,18.0,0.0,0.0,0.0,8.0
84c984dffffffff,5.0,0.0,0.0,0.0,5.0
84d68b5ffffffff,2.0,0.0,0.0,0.0,0.0
84d6a9dffffffff,1.0,0.0,0.0,0.0,0.0
84d6d13ffffffff,3.0,0.0,0.0,0.0,0.0
84d6d85ffffffff,5.0,0.0,0.0,0.0,0.0
84d6d8dffffffff,9.0,0.0,0.0,0.0,0.0
84d6db3ffffffff,1.0,0.0,0.0,0.0,0.0
84d6dc5ffffffff,8.0,0.0,0.0,0.0,0.0
84d6de9ffffffff,2.0,0.0,0.0,0.0,0.0
84d6debffffffff,12.0,0.0,0.0,0.0,0.0
84da843ffffffff,1.0,0.0,0.0,0.0,0.0
84daa4bffffffff,1.0,0.0,0.0,0.0,0.0
84daa55ffffffff,1.0,0.0,0.0,0.0,0.0
84daaabffffffff,1.0,0.0,0.0,0.0,0.0
