cell_id,Cardinalis cardinalis,Cardinalis cardinalis [cardinalis Group],Cardinalis cardinalis carneus
822607fffffffff,2917.0,141.0,0.0
82260ffffffffff,14321.0,277.0,0.0
822617fffffffff,496.0,1.0,0.0
82261ffffffffff,2328.0,35.0,0.0
822627fffffffff,7150.0,0.0,0.0
82262ffffffffff,29328.0,30.0,0.0
822637fffffffff,53.0,0.0,0.0
822647fffffffff,40291.0,0.0,0.0
82264ffffffffff,39114.0,0.0,0.0
822657fffffffff,61132.0,0.0,0.0
82265ffffffffff,32077.0,81.0,0.0
822667fffffffff,102167.0,0.0,0.0
82266ffffffffff,44317.0,142.0,0.0
822677fffffffff,14862.0,142.0,0.0
82268ffffffffff,11.0,0.0,0.0
8226affffffffff,1424.0,21.0,0.0
8226c7fffffffff,11208.0,0.0,0.0
8226cffffffffff,37083.0,156.0,0.0
8226d7fffffffff,1784.0,6.0,0.0
8226dffffffffff,8324.0,31.0,0.0
8226e7fffffffff,25795.0,0.0,0.0
8226effffffffff,16526.0,2.0,0.0
8226f7fffffffff,2556.0,0.0,0.0
822707fffffffff,117.0,0.0,0.0
82270ffffffffff,189.0,0.0,0.0
822717fffffffff,2.0,0.0,0.0
82271ffffffffff,187.0,0.0,0.0
822747fffffffff,12968.0,0.0,0.0
82274ffffffffff,120738.0,0.0,0.0
822757fffffffff,22268.0,0.0,0.0
82275ffffffffff,96532.0,7.0,0.0
822767fffffffff,467.0,0.0,0.0
82276ffffffffff,9154.0,0.0,0.0
822777fffffffff,139.0,0.0,0.0
8227affffffffff,2.0,0.0,0.0
8229a7fffffffff,351.0,0.0,0.0
8229b7fffffffff,6450.0,0.0,0.0
822a07fffffffff,4058.0,0.0,0.0
822a17fffffffff,262814.0,176.0,0.0
822a37fffffffff,218258.0,190.0,0.0
822a4ffffffffff,1937.0,0.0,0.0
822a87fffffffff,63887.0,308.0,0.0
822a8ffffffffff,119833.0,470.0,0.0
822a97fffffffff,101084.0,0.0,0.0
822a9ffffffffff,23870.0,131.0,0.0
822aa7fffffffff,112174.0,114.0,0.0
822aaffffffffff,378499.0,4236.0,0.0
822ab7fffffffff,190634.0,107.0,0.0
822ad7fffffffff,28468.0,47.0,0.0
822af7fffffffff,51183.0,0.0,0.0
822b07fffffffff,5000.0,0.0,0.0
822b0ffffffffff,7971.0,0.0,0.0
822b17fffffffff,622.0,0.0,0.0
822b1ffffffffff,13370.0,0.0,0.0
822b27fffffffff,2.0,0.0,0.0
822b2ffffffffff,32.0,0.0,0.0
822b87fffffffff,46906.0,1521.0,0.0
822b8ffffffffff,87552.0,9.0,0.0
822b97fffffffff,655.0,0.0,0.0
822b9ffffffffff,148645.0,1042.0,0.0
822ba7fffffffff,3.0,0.0,0.0
822baffffffffff,98036.0,0.0,0.0
824417fffffffff,41443.0,1852.0,0.0
82441ffffffffff,51833.0,2761.0,0.0
824447fffffffff,39986.0,0.0,0.0
82444ffffffffff,13575.0,18.0,0.0
824457fffffffff,30350.0,0.0,0.0
82445ffffffffff,9846.0,0.0,0.0
824467fffffffff,1638.0,0.0,0.0
82446ffffffffff,81091.0,648.0,0.0
824477fffffffff,5057.0,0.0,0.0
8244a7fffffffff,23227.0,710.0,0.0
8244affffffffff,66696.0,2319.0,0.0
8244c7fffffffff,54386.0,0.0,0.0
8244cffffffffff,46749.0,161.0,0.0
8244d7fffffffff,59736.0,0.0,0.0
8244dffffffffff,63867.0,1802.0,0.0
8244e7fffffffff,26122.0,653.0,0.0
8244effffffffff,13435.0,0.0,0.0
8244f7fffffffff,66415.0,949.0,0.0
824507fffffffff,271.0,0.0,0.0
82450ffffffffff,3931.0,0.0,0.0
82451ffffffffff,68.0,0.0,0.0
82452ffffffffff,2784.0,0.0,0.0
824577fffffffff,705.0,0.0,0.0
82464ffffffffff,7518.0,0.0,0.0
824807fffffffff,556.0,0.0,0.0
82480ffffffffff,2682.0,0.0,0.0
824817fffffffff,17.0,0.0,0.0
82481ffffffffff,78.0,0.0,0.0
824827fffffffff,735.0,0.0,0.0
82482ffffffffff,1540.0,0.0,0.0
824837fffffffff,404.0,0.0,0.0
824857fffffffff,332.0,0.0,0.0
82485ffffffffff,2.0,0.0,0.0
824877fffffffff,130.0,0.0,0.0
824887fffffffff,15548.0,143.0,0.0
82488ffffffffff,7514.0,38.0,0.0
824897fffffffff,35627.0,163.0,0.0
82489ffffffffff,102295.0,457.0,0.0
8248a7fffffffff,1529.0,197.0,0.0
8248affffffffff,3640.0,33.0,0.0
8248b7fffffffff,56171.0,507.0,0.0
8248c7fffffffff,12896.0,0.0,0.0
8248cffffffffff,557.0,0.0,0.0
8248d7fffffffff,1176.0,0.0,0.0
8248dffffffffff,79.0,0.0,0.0
8248e7fffffffff,1129.0,0.0,0.0
8248effffffffff,75880.0,0.0,0.0
8248f7fffffffff,3700.0,104.0,0.0
824987fffffffff,196.0,0.0,0.0
82498ffffffffff,54.0,0.0,0.0
824997fffffffff,1468.0,75.0,0.0
82499ffffffffff,246.0,1.0,0.0
8249a7fffffffff,151.0,0.0,58.0
8249affffffffff,35.0,0.0,0.0
8249b7fffffffff,31.0,0.0,12.0
825d17fffffffff,9235.0,0.0,0.0
826d07fffffffff,51.0,0.0,7.0
826d17fffffffff,916.0,0.0,292.0
826d27fffffffff,4.0,0.0,0.0
826d37fffffffff,682.0,76.0,12.0
