cell_id,Thlypopsis superciliaris,Thlypopsis superciliaris chrysophrys,Thlypopsis superciliaris [superciliaris Group],Thlypopsis superciliaris leucogastra/insignis,Thlypopsis superciliaris urubambae
836601fffffffff,4.0,0.0,0.0,0.0,0.0
836608fffffffff,38.0,0.0,1.0,0.0,0.0
836609fffffffff,36.0,0.0,0.0,0.0,0.0
83660afffffffff,1.0,0.0,0.0,0.0,0.0
83660bfffffffff,98.0,0.0,0.0,0.0,0.0
83660cfffffffff,21.0,0.0,0.0,0.0,0.0
83660dfffffffff,8.0,0.0,0.0,0.0,0.0
836618fffffffff,74.0,0.0,0.0,0.0,0.0
836619fffffffff,73.0,0.0,0.0,0.0,0.0
83661bfffffffff,285.0,0.0,13.0,0.0,0.0
83661dfffffffff,75.0,0.0,0.0,0.0,0.0
836629fffffffff,56.0,15.0,0.0,0.0,0.0
83662bfffffffff,21.0,8.0,0.0,0.0,0.0
83662dfffffffff,3.0,0.0,0.0,0.0,0.0
836656fffffffff,3.0,0.0,0.0,0.0,0.0
8366c0fffffffff,10.0,0.0,0.0,0.0,0.0
8366c2fffffffff,21.0,0.0,0.0,0.0,0.0
8366c6fffffffff,216.0,0.0,0.0,0.0,0.0
8366d1fffffffff,25.0,0.0,2.0,0.0,0.0
8366d3fffffffff,1176.0,0.0,136.0,0.0,0.0
8366defffffffff,423.0,0.0,82.0,0.0,0.0
8366e0fffffffff,811.0,0.0,48.0,0.0,0.0
8366e2fffffffff,10.0,0.0,0.0,0.0,0.0
8366e4fffffffff,1317.0,0.0,25.0,0.0,0.0
8366e5fffffffff,222.0,0.0,2.0,0.0,0.0
8366e6fffffffff,3111.0,0.0,104.0,0.0,0.0
8366f1fffffffff,102.0,0.0,0.0,0.0,0.0
8366f3fffffffff,2.0,0.0,0.0,0.0,0.0
8366f5fffffffff,170.0,0.0,0.0,0.0,0.0
83675afffffffff,22.0,0.0,0.0,0.0,0.0
838b2cfffffffff,59.0,0.0,0.0,0.0,0.0
838b2dfffffffff,3.0,0.0,0.0,0.0,0.0
838b61fffffffff,696.0,0.0,0.0,0.0,61.0
838b6cfffffffff,242.0,0.0,0.0,0.0,20.0
838b75fffffffff,17.0,0.0,0.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0,0.0,0.0
838e61fffffffff,6.0,0.0,0.0,2.0,0.0
838e64fffffffff,16.0,0.0,0.0,5.0,0.0
838e65fffffffff,101.0,0.0,0.0,53.0,0.0
838e6cfffffffff,2.0,0.0,0.0,0.0,0.0
838e6dfffffffff,10.0,0.0,0.0,0.0,1.0
838f29fffffffff,15.0,0.0,0.0,0.0,0.0
838f2bfffffffff,8.0,0.0,0.0,0.0,0.0
838f2dfffffffff,20.0,0.0,4.0,0.0,0.0
838f42fffffffff,97.0,0.0,0.0,26.0,0.0
838f46fffffffff,29.0,0.0,0.0,0.0,0.0
838f4afffffffff,30.0,0.0,0.0,0.0,0.0
838f50fffffffff,20.0,0.0,0.0,0.0,0.0
838f51fffffffff,4.0,0.0,0.0,0.0,0.0
838f54fffffffff,25.0,0.0,0.0,0.0,0.0
838f55fffffffff,322.0,0.0,0.0,116.0,0.0
838f59fffffffff,89.0,0.0,0.0,23.0,0.0
838f5cfffffffff,14.0,0.0,0.0,0.0,0.0
838f5dfffffffff,8.0,0.0,0.0,0.0,0.0
838f72fffffffff,71.0,0.0,20.0,0.0,0.0
838f73fffffffff,4.0,0.0,0.0,0.0,0.0
838f76fffffffff,448.0,0.0,44.0,0.0,0.0
83b325fffffffff,85.0,0.0,0.0,0.0,0.0
