cell_id,Cyrtonyx montezumae,Cyrtonyx montezumae [montezumae Group],Cyrtonyx montezumae sallei/rowleyi
82480ffffffffff,16.0,0.0,0.0
824817fffffffff,26.0,0.0,0.0
82481ffffffffff,15.0,0.0,0.0
824837fffffffff,6.0,0.0,0.0
82488ffffffffff,18.0,0.0,0.0
8248a7fffffffff,36.0,0.0,0.0
8248c7fffffffff,1904.0,0.0,0.0
8248cffffffffff,16.0,0.0,0.0
8248d7fffffffff,4.0,0.0,0.0
8248dffffffffff,2.0,0.0,0.0
8248e7fffffffff,163.0,1.0,0.0
8248effffffffff,4876.0,0.0,0.0
8248f7fffffffff,927.0,0.0,0.0
824987fffffffff,8.0,0.0,0.0
82498ffffffffff,22.0,0.0,0.0
824997fffffffff,6.0,0.0,0.0
82499ffffffffff,10.0,0.0,0.0
8249affffffffff,18.0,0.0,0.0
