cell_id,Monasa morphoeus,Monasa morphoeus grandior/fidelis,Monasa morphoeus pallescens/sclateri,Monasa morphoeus [morphoeus Group]
83661cfffffffff,4.0,0.0,0.0,0.0
83661dfffffffff,4.0,0.0,0.0,0.0
83661efffffffff,11.0,0.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0,0.0
8366defffffffff,36.0,0.0,0.0,1.0
8366e1fffffffff,31.0,0.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0,0.0
8366ecfffffffff,14.0,0.0,0.0,0.0
8366eefffffffff,3.0,0.0,0.0,1.0
8366f0fffffffff,2.0,0.0,0.0,0.0
8366f5fffffffff,11.0,0.0,0.0,0.0
83679afffffffff,2.0,0.0,0.0,0.0
836d65fffffffff,1.0,0.0,0.0,0.0
836d68fffffffff,1.0,1.0,0.0,0.0
836d69fffffffff,2.0,2.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0,1.0
838f70fffffffff,1.0,0.0,0.0,0.0
83a891fffffffff,15.0,0.0,0.0,0.0
