cell_id,Petroica pusilla,Petroica pusilla [similis Group],Petroica pusilla pusilla
839a02fffffffff,6.0,0.0,0.0
839a15fffffffff,4.0,0.0,2.0
839b4cfffffffff,1.0,1.0,0.0
839b6afffffffff,3.0,1.0,0.0
839e02fffffffff,3.0,1.0,0.0
839e22fffffffff,1.0,0.0,0.0
839e24fffffffff,2.0,0.0,0.0
