cell_id,Hirundinea ferruginea,Hirundinea ferruginea ferruginea/sclateri,Hirundinea ferruginea bellicosa/pallidior
825f2ffffffffff,1.0,0.0,0.0
825f6ffffffffff,2.0,0.0,0.0
825f77fffffffff,146.0,0.0,0.0
826607fffffffff,7.0,0.0,0.0
82660ffffffffff,75.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
82662ffffffffff,74.0,2.0,0.0
826647fffffffff,87.0,0.0,0.0
82665ffffffffff,40.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0
8266c7fffffffff,168.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0
8266d7fffffffff,8.0,0.0,0.0
8266dffffffffff,851.0,57.0,0.0
8266e7fffffffff,534.0,0.0,0.0
8266effffffffff,84.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0
828007fffffffff,17.0,0.0,0.0
828017fffffffff,92.0,0.0,16.0
828027fffffffff,13.0,0.0,0.0
828037fffffffff,4.0,0.0,0.0
828067fffffffff,3.0,0.0,0.0
828107fffffffff,81.0,0.0,5.0
828117fffffffff,8.0,0.0,0.0
82811ffffffffff,6.0,0.0,0.0
828127fffffffff,183.0,0.0,9.0
82812ffffffffff,52.0,0.0,2.0
828137fffffffff,203.0,0.0,11.0
82814ffffffffff,254.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0
828167fffffffff,4.0,0.0,0.0
828177fffffffff,17.0,0.0,0.0
828187fffffffff,44.0,0.0,0.0
82818ffffffffff,42.0,0.0,0.0
8281affffffffff,166.0,0.0,7.0
828a4ffffffffff,14.0,0.0,0.0
828adffffffffff,31.0,4.0,0.0
828b17fffffffff,1.0,0.0,0.0
828b27fffffffff,480.0,0.0,35.0
828b2ffffffffff,85.0,0.0,4.0
828b37fffffffff,4.0,0.0,0.0
828b67fffffffff,18.0,0.0,0.0
828b6ffffffffff,45.0,0.0,0.0
828ba7fffffffff,1.0,0.0,0.0
828bb7fffffffff,397.0,0.0,36.0
828e67fffffffff,26.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0
828f2ffffffffff,5.0,0.0,0.0
828f47fffffffff,334.0,6.0,0.0
828f4ffffffffff,17.0,0.0,0.0
828f57fffffffff,65.0,2.0,0.0
828f5ffffffffff,63.0,2.0,0.0
828f77fffffffff,548.0,40.0,0.0
82a597fffffffff,19.0,0.0,2.0
82a807fffffffff,570.0,0.0,59.0
82a80ffffffffff,6.0,0.0,0.0
82a817fffffffff,2789.0,0.0,137.0
82a81ffffffffff,290.0,0.0,3.0
82a827fffffffff,29.0,0.0,0.0
82a82ffffffffff,7.0,0.0,0.0
82a837fffffffff,158.0,0.0,4.0
82a847fffffffff,10.0,0.0,0.0
82a84ffffffffff,2.0,0.0,0.0
82a857fffffffff,2.0,0.0,0.0
82a85ffffffffff,6.0,0.0,0.0
82a867fffffffff,1.0,0.0,0.0
82a887fffffffff,768.0,0.0,22.0
82a88ffffffffff,146.0,0.0,5.0
82a897fffffffff,62.0,0.0,7.0
82a89ffffffffff,2.0,0.0,0.0
82a8a7fffffffff,2231.0,0.0,110.0
82a8affffffffff,604.0,0.0,23.0
82a8c7fffffffff,30.0,0.0,0.0
82a8d7fffffffff,29.0,0.0,0.0
82a8dffffffffff,48.0,0.0,0.0
82a8effffffffff,1.0,0.0,0.0
82a8f7fffffffff,19.0,0.0,0.0
82a907fffffffff,2.0,0.0,0.0
82a90ffffffffff,38.0,0.0,1.0
82a91ffffffffff,54.0,0.0,0.0
82a92ffffffffff,2.0,0.0,0.0
82a947fffffffff,57.0,0.0,0.0
82a957fffffffff,5.0,0.0,0.0
82a95ffffffffff,22.0,0.0,0.0
82a977fffffffff,8.0,0.0,0.0
82b20ffffffffff,6.0,0.0,0.0
82b22ffffffffff,18.0,0.0,0.0
82b247fffffffff,121.0,0.0,0.0
82b257fffffffff,23.0,0.0,0.0
82b25ffffffffff,271.0,0.0,0.0
82b267fffffffff,5.0,0.0,0.0
82b277fffffffff,41.0,0.0,0.0
82b2cffffffffff,2.0,0.0,0.0
82b2e7fffffffff,23.0,0.0,0.0
82b2effffffffff,13.0,0.0,0.0
82b327fffffffff,51.0,0.0,1.0
82b32ffffffffff,29.0,0.0,4.0
82b347fffffffff,114.0,0.0,0.0
82b357fffffffff,63.0,0.0,0.0
82b35ffffffffff,870.0,0.0,0.0
82b367fffffffff,8.0,0.0,0.0
82b377fffffffff,148.0,0.0,0.0
82c2d7fffffffff,2.0,0.0,0.0
82c2dffffffffff,56.0,0.0,0.0
82c2f7fffffffff,14.0,0.0,0.0
