cell_id,Conirostrum cinereum,Conirostrum cinereum fraseri,Conirostrum cinereum cinereum/littorale
8366c2fffffffff,38.0,0.0,0.0
8366c6fffffffff,23.0,0.0,0.0
8366d0fffffffff,2.0,0.0,0.0
8366d1fffffffff,80.0,0.0,0.0
8366d3fffffffff,3403.0,162.0,0.0
8366d5fffffffff,66.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366defffffffff,1531.0,128.0,0.0
838b2cfffffffff,76.0,0.0,0.0
838b2dfffffffff,1.0,0.0,0.0
838b60fffffffff,10.0,0.0,0.0
838b61fffffffff,2698.0,0.0,187.0
838b64fffffffff,2.0,0.0,0.0
838b65fffffffff,10.0,0.0,0.0
838b66fffffffff,8.0,0.0,0.0
838b6cfffffffff,177.0,0.0,8.0
838b75fffffffff,9.0,0.0,0.0
838e44fffffffff,1.0,0.0,0.0
838e45fffffffff,86.0,0.0,0.0
838e4cfffffffff,7.0,0.0,0.0
838e60fffffffff,85.0,0.0,3.0
838e61fffffffff,24.0,0.0,0.0
838e62fffffffff,1258.0,0.0,19.0
838e63fffffffff,42.0,0.0,0.0
838e64fffffffff,38.0,0.0,0.0
838e65fffffffff,65.0,0.0,0.0
838e66fffffffff,496.0,0.0,31.0
838e68fffffffff,6.0,0.0,0.0
838e69fffffffff,33.0,0.0,0.0
838e6afffffffff,35.0,0.0,0.0
838e6bfffffffff,10.0,0.0,0.0
838e6cfffffffff,33.0,0.0,0.0
838e6dfffffffff,453.0,0.0,3.0
838e6efffffffff,10.0,0.0,0.0
838e75fffffffff,241.0,0.0,5.0
838f08fffffffff,55.0,0.0,0.0
838f09fffffffff,106.0,0.0,0.0
838f0bfffffffff,61.0,0.0,0.0
838f0dfffffffff,5.0,0.0,0.0
838f29fffffffff,38.0,12.0,0.0
838f2bfffffffff,6.0,0.0,0.0
838f2dfffffffff,127.0,12.0,0.0
838f42fffffffff,23.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f50fffffffff,280.0,0.0,0.0
838f51fffffffff,346.0,0.0,0.0
838f53fffffffff,12.0,0.0,0.0
838f54fffffffff,63.0,0.0,0.0
838f55fffffffff,110.0,0.0,0.0
838f56fffffffff,71.0,0.0,0.0
838f58fffffffff,196.0,0.0,9.0
838f59fffffffff,113.0,0.0,2.0
838f5afffffffff,1.0,0.0,0.0
838f5bfffffffff,68.0,0.0,3.0
838f5cfffffffff,34.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0
838f5efffffffff,35.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0
838f76fffffffff,327.0,19.0,0.0
83b300fffffffff,622.0,0.0,0.0
83b301fffffffff,56.0,0.0,0.0
83b304fffffffff,1909.0,0.0,0.0
83b305fffffffff,502.0,0.0,0.0
83b30efffffffff,86.0,0.0,0.0
83b320fffffffff,46.0,0.0,0.0
83b321fffffffff,70.0,0.0,0.0
83b322fffffffff,3.0,0.0,0.0
83b324fffffffff,43.0,0.0,0.0
83b325fffffffff,24.0,0.0,0.0
83b326fffffffff,16.0,0.0,0.0
83b32dfffffffff,6.0,0.0,0.0
83b330fffffffff,137.0,0.0,0.0
83b331fffffffff,22.0,0.0,0.0
83b334fffffffff,62.0,0.0,0.0
83b335fffffffff,286.0,0.0,0.0
83b336fffffffff,7.0,0.0,0.0
