cell_id,Vanellus miles,Vanellus miles miles,Vanellus miles novaehollandiae
831fa5fffffffff,2.0,0.0,0.0
836526fffffffff,25.0,2.0,0.0
839451fffffffff,2.0,0.0,0.0
839481fffffffff,2.0,2.0,0.0
8394c9fffffffff,2.0,2.0,0.0
8394edfffffffff,1.0,0.0,0.0
8394f2fffffffff,2.0,2.0,0.0
83951afffffffff,3.0,0.0,0.0
839b6afffffffff,2.0,0.0,0.0
839b6bfffffffff,1.0,0.0,0.0
839b6efffffffff,2.0,0.0,0.0
839c0efffffffff,1.0,0.0,1.0
839c4afffffffff,3.0,3.0,0.0
839c6cfffffffff,2.0,0.0,2.0
839caafffffffff,2.0,0.0,0.0
839caefffffffff,1.0,0.0,0.0
839d24fffffffff,3.0,0.0,0.0
839e24fffffffff,14.0,0.0,0.0
839f51fffffffff,1.0,0.0,0.0
83a726fffffffff,26.0,0.0,4.0
83b865fffffffff,2.0,0.0,0.0
83bb08fffffffff,4.0,0.0,0.0
83bb09fffffffff,8.0,0.0,0.0
83bb0afffffffff,2.0,0.0,0.0
83bb0cfffffffff,1.0,0.0,0.0
83bb28fffffffff,2.0,0.0,0.0
83bb29fffffffff,16.0,0.0,2.0
83bb2bfffffffff,66.0,0.0,8.0
83bb2dfffffffff,8.0,0.0,0.0
83bb36fffffffff,4.0,0.0,0.0
83bb50fffffffff,9.0,0.0,1.0
83bb53fffffffff,2.0,0.0,0.0
83be08fffffffff,6.0,0.0,0.0
83be0cfffffffff,2.0,0.0,0.0
83be0dfffffffff,6.0,0.0,0.0
83be0efffffffff,3.0,0.0,0.0
83be18fffffffff,1.0,0.0,0.0
83be1dfffffffff,1.0,0.0,0.0
83be29fffffffff,2.0,0.0,0.0
83be40fffffffff,5.0,0.0,0.0
83be49fffffffff,2.0,0.0,0.0
83be60fffffffff,9.0,0.0,2.0
83be63fffffffff,3.0,0.0,0.0
83be68fffffffff,1.0,0.0,0.0
83be6efffffffff,5.0,0.0,0.0
83be70fffffffff,4.0,0.0,0.0
83be71fffffffff,9.0,0.0,1.0
83be72fffffffff,669.0,0.0,16.0
83be76fffffffff,3.0,0.0,0.0
83be8dfffffffff,41.0,0.0,11.0
83becefffffffff,2.0,0.0,2.0
83bf48fffffffff,1.0,0.0,0.0
83bf4cfffffffff,4.0,0.0,2.0
83c986fffffffff,6.0,0.0,2.0
83c993fffffffff,19.0,0.0,0.0
83c99efffffffff,3.0,0.0,0.0
83d44dfffffffff,5.0,0.0,0.0
83da80fffffffff,9.0,0.0,0.0
83da81fffffffff,3.0,0.0,2.0
83da82fffffffff,4.0,0.0,0.0
83da83fffffffff,1.0,0.0,1.0
83da84fffffffff,1.0,0.0,0.0
83da86fffffffff,6.0,0.0,0.0
83da8cfffffffff,1.0,0.0,1.0
83da94fffffffff,11.0,0.0,0.0
83da95fffffffff,2.0,0.0,0.0
83daaafffffffff,4.0,0.0,0.0
83dab3fffffffff,12.0,0.0,1.0
