cell_id,Mixornis gularis,Mixornis gularis [gularis Group],Mixornis gularis woodi
843c159ffffffff,14.0,6.0,0.0
843c199ffffffff,2.0,0.0,0.0
843c19bffffffff,2.0,1.0,0.0
843c1c3ffffffff,5.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0
843c1d7ffffffff,10.0,0.0,0.0
843c337ffffffff,3.0,0.0,0.0
843c369ffffffff,2.0,0.0,0.0
843c5bdffffffff,5.0,0.0,0.0
843c885ffffffff,26.0,0.0,0.0
843c8c7ffffffff,21.0,0.0,0.0
843c8e5ffffffff,3.0,0.0,0.0
843c909ffffffff,27.0,4.0,0.0
843c943ffffffff,28.0,0.0,0.0
843c947ffffffff,4.0,0.0,0.0
843ca87ffffffff,9.0,0.0,0.0
843ca97ffffffff,2.0,0.0,0.0
843cab1ffffffff,31.0,0.0,0.0
843cc55ffffffff,2.0,0.0,0.0
843cc5bffffffff,3.0,0.0,0.0
843cc5dffffffff,3.0,0.0,0.0
843ce17ffffffff,1.0,1.0,0.0
843ce4dffffffff,1.0,1.0,0.0
843cea1ffffffff,1.0,0.0,0.0
843cf27ffffffff,7.0,0.0,0.0
843d137ffffffff,2.0,0.0,0.0
843da91ffffffff,6.0,0.0,0.0
843da97ffffffff,14.0,0.0,0.0
843dad1ffffffff,7.0,0.0,0.0
843dad5ffffffff,1.0,0.0,0.0
843dad7ffffffff,2.0,0.0,0.0
843daddffffffff,8.0,0.0,0.0
84415edffffffff,2.0,2.0,0.0
84416e1ffffffff,1.0,0.0,0.0
8460333ffffffff,1.0,0.0,0.0
84619a5ffffffff,27.0,0.0,0.0
84648c9ffffffff,1.0,0.0,0.0
8464b63ffffffff,1.0,1.0,0.0
8465005ffffffff,80.0,2.0,0.0
8465009ffffffff,21.0,0.0,0.0
846500bffffffff,17.0,2.0,0.0
8465029ffffffff,22.0,0.0,0.0
846502bffffffff,33.0,0.0,0.0
8465031ffffffff,2.0,0.0,0.0
8465033ffffffff,128.0,0.0,0.0
8465035ffffffff,6.0,0.0,0.0
8465037ffffffff,57.0,0.0,0.0
8465039ffffffff,3.0,0.0,0.0
846503bffffffff,16.0,0.0,0.0
8465043ffffffff,5.0,0.0,0.0
8465055ffffffff,69.0,0.0,0.0
8465057ffffffff,2.0,0.0,0.0
8465059ffffffff,7.0,0.0,0.0
846505dffffffff,19.0,0.0,0.0
8465063ffffffff,4.0,0.0,0.0
8465069ffffffff,2.0,0.0,0.0
84650edffffffff,2.0,0.0,0.0
8465183ffffffff,11.0,0.0,0.0
8465189ffffffff,71.0,0.0,0.0
846518bffffffff,26.0,0.0,0.0
8465191ffffffff,3.0,0.0,0.0
846519dffffffff,8.0,0.0,0.0
84651c3ffffffff,16.0,0.0,0.0
84651c9ffffffff,20.0,0.0,0.0
84651d1ffffffff,2.0,0.0,0.0
84651d7ffffffff,3.0,0.0,0.0
84651d9ffffffff,59.0,0.0,0.0
84651ddffffffff,4.0,0.0,0.0
846520dffffffff,61.0,0.0,0.0
8465225ffffffff,2.0,0.0,0.0
8465237ffffffff,3.0,0.0,0.0
8465263ffffffff,2.0,0.0,0.0
8465313ffffffff,2.0,0.0,0.0
8465993ffffffff,1.0,1.0,0.0
8468281ffffffff,1.0,0.0,1.0
