cell_id,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae [sanctithomae Group],Dendrocolaptes sanctithomae punctipectus
824507fffffffff,5.0,0.0,0.0
82450ffffffffff,14.0,2.0,0.0
824527fffffffff,27.0,0.0,0.0
82452ffffffffff,18.0,0.0,0.0
8249b7fffffffff,2.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
8266a7fffffffff,8.0,0.0,0.0
8266b7fffffffff,4.0,0.0,0.0
8266d7fffffffff,25.0,0.0,0.0
82679ffffffffff,2.0,0.0,0.0
826d27fffffffff,4.0,0.0,0.0
826d2ffffffffff,4.0,0.0,0.0
826d67fffffffff,14.0,0.0,0.0
826d6ffffffffff,19.0,6.0,0.0
