cell_id,Motacilla tschutschensis,Motacilla tschutschensis tschutschensis/plexa,Motacilla tschutschensis taivana,Motacilla tschutschensis macronyx
8209a7fffffffff,7.0,0.0,0.0,0.0
820c17fffffffff,14.0,0.0,0.0,0.0
820c37fffffffff,10.0,0.0,0.0,0.0
820c47fffffffff,6.0,0.0,0.0,0.0
820ca7fffffffff,7.0,0.0,0.0,0.0
820d17fffffffff,2.0,0.0,0.0,0.0
820d67fffffffff,65.0,0.0,0.0,0.0
820d77fffffffff,26.0,0.0,0.0,0.0
8212b7fffffffff,1.0,0.0,0.0,0.0
82139ffffffffff,1.0,0.0,0.0,0.0
821597fffffffff,3.0,0.0,2.0,0.0
821657fffffffff,8.0,8.0,0.0,0.0
82165ffffffffff,4.0,0.0,0.0,0.0
82171ffffffffff,2.0,0.0,0.0,0.0
82182ffffffffff,5.0,0.0,0.0,0.0
821847fffffffff,2.0,0.0,0.0,0.0
821877fffffffff,4.0,0.0,0.0,0.0
821947fffffffff,40.0,21.0,0.0,0.0
82194ffffffffff,9.0,3.0,0.0,0.0
82195ffffffffff,2.0,0.0,0.0,0.0
82196ffffffffff,4.0,0.0,0.0,0.0
821977fffffffff,10.0,0.0,0.0,0.0
821edffffffffff,6.0,0.0,0.0,0.0
821f07fffffffff,2.0,0.0,0.0,0.0
821f77fffffffff,3.0,0.0,0.0,0.0
8222dffffffffff,7.0,0.0,0.0,0.0
8222effffffffff,6.0,6.0,0.0,0.0
82242ffffffffff,1.0,0.0,0.0,1.0
82244ffffffffff,1.0,0.0,0.0,0.0
822457fffffffff,3.0,3.0,0.0,0.0
82255ffffffffff,1.0,1.0,0.0,0.0
822807fffffffff,3.0,0.0,0.0,0.0
82281ffffffffff,2.0,0.0,0.0,0.0
822837fffffffff,45.0,2.0,0.0,0.0
822917fffffffff,3.0,0.0,0.0,0.0
8229a7fffffffff,8.0,1.0,0.0,0.0
822c97fffffffff,3.0,0.0,0.0,0.0
822e2ffffffffff,3.0,0.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0,2.0
822f5ffffffffff,1.0,0.0,0.0,0.0
823087fffffffff,4.0,0.0,0.0,0.0
82309ffffffffff,86.0,0.0,27.0,1.0
8230d7fffffffff,2.0,0.0,0.0,0.0
8230dffffffffff,1.0,0.0,0.0,0.0
823187fffffffff,36.0,11.0,0.0,0.0
82318ffffffffff,10.0,7.0,0.0,0.0
8231affffffffff,7.0,0.0,0.0,0.0
82346ffffffffff,6.0,0.0,0.0,0.0
