cell_id,Elaenia martinica,Elaenia martinica [martinica Group],Elaenia martinica [cinerascens Group]
8444249ffffffff,4.0,0.0,0.0
8445053ffffffff,230.0,0.0,0.0
8445085ffffffff,8.0,0.0,0.0
844508dffffffff,2.0,0.0,0.0
84450a1ffffffff,10.0,0.0,0.0
84450a5ffffffff,1.0,0.0,0.0
84450a7ffffffff,5.0,0.0,0.0
84450a9ffffffff,11.0,0.0,0.0
84450abffffffff,2.0,0.0,0.0
84450adffffffff,597.0,0.0,13.0
84450c5ffffffff,3.0,0.0,0.0
84450e1ffffffff,12.0,0.0,0.0
84450e3ffffffff,17.0,0.0,0.0
84450e7ffffffff,3.0,0.0,0.0
84450ebffffffff,9.0,0.0,0.0
844519bffffffff,14.0,0.0,0.0
84451d3ffffffff,2.0,0.0,0.0
8445843ffffffff,82.0,0.0,0.0
8445847ffffffff,242.0,0.0,0.0
8445a33ffffffff,1213.0,0.0,0.0
8445aedffffffff,7.0,0.0,0.0
844cc09ffffffff,3.0,0.0,0.0
844cc0bffffffff,1739.0,0.0,0.0
844cc43ffffffff,1.0,0.0,0.0
844cc51ffffffff,8.0,0.0,0.0
844cc53ffffffff,31.0,0.0,0.0
844cc55ffffffff,10.0,0.0,0.0
844cc57ffffffff,1299.0,0.0,0.0
844cc59ffffffff,25.0,0.0,0.0
844cc5dffffffff,10.0,0.0,0.0
844ce81ffffffff,8.0,0.0,0.0
844ce85ffffffff,165.0,0.0,0.0
844ce8bffffffff,71.0,0.0,0.0
844ce95ffffffff,115.0,0.0,0.0
844cea9ffffffff,275.0,0.0,0.0
844ceadffffffff,404.0,0.0,0.0
844ceb9ffffffff,74.0,2.0,0.0
844ced5ffffffff,13.0,0.0,0.0
844ced7ffffffff,2.0,0.0,0.0
844cee3ffffffff,83.0,0.0,0.0
844cee5ffffffff,4.0,0.0,0.0
844cee7ffffffff,9.0,0.0,0.0
844d497ffffffff,26.0,0.0,0.0
844d4bbffffffff,718.0,0.0,0.0
845e405ffffffff,10.0,2.0,0.0
845e429ffffffff,6.0,0.0,0.0
845e42bffffffff,39.0,0.0,0.0
845e431ffffffff,37.0,0.0,0.0
845e433ffffffff,18.0,0.0,0.0
845e435ffffffff,19.0,0.0,0.0
845e437ffffffff,426.0,0.0,0.0
845e43dffffffff,249.0,1.0,0.0
845e461ffffffff,63.0,8.0,0.0
845e463ffffffff,106.0,21.0,0.0
845e467ffffffff,83.0,15.0,0.0
845e469ffffffff,297.0,59.0,0.0
845e4a1ffffffff,45.0,0.0,0.0
845e4a3ffffffff,67.0,0.0,0.0
845e4adffffffff,38.0,0.0,0.0
845e4b5ffffffff,29.0,0.0,0.0
845e4b7ffffffff,54.0,0.0,0.0
845e4bdffffffff,3.0,0.0,0.0
845e591ffffffff,146.0,0.0,0.0
845e599ffffffff,13.0,1.0,0.0
845e59bffffffff,168.0,2.0,0.0
845e5cbffffffff,702.0,0.0,0.0
845e5d3ffffffff,209.0,10.0,0.0
845e5d7ffffffff,11.0,0.0,0.0
845e5d9ffffffff,124.0,0.0,0.0
845e5ddffffffff,480.0,0.0,0.0
845e62dffffffff,7.0,0.0,0.0
845e667ffffffff,108.0,0.0,0.0
845e705ffffffff,243.0,0.0,0.0
845e711ffffffff,1.0,0.0,0.0
845e713ffffffff,2.0,2.0,0.0
845e717ffffffff,20.0,2.0,0.0
845e719ffffffff,43.0,0.0,0.0
845e71bffffffff,353.0,51.0,0.0
845e729ffffffff,34.0,0.0,0.0
845e72bffffffff,156.0,0.0,0.0
8467447ffffffff,49.0,0.0,0.0
8467461ffffffff,501.0,0.0,0.0
846746bffffffff,72.0,0.0,0.0
846746dffffffff,80.0,0.0,0.0
8467737ffffffff,94.0,0.0,0.0
8467801ffffffff,12.0,0.0,0.0
8467805ffffffff,52.0,0.0,0.0
8467835ffffffff,149.0,0.0,1.0
846783dffffffff,77.0,0.0,0.0
