cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
8472901ffffffff,6.0,1.0,0.0
8472905ffffffff,6.0,2.0,0.0
847290dffffffff,2.0,2.0,0.0
8472a2bffffffff,13.0,0.0,13.0
84739b1ffffffff,4.0,0.0,4.0
847683bffffffff,2.0,0.0,0.0
84769d1ffffffff,2.0,0.0,0.0
849421bffffffff,5.0,3.0,0.0
8494511ffffffff,2.0,0.0,0.0
849451dffffffff,3.0,0.0,0.0
84945adffffffff,2.0,0.0,0.0
84945e5ffffffff,1.0,0.0,1.0
84945ebffffffff,2.0,0.0,2.0
849480bffffffff,28.0,0.0,2.0
8495441ffffffff,2.0,0.0,0.0
8495449ffffffff,1.0,1.0,0.0
8495537ffffffff,1.0,1.0,0.0
84956c5ffffffff,1.0,0.0,0.0
8495a99ffffffff,3.0,0.0,0.0
849c233ffffffff,1.0,0.0,0.0
849c237ffffffff,1.0,0.0,1.0
849c8b5ffffffff,2.0,2.0,0.0
849c901ffffffff,1.0,0.0,0.0
849cd31ffffffff,8.0,0.0,1.0
849cd3dffffffff,1.0,1.0,0.0
84b9169ffffffff,10.0,0.0,2.0
84be089ffffffff,9.0,0.0,0.0
84be0bdffffffff,2.0,0.0,0.0
84be0c7ffffffff,2.0,0.0,0.0
84be0e7ffffffff,2.0,0.0,0.0
84be441ffffffff,4.0,0.0,2.0
84be445ffffffff,1.0,0.0,0.0
84be455ffffffff,4.0,0.0,2.0
84be549ffffffff,2.0,0.0,0.0
84be54dffffffff,4.0,0.0,0.0
84be557ffffffff,2.0,0.0,0.0
84be60dffffffff,2.0,0.0,2.0
84be631ffffffff,5.0,0.0,3.0
84be635ffffffff,2.0,0.0,0.0
84be63bffffffff,2.0,0.0,0.0
84be63dffffffff,2.0,0.0,0.0
84be717ffffffff,1.0,0.0,1.0
84be72dffffffff,15.0,0.0,7.0
84be8d1ffffffff,6.0,0.0,2.0
84be8d9ffffffff,2.0,0.0,0.0
84bea95ffffffff,5.0,0.0,2.0
84bededffffffff,2.0,0.0,0.0
84bf487ffffffff,4.0,0.0,0.0
