cell_id,Pternistis castaneicollis,Pternistis castaneicollis castaneicollis,Pternistis castaneicollis atrifrons
825287fffffffff,6.0,5.0,0.0
82529ffffffffff,5.0,4.0,0.0
826a4ffffffffff,2.0,0.0,0.0
827a5ffffffffff,30.0,0.0,30.0
827a87fffffffff,1.0,1.0,0.0
827ac7fffffffff,4.0,4.0,0.0
827acffffffffff,348.0,287.0,2.0
827adffffffffff,2.0,2.0,0.0
827aeffffffffff,3.0,2.0,0.0
