cell_id,Myrmotherula axillaris,Myrmotherula axillaris [axillaris Group],Myrmotherula axillaris luctuosa
8445305ffffffff,8.0,0.0,0.0
844532bffffffff,22.0,0.0,0.0
8445363ffffffff,12.0,0.0,0.0
8445365ffffffff,29.0,0.0,0.0
8445367ffffffff,3.0,0.0,0.0
845f00bffffffff,16.0,0.0,0.0
845f00dffffffff,2.0,0.0,0.0
845f011ffffffff,8.0,0.0,0.0
845f017ffffffff,3.0,0.0,0.0
845f01bffffffff,4.0,0.0,0.0
845f025ffffffff,1.0,0.0,0.0
845f02bffffffff,1.0,0.0,0.0
845f035ffffffff,67.0,0.0,0.0
845f03dffffffff,42.0,2.0,0.0
845f08bffffffff,2.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0
845f09dffffffff,3.0,0.0,0.0
845f0d7ffffffff,7.0,0.0,0.0
845f105ffffffff,14.0,0.0,0.0
845f107ffffffff,10.0,0.0,0.0
845f10dffffffff,1.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0
845f129ffffffff,13.0,0.0,0.0
845f12bffffffff,11.0,0.0,0.0
845f139ffffffff,2.0,0.0,0.0
845f13bffffffff,1.0,0.0,0.0
845f13dffffffff,2.0,0.0,0.0
845f143ffffffff,31.0,0.0,0.0
845f155ffffffff,1.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f163ffffffff,2.0,0.0,0.0
845f1c3ffffffff,21.0,0.0,0.0
845f1c9ffffffff,1.0,0.0,0.0
845f1cbffffffff,7.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f291ffffffff,4.0,0.0,0.0
845f295ffffffff,35.0,0.0,0.0
845f299ffffffff,10.0,0.0,0.0
845f29dffffffff,33.0,0.0,0.0
845f2b1ffffffff,17.0,0.0,0.0
845f2b3ffffffff,96.0,0.0,0.0
845f2bbffffffff,229.0,0.0,0.0
845f2d7ffffffff,7.0,0.0,0.0
845f365ffffffff,1.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0
845f42bffffffff,3.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f4a9ffffffff,9.0,0.0,0.0
845f501ffffffff,5.0,0.0,0.0
845f50bffffffff,26.0,0.0,0.0
845f549ffffffff,53.0,0.0,0.0
845f581ffffffff,9.0,0.0,0.0
845f583ffffffff,555.0,0.0,0.0
845f58bffffffff,2.0,0.0,0.0
845f595ffffffff,18.0,0.0,0.0
845f5b9ffffffff,86.0,0.0,0.0
845f5d7ffffffff,4.0,0.0,0.0
845f683ffffffff,5.0,0.0,0.0
845f689ffffffff,3.0,0.0,0.0
845f68bffffffff,19.0,0.0,0.0
845f711ffffffff,15.0,0.0,0.0
845f713ffffffff,9.0,0.0,0.0
845f71bffffffff,2.0,0.0,0.0
845f767ffffffff,10.0,0.0,0.0
8466023ffffffff,4.0,0.0,0.0
8466069ffffffff,1.0,0.0,0.0
846606bffffffff,14.0,0.0,0.0
846608dffffffff,62.0,0.0,0.0
84660a1ffffffff,2.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a5ffffffff,1.0,0.0,0.0
84660a7ffffffff,37.0,0.0,0.0
84660c1ffffffff,1.0,0.0,0.0
84660c5ffffffff,8.0,0.0,0.0
84660cbffffffff,4.0,0.0,0.0
84660d1ffffffff,9.0,0.0,0.0
84660d3ffffffff,2.0,0.0,0.0
84660d9ffffffff,5.0,0.0,0.0
8466103ffffffff,4.0,0.0,0.0
8466107ffffffff,353.0,32.0,0.0
846610bffffffff,10.0,0.0,0.0
8466113ffffffff,17.0,0.0,0.0
8466117ffffffff,23.0,0.0,0.0
8466119ffffffff,4.0,0.0,0.0
846611dffffffff,11.0,0.0,0.0
8466129ffffffff,10.0,0.0,0.0
8466131ffffffff,86.0,21.0,0.0
8466135ffffffff,7.0,3.0,0.0
8466139ffffffff,307.0,29.0,0.0
846613bffffffff,20.0,0.0,0.0
846613dffffffff,34.0,3.0,0.0
8466163ffffffff,192.0,15.0,0.0
8466165ffffffff,193.0,16.0,0.0
8466167ffffffff,25.0,7.0,0.0
8466185ffffffff,1.0,0.0,0.0
8466193ffffffff,5.0,0.0,0.0
8466199ffffffff,5.0,0.0,0.0
846619bffffffff,170.0,2.0,0.0
84661a5ffffffff,50.0,0.0,0.0
84661a7ffffffff,17.0,0.0,0.0
84661adffffffff,39.0,0.0,0.0
84661bdffffffff,6.0,0.0,0.0
84661c1ffffffff,9.0,0.0,0.0
84661c9ffffffff,12.0,0.0,0.0
84661cbffffffff,6.0,0.0,0.0
84661cdffffffff,114.0,0.0,0.0
84661d1ffffffff,14.0,0.0,0.0
84661d3ffffffff,1.0,0.0,0.0
84661d9ffffffff,2.0,0.0,0.0
84661dbffffffff,6.0,0.0,0.0
84661ebffffffff,17.0,0.0,0.0
8466203ffffffff,1.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0
846622bffffffff,4.0,0.0,0.0
8466291ffffffff,2.0,0.0,0.0
8466293ffffffff,4.0,0.0,0.0
846629dffffffff,1.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
84662d3ffffffff,2.0,0.0,0.0
84662e1ffffffff,3.0,0.0,0.0
8466311ffffffff,6.0,0.0,0.0
8466313ffffffff,1.0,0.0,0.0
846631bffffffff,2.0,0.0,0.0
8466403ffffffff,2.0,0.0,0.0
8466411ffffffff,33.0,1.0,0.0
8466415ffffffff,247.0,15.0,0.0
8466417ffffffff,4.0,0.0,0.0
846641dffffffff,114.0,4.0,0.0
8466437ffffffff,2.0,0.0,0.0
8466439ffffffff,1.0,0.0,0.0
8466441ffffffff,9.0,0.0,0.0
8466455ffffffff,2.0,0.0,0.0
846645dffffffff,5.0,0.0,0.0
8466485ffffffff,1.0,0.0,0.0
84664ebffffffff,2.0,0.0,0.0
8466509ffffffff,2.0,0.0,0.0
8466527ffffffff,4.0,0.0,0.0
8466529ffffffff,14.0,0.0,0.0
846652dffffffff,1.0,0.0,0.0
8466537ffffffff,8.0,0.0,0.0
8466545ffffffff,3.0,0.0,0.0
8466563ffffffff,1.0,0.0,0.0
8466565ffffffff,3.0,0.0,0.0
846656dffffffff,3.0,0.0,0.0
84665a3ffffffff,1.0,0.0,0.0
84665abffffffff,134.0,2.0,0.0
84665bdffffffff,169.0,2.0,0.0
84665e9ffffffff,6.0,0.0,0.0
8466631ffffffff,3.0,0.0,0.0
8466633ffffffff,9.0,0.0,0.0
8466637ffffffff,6.0,0.0,0.0
8466639ffffffff,8.0,0.0,0.0
84666a1ffffffff,6.0,0.0,0.0
84666b3ffffffff,2.0,0.0,0.0
84666b9ffffffff,6.0,0.0,0.0
84666c5ffffffff,2.0,0.0,0.0
84666e3ffffffff,10.0,0.0,0.0
84666ebffffffff,16.0,0.0,0.0
8466725ffffffff,7.0,0.0,0.0
8466727ffffffff,7.0,0.0,0.0
846675dffffffff,1.0,0.0,0.0
8466763ffffffff,4.0,0.0,0.0
8466a01ffffffff,47.0,1.0,0.0
8466a05ffffffff,8.0,0.0,0.0
8466a0bffffffff,436.0,18.0,0.0
8466a51ffffffff,2869.0,262.0,0.0
8466a53ffffffff,1.0,0.0,0.0
8466a55ffffffff,42.0,4.0,0.0
8466a57ffffffff,70.0,4.0,0.0
8466a59ffffffff,17.0,0.0,0.0
8466a5bffffffff,88.0,6.0,0.0
8466a5dffffffff,47.0,6.0,0.0
8466a65ffffffff,350.0,6.0,0.0
8466a67ffffffff,3.0,0.0,0.0
8466ad9ffffffff,1.0,0.0,0.0
8466b49ffffffff,7.0,0.0,0.0
8466b4bffffffff,32.0,0.0,0.0
8466b4dffffffff,13.0,0.0,0.0
8466b59ffffffff,7.0,0.0,0.0
8466c01ffffffff,16.0,0.0,0.0
8466c05ffffffff,3.0,0.0,0.0
8466c0dffffffff,11.0,0.0,0.0
8466c17ffffffff,6.0,0.0,0.0
8466c19ffffffff,8.0,0.0,0.0
8466c21ffffffff,41.0,0.0,0.0
8466c23ffffffff,37.0,0.0,0.0
8466c27ffffffff,3.0,0.0,0.0
8466c29ffffffff,10.0,0.0,0.0
8466c2bffffffff,11.0,0.0,0.0
8466c35ffffffff,3.0,0.0,0.0
8466c53ffffffff,8.0,0.0,0.0
8466c57ffffffff,9.0,0.0,0.0
8466c5bffffffff,7.0,0.0,0.0
8466c5dffffffff,11.0,0.0,0.0
8466c95ffffffff,6.0,0.0,0.0
8466cc5ffffffff,7.0,0.0,0.0
8466cd1ffffffff,2.0,0.0,0.0
8466cdbffffffff,3.0,0.0,0.0
8466ce5ffffffff,3.0,0.0,0.0
8466ce9ffffffff,53.0,0.0,0.0
8466cedffffffff,2.0,0.0,0.0
8466d01ffffffff,7.0,0.0,0.0
8466d05ffffffff,2.0,0.0,0.0
8466d07ffffffff,140.0,18.0,0.0
8466d09ffffffff,2.0,0.0,0.0
8466d0bffffffff,11.0,0.0,0.0
8466d0dffffffff,2.0,0.0,0.0
8466d13ffffffff,9.0,0.0,0.0
8466d19ffffffff,1.0,0.0,0.0
8466d1bffffffff,96.0,0.0,0.0
8466d23ffffffff,110.0,5.0,0.0
8466d25ffffffff,2.0,0.0,0.0
8466d27ffffffff,22.0,0.0,0.0
8466d31ffffffff,12.0,0.0,0.0
8466d35ffffffff,402.0,46.0,0.0
8466d3dffffffff,1.0,0.0,0.0
8466d51ffffffff,2.0,0.0,0.0
8466d55ffffffff,45.0,0.0,0.0
8466d6bffffffff,2.0,0.0,0.0
8466d81ffffffff,88.0,8.0,0.0
8466d8dffffffff,2.0,0.0,0.0
8466da9ffffffff,1.0,0.0,0.0
8466db1ffffffff,12.0,2.0,0.0
8466dc3ffffffff,417.0,56.0,0.0
8466dc7ffffffff,4.0,0.0,0.0
8466dcbffffffff,13.0,5.0,0.0
8466dd1ffffffff,5.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0
8466dd5ffffffff,17.0,4.0,0.0
8466dd9ffffffff,5.0,0.0,0.0
8466ddbffffffff,3.0,0.0,0.0
8466dddffffffff,15.0,8.0,0.0
8466de3ffffffff,39.0,6.0,0.0
8466de7ffffffff,16.0,1.0,0.0
8466debffffffff,14.0,0.0,0.0
8466e0bffffffff,2.0,0.0,0.0
8466e0dffffffff,13.0,0.0,0.0
8466e11ffffffff,27.0,0.0,0.0
8466e15ffffffff,33.0,0.0,0.0
8466e31ffffffff,2.0,0.0,0.0
8466e33ffffffff,3.0,0.0,0.0
8466e39ffffffff,14.0,0.0,0.0
8466e3bffffffff,20.0,0.0,0.0
8466e41ffffffff,5.0,0.0,0.0
8466e45ffffffff,3.0,0.0,0.0
8466e47ffffffff,1.0,0.0,0.0
8466e49ffffffff,2.0,0.0,0.0
8466e53ffffffff,4.0,0.0,0.0
8466e55ffffffff,1.0,0.0,0.0
8466e57ffffffff,21.0,0.0,0.0
8466e59ffffffff,14.0,0.0,0.0
8466e69ffffffff,5.0,0.0,0.0
8466e8dffffffff,8.0,0.0,0.0
8466e9dffffffff,6.0,0.0,0.0
8466eadffffffff,32.0,0.0,0.0
8466ec1ffffffff,9.0,0.0,0.0
8466ec3ffffffff,1.0,0.0,0.0
8466ec5ffffffff,41.0,0.0,0.0
8466ec7ffffffff,96.0,0.0,0.0
8466ec9ffffffff,17.0,0.0,0.0
8466ecbffffffff,292.0,0.0,0.0
8466ecdffffffff,4.0,0.0,0.0
8466ee5ffffffff,169.0,2.0,0.0
8466ee7ffffffff,3.0,0.0,0.0
8466eebffffffff,6.0,0.0,0.0
8466eedffffffff,12.0,0.0,0.0
8466f01ffffffff,14.0,0.0,0.0
8466f03ffffffff,67.0,2.0,0.0
8466f0bffffffff,248.0,15.0,0.0
8466f1dffffffff,5.0,0.0,0.0
8466f35ffffffff,25.0,0.0,0.0
8466f5dffffffff,4.0,0.0,0.0
846793bffffffff,2.0,0.0,0.0
846794dffffffff,2.0,0.0,0.0
8467961ffffffff,36.0,0.0,0.0
8467969ffffffff,4.0,0.0,0.0
84679a1ffffffff,7.0,0.0,0.0
84679a5ffffffff,77.0,0.0,0.0
84679a7ffffffff,10.0,0.0,0.0
84679adffffffff,17.0,0.0,0.0
84679b3ffffffff,2.0,0.0,0.0
84679b5ffffffff,1.0,0.0,0.0
84679b7ffffffff,268.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0
846d689ffffffff,25.0,0.0,0.0
846d68bffffffff,3.0,0.0,0.0
846d68dffffffff,14.0,0.0,0.0
846d691ffffffff,27.0,0.0,0.0
846d699ffffffff,97.0,0.0,0.0
846d69bffffffff,287.0,0.0,0.0
846d69dffffffff,93.0,0.0,0.0
846d6d1ffffffff,19.0,0.0,0.0
846d6d3ffffffff,21.0,0.0,0.0
84800c7ffffffff,2.0,0.0,0.0
8480445ffffffff,8.0,0.0,0.0
848044dffffffff,10.0,0.0,0.0
8480461ffffffff,2.0,0.0,0.0
8480465ffffffff,2.0,0.0,0.0
8480469ffffffff,140.0,7.0,0.0
8480623ffffffff,2.0,0.0,0.0
8480625ffffffff,6.0,0.0,0.0
8480643ffffffff,9.0,0.0,0.0
8480665ffffffff,7.0,0.0,0.0
848066bffffffff,3.0,0.0,0.0
84806b3ffffffff,1.0,0.0,0.0
84806b7ffffffff,16.0,0.0,0.0
8480713ffffffff,36.0,0.0,0.0
8480717ffffffff,2.0,0.0,0.0
8480723ffffffff,2.0,0.0,0.0
8480737ffffffff,3.0,0.0,0.0
848075bffffffff,6.0,0.0,0.0
8481105ffffffff,2.0,0.0,0.0
8481125ffffffff,26.0,0.0,25.0
8481143ffffffff,2.0,0.0,0.0
8481149ffffffff,3.0,0.0,3.0
848114bffffffff,3.0,0.0,1.0
8481161ffffffff,2.0,0.0,0.0
8481163ffffffff,15.0,0.0,1.0
8481167ffffffff,27.0,0.0,7.0
8481301ffffffff,1.0,0.0,1.0
8481321ffffffff,18.0,0.0,11.0
8481323ffffffff,6.0,0.0,4.0
8481327ffffffff,44.0,0.0,19.0
8481329ffffffff,2.0,0.0,0.0
848132dffffffff,3.0,0.0,0.0
8481339ffffffff,1.0,0.0,0.0
8481343ffffffff,4.0,0.0,4.0
8481363ffffffff,23.0,0.0,16.0
8481401ffffffff,8.0,0.0,0.0
8481403ffffffff,2.0,0.0,0.0
8481407ffffffff,1.0,0.0,0.0
8481409ffffffff,1.0,0.0,0.0
8481423ffffffff,5.0,0.0,0.0
8481431ffffffff,9.0,0.0,0.0
8481459ffffffff,1.0,0.0,0.0
848145dffffffff,40.0,0.0,0.0
84814a9ffffffff,11.0,1.0,0.0
84814adffffffff,23.0,0.0,0.0
84814d5ffffffff,10.0,0.0,0.0
84814e3ffffffff,4.0,0.0,0.0
84814e7ffffffff,32.0,0.0,0.0
8481583ffffffff,10.0,0.0,0.0
84815a1ffffffff,2.0,0.0,0.0
84815abffffffff,3.0,0.0,0.0
84815c9ffffffff,8.0,0.0,0.0
84815e9ffffffff,3.0,0.0,0.0
848162bffffffff,2.0,0.0,0.0
8481635ffffffff,43.0,0.0,0.0
8481637ffffffff,2.0,0.0,0.0
8481801ffffffff,4.0,0.0,0.0
848180bffffffff,22.0,0.0,12.0
848181dffffffff,3.0,0.0,0.0
8481833ffffffff,5.0,0.0,0.0
8481837ffffffff,5.0,0.0,5.0
8481839ffffffff,34.0,0.0,21.0
8481851ffffffff,179.0,0.0,77.0
8481857ffffffff,313.0,0.0,49.0
8481859ffffffff,2.0,0.0,0.0
848185bffffffff,2.0,0.0,0.0
84818a7ffffffff,2.0,0.0,0.0
84818e1ffffffff,1.0,0.0,1.0
84819d1ffffffff,4.0,0.0,1.0
84819d9ffffffff,72.0,0.0,17.0
8481a17ffffffff,4.0,0.0,4.0
8481a1bffffffff,2.0,0.0,2.0
8481ad1ffffffff,4.0,0.0,0.0
848a003ffffffff,3.0,1.0,0.0
848a00bffffffff,8.0,3.0,0.0
848a01dffffffff,14.0,2.0,0.0
848a051ffffffff,5.0,0.0,0.0
848a053ffffffff,2.0,1.0,0.0
848a059ffffffff,2.0,0.0,0.0
848a05bffffffff,4.0,0.0,0.0
848a05dffffffff,2.0,0.0,0.0
848a069ffffffff,20.0,3.0,0.0
848a109ffffffff,10.0,0.0,0.0
848a155ffffffff,26.0,0.0,0.0
848a157ffffffff,7.0,0.0,0.0
848a1a7ffffffff,20.0,2.0,0.0
848a213ffffffff,3.0,0.0,0.0
848a243ffffffff,1.0,1.0,0.0
848a249ffffffff,1.0,1.0,0.0
848a313ffffffff,5.0,0.0,0.0
848a317ffffffff,10.0,4.0,0.0
848a337ffffffff,2.0,0.0,0.0
848a33bffffffff,4.0,0.0,0.0
848a451ffffffff,3.0,0.0,0.0
848a459ffffffff,23.0,2.0,0.0
848a45bffffffff,4.0,0.0,0.0
848a45dffffffff,3.0,0.0,0.0
848a4b9ffffffff,4.0,0.0,0.0
848a565ffffffff,4.0,0.0,0.0
848a637ffffffff,2.0,0.0,0.0
848a68bffffffff,11.0,0.0,0.0
848a699ffffffff,119.0,0.0,0.0
848a6d3ffffffff,9.0,0.0,0.0
