cell_id,Lanius excubitor,Lanius excubitor [excubitor Group],Lanius excubitor [elegans Group],Lanius excubitor aucheri/buryi,Lanius excubitor uncinatus,Lanius excubitor pallidirostris,Lanius excubitor lahtora
820887fffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0
82098ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821187fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
82118ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
821947fffffffff,39.0,3.0,0.0,0.0,0.0,5.0,0.0
82194ffffffffff,49.0,0.0,0.0,0.0,0.0,2.0,0.0
821957fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,30.0,0.0,0.0,0.0,0.0,2.0,0.0
821977fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e47fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821e57fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
821eeffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f5ffffffffff,2.0,1.0,0.0,0.0,0.0,0.0,0.0
821f67fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f87fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
