cell_id,Emberiza cineracea,Emberiza cineracea cineracea,Emberiza cineracea semenowi
831ed9fffffffff,159.0,13.0,0.0
832c00fffffffff,2.0,0.0,0.0
832c06fffffffff,6.0,0.0,0.0
832c10fffffffff,3.0,0.0,0.0
832c12fffffffff,2.0,0.0,0.0
832c13fffffffff,6.0,0.0,0.0
832c14fffffffff,2.0,0.0,0.0
832c31fffffffff,2.0,0.0,0.0
832c32fffffffff,2.0,0.0,0.0
832c90fffffffff,7.0,0.0,0.0
832c91fffffffff,2.0,0.0,0.0
832c93fffffffff,42.0,0.0,23.0
832cacfffffffff,6.0,0.0,0.0
832d1afffffffff,3.0,0.0,0.0
832da8fffffffff,17.0,0.0,3.0
832da9fffffffff,69.0,1.0,31.0
832dacfffffffff,96.0,0.0,22.0
832dadfffffffff,4.0,0.0,0.0
832db0fffffffff,51.0,0.0,0.0
832db1fffffffff,6.0,1.0,0.0
832db2fffffffff,47.0,11.0,0.0
832db3fffffffff,2.0,0.0,0.0
833e68fffffffff,3.0,0.0,0.0
833e6cfffffffff,2.0,0.0,0.0
833f63fffffffff,3.0,0.0,0.0
833f64fffffffff,2.0,0.0,0.0
835206fffffffff,2.0,0.0,0.0
835230fffffffff,1.0,0.0,0.0
835363fffffffff,1.0,0.0,0.0
835364fffffffff,5.0,0.0,2.0
83536efffffffff,2.0,0.0,0.0
