cell_id,Colaptes rubiginosus,Colaptes rubiginosus aeruginosus,Colaptes rubiginosus [rubiginosus Group],Colaptes rubiginosus rubripileus
8444249ffffffff,4.0,0.0,0.0,0.0
8445019ffffffff,73.0,0.0,0.0,0.0
844501bffffffff,42.0,0.0,2.0,0.0
8445053ffffffff,17.0,0.0,0.0,0.0
844505bffffffff,49.0,0.0,0.0,0.0
8445081ffffffff,4.0,0.0,0.0,0.0
8445083ffffffff,92.0,0.0,9.0,0.0
8445085ffffffff,33.0,0.0,1.0,0.0
8445087ffffffff,198.0,0.0,10.0,0.0
8445089ffffffff,1.0,0.0,0.0,0.0
844508bffffffff,2.0,0.0,2.0,0.0
844508dffffffff,24.0,0.0,0.0,0.0
8445091ffffffff,5.0,0.0,0.0,0.0
8445093ffffffff,27.0,0.0,9.0,0.0
8445095ffffffff,9.0,0.0,9.0,0.0
8445099ffffffff,9.0,0.0,0.0,0.0
844509bffffffff,33.0,0.0,19.0,0.0
844509dffffffff,13.0,0.0,0.0,0.0
84450a1ffffffff,410.0,0.0,15.0,0.0
84450a3ffffffff,97.0,0.0,21.0,0.0
84450a5ffffffff,25.0,0.0,2.0,0.0
84450a7ffffffff,50.0,0.0,0.0,0.0
84450a9ffffffff,3.0,0.0,0.0,0.0
84450abffffffff,30.0,0.0,5.0,0.0
84450adffffffff,4.0,0.0,0.0,0.0
84450b1ffffffff,15.0,0.0,4.0,0.0
84450b5ffffffff,34.0,0.0,0.0,0.0
84450b9ffffffff,12.0,0.0,0.0,0.0
84450bdffffffff,67.0,0.0,3.0,0.0
84450c3ffffffff,2.0,0.0,0.0,0.0
84450c5ffffffff,14.0,0.0,0.0,0.0
84450cdffffffff,23.0,0.0,2.0,0.0
84450d1ffffffff,11.0,0.0,3.0,0.0
84450d3ffffffff,171.0,0.0,84.0,0.0
84450d5ffffffff,72.0,0.0,44.0,0.0
84450ddffffffff,13.0,0.0,8.0,0.0
84450e1ffffffff,3.0,0.0,0.0,0.0
84450e3ffffffff,130.0,0.0,7.0,0.0
84450ebffffffff,81.0,0.0,14.0,0.0
844519bffffffff,6.0,0.0,0.0,0.0
8445201ffffffff,19.0,0.0,0.0,0.0
8445203ffffffff,55.0,0.0,0.0,0.0
8445205ffffffff,19.0,0.0,0.0,0.0
8445207ffffffff,21.0,0.0,0.0,0.0
8445209ffffffff,79.0,0.0,0.0,0.0
844520bffffffff,37.0,0.0,0.0,0.0
844520dffffffff,335.0,0.0,0.0,0.0
8445211ffffffff,13.0,0.0,0.0,0.0
8445213ffffffff,147.0,0.0,2.0,0.0
8445215ffffffff,37.0,0.0,0.0,0.0
8445217ffffffff,140.0,0.0,0.0,0.0
844521dffffffff,140.0,0.0,0.0,0.0
8445221ffffffff,25.0,0.0,0.0,0.0
8445225ffffffff,54.0,0.0,0.0,0.0
8445229ffffffff,2.0,0.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0,0.0
8445233ffffffff,182.0,0.0,0.0,0.0
844523bffffffff,62.0,0.0,0.0,0.0
8445241ffffffff,56.0,0.0,0.0,0.0
8445243ffffffff,397.0,0.0,0.0,0.0
8445245ffffffff,82.0,0.0,0.0,0.0
8445247ffffffff,457.0,0.0,0.0,0.0
8445249ffffffff,116.0,0.0,0.0,0.0
844524bffffffff,165.0,0.0,0.0,0.0
844524dffffffff,8.0,0.0,0.0,0.0
8445251ffffffff,7.0,0.0,0.0,0.0
8445253ffffffff,6.0,0.0,0.0,0.0
8445255ffffffff,73.0,0.0,0.0,0.0
8445257ffffffff,22.0,0.0,0.0,0.0
844525bffffffff,44.0,0.0,0.0,0.0
844525dffffffff,30.0,0.0,0.0,0.0
8445261ffffffff,74.0,0.0,0.0,0.0
8445263ffffffff,910.0,0.0,0.0,0.0
8445267ffffffff,26.0,0.0,0.0,0.0
8445269ffffffff,43.0,0.0,0.0,0.0
844526bffffffff,348.0,0.0,0.0,0.0
844526dffffffff,84.0,0.0,0.0,0.0
8445281ffffffff,11.0,0.0,0.0,0.0
8445283ffffffff,14.0,0.0,0.0,0.0
8445285ffffffff,26.0,0.0,0.0,0.0
8445287ffffffff,88.0,0.0,26.0,0.0
8445289ffffffff,472.0,0.0,0.0,0.0
844528dffffffff,84.0,0.0,1.0,0.0
8445295ffffffff,2.0,0.0,2.0,0.0
8445297ffffffff,4.0,0.0,0.0,0.0
844529bffffffff,6.0,0.0,0.0,0.0
84452a1ffffffff,56.0,0.0,6.0,0.0
84452a3ffffffff,11.0,0.0,2.0,0.0
84452a5ffffffff,254.0,0.0,0.0,0.0
84452a7ffffffff,29.0,0.0,3.0,0.0
84452a9ffffffff,324.0,0.0,0.0,0.0
84452abffffffff,27.0,0.0,2.0,0.0
84452adffffffff,815.0,0.0,0.0,0.0
84452b5ffffffff,30.0,0.0,0.0,0.0
84452b9ffffffff,29.0,0.0,4.0,0.0
84452bdffffffff,50.0,0.0,3.0,0.0
84452c1ffffffff,53.0,0.0,4.0,0.0
84452c3ffffffff,220.0,0.0,42.0,0.0
84452c5ffffffff,64.0,0.0,7.0,0.0
84452c7ffffffff,421.0,0.0,28.0,0.0
84452c9ffffffff,49.0,0.0,15.0,0.0
84452cbffffffff,13.0,0.0,0.0,0.0
84452cdffffffff,13.0,0.0,0.0,0.0
84452d5ffffffff,10.0,0.0,0.0,0.0
