cell_id,Anaplectes rubriceps,Anaplectes rubriceps leuconotos,Anaplectes rubriceps rubriceps
8452803ffffffff,2.0,0.0,0.0
84528edffffffff,2.0,0.0,0.0
8454e51ffffffff,3.0,2.0,0.0
8458969ffffffff,2.0,0.0,0.0
8458b51ffffffff,1.0,0.0,0.0
8458e67ffffffff,4.0,0.0,0.0
8458f5bffffffff,2.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0
846a49dffffffff,5.0,0.0,0.0
846a4a3ffffffff,2.0,0.0,0.0
846a4bbffffffff,1.0,0.0,0.0
846a5a9ffffffff,25.0,0.0,0.0
846a697ffffffff,1.0,0.0,0.0
846ac03ffffffff,2.0,0.0,0.0
846ac0bffffffff,1.0,0.0,0.0
846ac15ffffffff,4.0,0.0,0.0
846ac19ffffffff,2.0,0.0,0.0
846ac1dffffffff,9.0,0.0,0.0
846ac31ffffffff,4.0,0.0,0.0
846ac33ffffffff,5.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0
846ac89ffffffff,5.0,0.0,0.0
846ac93ffffffff,17.0,0.0,0.0
846ac9bffffffff,6.0,0.0,0.0
846acc7ffffffff,5.0,0.0,0.0
846acc9ffffffff,2.0,0.0,0.0
846acd5ffffffff,2.0,0.0,0.0
846ace3ffffffff,1.0,0.0,0.0
846ace5ffffffff,233.0,0.0,0.0
846ad81ffffffff,15.0,0.0,0.0
846ad89ffffffff,5.0,0.0,0.0
846ad8bffffffff,37.0,0.0,0.0
846ad8dffffffff,2.0,0.0,0.0
846ad9dffffffff,4.0,0.0,0.0
846adc1ffffffff,3.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0
846adc9ffffffff,14.0,0.0,0.0
846add5ffffffff,1.0,0.0,0.0
846add7ffffffff,12.0,0.0,0.0
846add9ffffffff,1.0,0.0,0.0
846ade7ffffffff,3.0,0.0,0.0
846ae85ffffffff,37.0,1.0,0.0
846ae9bffffffff,2.0,0.0,0.0
846aea1ffffffff,9.0,0.0,0.0
846aea3ffffffff,19.0,0.0,0.0
846aea9ffffffff,2.0,0.0,0.0
846aeabffffffff,3.0,0.0,0.0
846aee3ffffffff,14.0,0.0,0.0
8475201ffffffff,48.0,5.0,0.0
8475203ffffffff,2.0,2.0,0.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,66.0,19.0,0.0
8475293ffffffff,2.0,0.0,0.0
