cell_id,Patagioenas subvinacea,Patagioenas subvinacea subvinacea/berlepschi,Patagioenas subvinacea [purpureotincta Group]
845f00bffffffff,5.0,0.0,0.0
845f011ffffffff,1.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0
845f025ffffffff,5.0,0.0,0.0
845f035ffffffff,102.0,0.0,0.0
845f03dffffffff,74.0,0.0,0.0
845f083ffffffff,2.0,0.0,0.0
845f08bffffffff,6.0,0.0,0.0
845f091ffffffff,2.0,0.0,0.0
845f095ffffffff,6.0,0.0,0.0
845f09dffffffff,2.0,0.0,0.0
845f0b9ffffffff,2.0,0.0,0.0
845f0d7ffffffff,5.0,0.0,0.0
845f105ffffffff,13.0,0.0,0.0
845f107ffffffff,3.0,0.0,0.0
845f117ffffffff,6.0,0.0,0.0
845f129ffffffff,4.0,0.0,0.0
845f12bffffffff,1.0,0.0,0.0
845f139ffffffff,3.0,0.0,0.0
845f13dffffffff,7.0,0.0,0.0
845f143ffffffff,15.0,0.0,0.0
845f155ffffffff,2.0,0.0,0.0
845f161ffffffff,15.0,0.0,0.0
845f163ffffffff,4.0,0.0,0.0
845f1c3ffffffff,3.0,0.0,0.0
845f1cbffffffff,10.0,0.0,0.0
845f283ffffffff,2.0,0.0,0.0
845f291ffffffff,7.0,0.0,0.0
845f295ffffffff,33.0,0.0,0.0
845f297ffffffff,1.0,0.0,0.0
845f299ffffffff,4.0,0.0,0.0
845f29dffffffff,21.0,0.0,0.0
845f2b1ffffffff,16.0,0.0,0.0
845f2b3ffffffff,109.0,0.0,0.0
845f2b7ffffffff,2.0,0.0,0.0
845f2bbffffffff,278.0,0.0,0.0
845f2d5ffffffff,2.0,0.0,0.0
845f2d7ffffffff,7.0,0.0,0.0
845f407ffffffff,6.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0
845f42bffffffff,37.0,0.0,0.0
845f437ffffffff,3.0,0.0,0.0
845f445ffffffff,2.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f487ffffffff,6.0,0.0,0.0
845f491ffffffff,20.0,0.0,0.0
845f4a3ffffffff,3.0,0.0,0.0
845f4a7ffffffff,1.0,0.0,0.0
845f4a9ffffffff,11.0,0.0,0.0
845f4abffffffff,41.0,0.0,0.0
845f4b9ffffffff,8.0,0.0,0.0
845f4bdffffffff,59.0,0.0,0.0
845f4e7ffffffff,1.0,0.0,0.0
845f50bffffffff,16.0,0.0,0.0
845f549ffffffff,18.0,0.0,0.0
845f59bffffffff,1.0,0.0,0.0
845f5d9ffffffff,1.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,18.0,0.0,0.0
845f68bffffffff,42.0,0.0,0.0
845f703ffffffff,2.0,0.0,0.0
845f709ffffffff,2.0,0.0,0.0
845f711ffffffff,30.0,0.0,0.0
845f713ffffffff,10.0,0.0,0.0
845f717ffffffff,1.0,0.0,0.0
845f755ffffffff,8.0,0.0,0.0
845f759ffffffff,52.0,0.0,0.0
845f75dffffffff,9.0,0.0,0.0
846601bffffffff,5.0,0.0,0.0
8466021ffffffff,1.0,0.0,0.0
8466023ffffffff,1.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
8466055ffffffff,4.0,0.0,0.0
8466081ffffffff,11.0,0.0,0.0
8466083ffffffff,3.0,0.0,0.0
8466085ffffffff,29.0,0.0,0.0
8466087ffffffff,19.0,0.0,0.0
8466089ffffffff,11.0,0.0,0.0
846608dffffffff,1163.0,0.0,15.0
8466091ffffffff,2.0,0.0,0.0
8466093ffffffff,2.0,0.0,0.0
8466097ffffffff,5.0,0.0,0.0
846609bffffffff,6.0,0.0,0.0
84660a1ffffffff,2.0,0.0,0.0
84660a3ffffffff,5.0,0.0,0.0
84660a5ffffffff,2.0,0.0,0.0
84660a7ffffffff,36.0,0.0,0.0
84660abffffffff,3.0,0.0,0.0
84660adffffffff,2.0,0.0,0.0
84660b1ffffffff,1.0,0.0,0.0
84660b3ffffffff,41.0,0.0,0.0
84660b5ffffffff,6.0,0.0,0.0
84660b7ffffffff,35.0,0.0,0.0
84660b9ffffffff,42.0,0.0,0.0
84660bbffffffff,12.0,0.0,0.0
84660bdffffffff,7.0,0.0,0.0
84660c1ffffffff,3.0,0.0,0.0
84660c3ffffffff,10.0,0.0,0.0
84660c7ffffffff,8.0,0.0,0.0
84660cbffffffff,44.0,0.0,0.0
84660d1ffffffff,5.0,0.0,0.0
84660ddffffffff,14.0,0.0,0.0
84660e1ffffffff,5.0,0.0,0.0
84660e3ffffffff,2.0,0.0,0.0
84660ebffffffff,18.0,0.0,0.0
8466103ffffffff,4.0,0.0,0.0
8466105ffffffff,2.0,0.0,0.0
8466107ffffffff,66.0,2.0,0.0
8466113ffffffff,4.0,0.0,0.0
8466129ffffffff,5.0,0.0,0.0
8466131ffffffff,80.0,8.0,0.0
8466135ffffffff,5.0,0.0,0.0
8466139ffffffff,115.0,7.0,0.0
846613bffffffff,16.0,0.0,0.0
846613dffffffff,3.0,0.0,0.0
8466161ffffffff,2.0,0.0,0.0
8466163ffffffff,9.0,0.0,0.0
8466165ffffffff,5.0,0.0,0.0
8466181ffffffff,102.0,0.0,0.0
8466183ffffffff,13.0,0.0,0.0
8466185ffffffff,4.0,0.0,0.0
8466187ffffffff,5.0,0.0,0.0
846618bffffffff,29.0,0.0,0.0
846618dffffffff,7.0,0.0,0.0
8466191ffffffff,35.0,0.0,0.0
8466193ffffffff,145.0,0.0,0.0
8466195ffffffff,3.0,0.0,0.0
8466197ffffffff,398.0,0.0,0.0
8466199ffffffff,39.0,0.0,0.0
846619bffffffff,35.0,0.0,0.0
846619dffffffff,64.0,0.0,0.0
84661a5ffffffff,20.0,0.0,0.0
84661a7ffffffff,10.0,0.0,0.0
84661adffffffff,13.0,0.0,0.0
84661b1ffffffff,435.0,41.0,0.0
84661b3ffffffff,46.0,1.0,0.0
84661b7ffffffff,3.0,0.0,0.0
84661b9ffffffff,113.0,0.0,0.0
84661bbffffffff,228.0,0.0,1.0
84661bdffffffff,17.0,0.0,0.0
84661c1ffffffff,13.0,0.0,0.0
84661c3ffffffff,6.0,0.0,0.0
84661c9ffffffff,23.0,0.0,0.0
84661cdffffffff,62.0,0.0,0.0
84661d1ffffffff,732.0,0.0,7.0
84661d3ffffffff,5.0,0.0,0.0
84661d5ffffffff,93.0,0.0,1.0
84661d7ffffffff,16.0,0.0,0.0
84661ddffffffff,9.0,0.0,0.0
84661ebffffffff,17.0,0.0,0.0
8466211ffffffff,9.0,0.0,0.0
8466213ffffffff,20.0,0.0,0.0
8466217ffffffff,35.0,0.0,0.0
846628bffffffff,1.0,0.0,0.0
8466291ffffffff,11.0,0.0,0.0
8466293ffffffff,6.0,0.0,0.0
8466299ffffffff,10.0,0.0,0.0
846629bffffffff,4.0,0.0,0.0
846629dffffffff,88.0,0.0,10.0
84662b1ffffffff,2.0,0.0,0.0
84662b5ffffffff,1.0,0.0,0.0
84662b7ffffffff,8.0,0.0,0.0
84662bbffffffff,10.0,0.0,0.0
84662bdffffffff,2.0,0.0,0.0
84662cdffffffff,7.0,0.0,0.0
84662d3ffffffff,43.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0
84662e1ffffffff,16.0,0.0,0.0
84662e9ffffffff,16.0,0.0,0.0
846640dffffffff,5.0,0.0,0.0
8466411ffffffff,36.0,0.0,1.0
8466415ffffffff,464.0,0.0,24.0
8466417ffffffff,40.0,0.0,2.0
846641dffffffff,245.0,0.0,10.0
8466437ffffffff,1.0,0.0,0.0
8466439ffffffff,1.0,0.0,0.0
8466441ffffffff,2.0,0.0,0.0
846644bffffffff,2.0,0.0,0.0
8466455ffffffff,2.0,0.0,0.0
8466457ffffffff,3.0,0.0,0.0
8466481ffffffff,1.0,0.0,0.0
8466487ffffffff,12.0,0.0,0.0
84664b9ffffffff,2.0,0.0,0.0
84664e9ffffffff,2.0,0.0,0.0
84664ebffffffff,1.0,0.0,0.0
8466509ffffffff,2.0,0.0,0.0
8466513ffffffff,2.0,0.0,0.0
8466529ffffffff,87.0,0.0,0.0
846652dffffffff,16.0,0.0,0.0
8466537ffffffff,8.0,0.0,0.0
8466545ffffffff,2.0,0.0,0.0
846654bffffffff,17.0,0.0,0.0
8466561ffffffff,12.0,0.0,0.0
8466565ffffffff,6.0,0.0,0.0
846656dffffffff,16.0,0.0,0.0
84665a3ffffffff,4.0,0.0,0.0
84665abffffffff,437.0,0.0,4.0
84665bdffffffff,387.0,0.0,0.0
84665e9ffffffff,166.0,0.0,0.0
8466631ffffffff,8.0,0.0,0.0
8466637ffffffff,14.0,0.0,0.0
8466639ffffffff,3.0,0.0,0.0
846663dffffffff,7.0,0.0,0.0
846664dffffffff,2.0,0.0,0.0
84666b7ffffffff,1.0,0.0,0.0
84666b9ffffffff,1.0,0.0,0.0
84666c5ffffffff,13.0,0.0,0.0
84666e3ffffffff,3.0,0.0,0.0
84666ebffffffff,2.0,0.0,0.0
8466705ffffffff,2.0,0.0,0.0
846670dffffffff,2.0,0.0,0.0
8466727ffffffff,17.0,0.0,0.0
8466731ffffffff,1.0,0.0,0.0
8466749ffffffff,2.0,0.0,0.0
8466763ffffffff,1.0,0.0,0.0
8466769ffffffff,3.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466a2dffffffff,7.0,2.0,0.0
8466a59ffffffff,2.0,0.0,0.0
8466a9bffffffff,2.0,0.0,0.0
8466b41ffffffff,1607.0,0.0,0.0
8466b43ffffffff,144.0,0.0,0.0
8466b45ffffffff,1838.0,0.0,0.0
8466b47ffffffff,109.0,0.0,0.0
8466b49ffffffff,415.0,0.0,0.0
8466b4dffffffff,1189.0,0.0,0.0
8466b51ffffffff,313.0,10.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b55ffffffff,501.0,0.0,0.0
8466b5bffffffff,75.0,10.0,0.0
8466b5dffffffff,339.0,0.0,0.0
8466c01ffffffff,8.0,0.0,0.0
8466c03ffffffff,8.0,0.0,0.0
8466c05ffffffff,5.0,0.0,0.0
8466c0dffffffff,101.0,0.0,0.0
8466c17ffffffff,4.0,0.0,0.0
8466c1dffffffff,1.0,0.0,0.0
8466c21ffffffff,148.0,0.0,0.0
8466c23ffffffff,195.0,0.0,0.0
8466c25ffffffff,5.0,0.0,0.0
8466c27ffffffff,56.0,0.0,0.0
8466c29ffffffff,55.0,0.0,0.0
8466c2bffffffff,6.0,0.0,0.0
8466c2dffffffff,44.0,0.0,0.0
8466c35ffffffff,3.0,0.0,0.0
8466c37ffffffff,13.0,0.0,0.0
8466c39ffffffff,2.0,0.0,0.0
8466c41ffffffff,2.0,0.0,0.0
8466c47ffffffff,11.0,0.0,0.0
8466c4dffffffff,31.0,0.0,0.0
8466c53ffffffff,13.0,0.0,0.0
8466c57ffffffff,31.0,0.0,0.0
8466c5bffffffff,1.0,0.0,0.0
8466c5dffffffff,41.0,0.0,0.0
8466c61ffffffff,34.0,0.0,0.0
8466c63ffffffff,378.0,0.0,1.0
8466c65ffffffff,2.0,0.0,0.0
8466c67ffffffff,47.0,0.0,0.0
8466c6bffffffff,78.0,0.0,0.0
8466c6dffffffff,20.0,0.0,0.0
8466cb3ffffffff,3.0,0.0,0.0
8466cc5ffffffff,6.0,0.0,0.0
8466cdbffffffff,7.0,0.0,0.0
8466ce1ffffffff,38.0,0.0,0.0
8466ce9ffffffff,76.0,0.0,0.0
8466cedffffffff,26.0,0.0,0.0
8466d01ffffffff,28.0,1.0,0.0
8466d03ffffffff,100.0,0.0,0.0
