cell_id,Diglossa cyanea,Diglossa cyanea [cyanea Group],Diglossa cyanea melanopis
826607fffffffff,3.0,0.0,0.0
82660ffffffffff,945.0,0.0,0.0
82661ffffffffff,5762.0,0.0,0.0
826627fffffffff,115.0,0.0,0.0
82662ffffffffff,189.0,0.0,0.0
8266c7fffffffff,890.0,0.0,0.0
8266d7fffffffff,7382.0,121.0,0.0
8266dffffffffff,3711.0,142.0,0.0
8266e7fffffffff,13139.0,0.0,0.0
8266f7fffffffff,1611.0,0.0,0.0
826747fffffffff,35.0,0.0,0.0
82675ffffffffff,159.0,0.0,0.0
828b27fffffffff,90.0,0.0,0.0
828b2ffffffffff,197.0,0.0,0.0
828b67fffffffff,1673.0,0.0,18.0
828b6ffffffffff,654.0,0.0,6.0
828b77fffffffff,17.0,0.0,0.0
828e67fffffffff,443.0,0.0,0.0
828e6ffffffffff,78.0,0.0,0.0
828f0ffffffffff,228.0,0.0,0.0
828f2ffffffffff,463.0,0.0,0.0
828f47fffffffff,72.0,0.0,0.0
828f4ffffffffff,25.0,0.0,0.0
828f57fffffffff,494.0,0.0,0.0
828f5ffffffffff,244.0,0.0,0.0
828f77fffffffff,1845.0,0.0,0.0
82b327fffffffff,221.0,0.0,0.0
