cell_id,Egretta gularis,Egretta gularis gularis,Egretta gularis schistacea
82184ffffffffff,2.0,0.0,0.0
821ea7fffffffff,1.0,0.0,0.0
821eb7fffffffff,3.0,0.0,0.0
821ecffffffffff,1.0,0.0,0.0
821ed7fffffffff,1.0,0.0,0.0
821eeffffffffff,3.0,3.0,0.0
822a07fffffffff,5.0,0.0,0.0
822a17fffffffff,10.0,0.0,0.0
822a37fffffffff,17.0,0.0,0.0
822b2ffffffffff,3.0,0.0,0.0
822c97fffffffff,7.0,0.0,3.0
822c9ffffffffff,10.0,0.0,5.0
822daffffffffff,2.0,0.0,0.0
823827fffffffff,8.0,0.0,0.0
823907fffffffff,18.0,2.0,0.0
82390ffffffffff,31.0,4.0,0.0
823917fffffffff,4.0,0.0,0.0
82391ffffffffff,3.0,0.0,0.0
823947fffffffff,16.0,0.0,0.0
823957fffffffff,17.0,0.0,0.0
82396ffffffffff,3.0,0.0,0.0
823977fffffffff,13.0,0.0,0.0
823987fffffffff,4.0,2.0,0.0
823c1ffffffffff,1.0,0.0,1.0
823c8ffffffffff,3.0,0.0,0.0
823c97fffffffff,2.0,0.0,0.0
823d17fffffffff,2.0,0.0,0.0
823db7fffffffff,2.0,0.0,0.0
823e6ffffffffff,4.0,0.0,1.0
824257fffffffff,1.0,0.0,0.0
82425ffffffffff,1.0,0.0,0.0
8242c7fffffffff,29.0,0.0,6.0
8242cffffffffff,17.0,0.0,0.0
8242dffffffffff,5.0,0.0,1.0
8242e7fffffffff,9.0,0.0,6.0
8242effffffffff,10.0,0.0,0.0
824317fffffffff,2.0,0.0,0.0
82439ffffffffff,4.0,0.0,4.0
8243a7fffffffff,21.0,0.0,1.0
8243affffffffff,42.0,0.0,1.0
825217fffffffff,1.0,0.0,0.0
82521ffffffffff,2.0,0.0,0.0
82534ffffffffff,2.0,0.0,0.0
8254affffffffff,2.0,2.0,0.0
8254b7fffffffff,2.0,0.0,0.0
8254c7fffffffff,5.0,4.0,0.0
8254f7fffffffff,2.0,0.0,0.0
825517fffffffff,3.0,0.0,0.0
825e5ffffffffff,1.0,0.0,0.0
825f0ffffffffff,2.0,0.0,0.0
825f5ffffffffff,2.0,0.0,0.0
826007fffffffff,29.0,0.0,0.0
826017fffffffff,116.0,0.0,0.0
82601ffffffffff,16.0,0.0,0.0
826027fffffffff,38.0,0.0,0.0
826037fffffffff,114.0,0.0,2.0
82608ffffffffff,8.0,0.0,0.0
826097fffffffff,1.0,0.0,0.0
82609ffffffffff,16.0,0.0,0.0
8260affffffffff,52.0,0.0,3.0
8260b7fffffffff,29.0,0.0,0.0
82611ffffffffff,7.0,0.0,0.0
82618ffffffffff,26.0,0.0,0.0
82619ffffffffff,2.0,0.0,0.0
8261affffffffff,7.0,0.0,0.0
827a4ffffffffff,3.0,0.0,0.0
827a6ffffffffff,1.0,0.0,1.0
827adffffffffff,1.0,0.0,0.0
8282c7fffffffff,1.0,0.0,0.0
828c47fffffffff,10.0,0.0,0.0
828c6ffffffffff,18.0,0.0,0.0
