cell_id,Pyrrhura lepida,Pyrrhura lepida lepida,Pyrrhura lepida anerythra,Pyrrhura lepida coerulescens
848008bffffffff,1.0,0.0,0.0,1.0
8480615ffffffff,1.0,0.0,0.0,0.0
8480619ffffffff,8.0,0.0,8.0,0.0
8480623ffffffff,2.0,0.0,0.0,0.0
8480643ffffffff,8.0,0.0,8.0,0.0
8480655ffffffff,27.0,0.0,27.0,0.0
848065dffffffff,1.0,0.0,1.0,0.0
848066bffffffff,4.0,0.0,3.0,0.0
84806e9ffffffff,2.0,0.0,0.0,0.0
8480713ffffffff,1.0,0.0,1.0,0.0
8480743ffffffff,2.0,0.0,0.0,0.0
8480745ffffffff,16.0,0.0,0.0,12.0
8480747ffffffff,6.0,0.0,0.0,5.0
848074bffffffff,3.0,0.0,0.0,0.0
848074dffffffff,1.0,0.0,0.0,1.0
8480759ffffffff,4.0,0.0,0.0,0.0
848075dffffffff,1.0,0.0,1.0,0.0
848076bffffffff,1.0,0.0,0.0,0.0
848076dffffffff,2.0,0.0,0.0,2.0
848146bffffffff,3.0,0.0,2.0,1.0
8481485ffffffff,2.0,0.0,1.0,0.0
84814a1ffffffff,10.0,0.0,10.0,0.0
84814a9ffffffff,21.0,0.0,12.0,0.0
84814adffffffff,21.0,0.0,12.0,0.0
84814c7ffffffff,1.0,0.0,0.0,0.0
84814d5ffffffff,31.0,0.0,31.0,0.0
84814dbffffffff,1.0,0.0,1.0,0.0
84814ddffffffff,1.0,0.0,1.0,0.0
84814e3ffffffff,10.0,0.0,4.0,0.0
84814e7ffffffff,44.0,0.0,39.0,0.0
84814ebffffffff,5.0,0.0,4.0,0.0
848159dffffffff,2.0,0.0,2.0,0.0
84815a1ffffffff,1.0,0.0,0.0,0.0
84815a7ffffffff,2.0,0.0,0.0,2.0
84815abffffffff,9.0,0.0,0.0,4.0
84815d3ffffffff,2.0,0.0,2.0,0.0
84815d9ffffffff,15.0,0.0,8.0,0.0
8481637ffffffff,3.0,0.0,0.0,0.0
848a927ffffffff,4.0,0.0,0.0,0.0
848a929ffffffff,2.0,0.0,0.0,0.0
848b925ffffffff,1.0,0.0,0.0,0.0
848b9d5ffffffff,5.0,0.0,0.0,0.0
84a8c97ffffffff,9.0,0.0,0.0,0.0
