cell_id,Curruca mystacea,Curruca mystacea mystacea,Curruca mystacea rubescens/turcmenica
832016fffffffff,2.0,0.0,2.0
8320b1fffffffff,4.0,0.0,0.0
8320b3fffffffff,5.0,0.0,0.0
832c04fffffffff,4.0,0.0,0.0
832c0bfffffffff,2.0,0.0,0.0
832c90fffffffff,2.0,0.0,0.0
832c91fffffffff,1.0,0.0,1.0
832c93fffffffff,8.0,0.0,0.0
832cacfffffffff,1.0,0.0,0.0
832ce4fffffffff,1.0,0.0,0.0
832da1fffffffff,6.0,0.0,0.0
832da6fffffffff,3.0,0.0,0.0
832da8fffffffff,6.0,0.0,1.0
832dacfffffffff,2.0,0.0,0.0
832daefffffffff,9.0,0.0,0.0
832db1fffffffff,2.0,0.0,0.0
832db2fffffffff,1.0,0.0,0.0
833e45fffffffff,2.0,0.0,0.0
833e68fffffffff,21.0,0.0,1.0
833e6cfffffffff,17.0,0.0,0.0
8343a0fffffffff,6.0,0.0,0.0
8343a3fffffffff,1.0,0.0,0.0
8343a4fffffffff,1.0,0.0,0.0
8343aafffffffff,1.0,1.0,0.0
83534dfffffffff,1.0,0.0,0.0
835364fffffffff,1.0,0.0,1.0
