cell_id,Patagioenas subvinacea,Patagioenas subvinacea subvinacea/berlepschi,Patagioenas subvinacea [purpureotincta Group]
845f483ffffffff,1.0,0.0,0.0
84660bdffffffff,4.0,0.0,0.0
84660cbffffffff,6.0,0.0,0.0
8466107ffffffff,2.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0
84661bbffffffff,9.0,9.0,0.0
8466b45ffffffff,6.0,6.0,0.0
8466b49ffffffff,2.0,0.0,0.0
8466b4dffffffff,12.0,4.0,0.0
8466b5bffffffff,10.0,0.0,0.0
8466c69ffffffff,1.0,0.0,0.0
8466d35ffffffff,2.0,2.0,0.0
8466d37ffffffff,1.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0
8466de3ffffffff,4.0,0.0,0.0
8466ec1ffffffff,1.0,0.0,0.0
8467413ffffffff,28.0,0.0,0.0
84674ddffffffff,1.0,0.0,0.0
8467519ffffffff,2.0,0.0,0.0
84675adffffffff,8.0,0.0,0.0
84675b3ffffffff,3.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0
84679b7ffffffff,3.0,0.0,0.0
846d691ffffffff,13.0,0.0,0.0
846d69bffffffff,11.0,0.0,0.0
846d69dffffffff,8.0,6.0,0.0
848a317ffffffff,1.0,0.0,1.0
848b315ffffffff,1.0,0.0,0.0
848b617ffffffff,2.0,0.0,2.0
848b637ffffffff,7.0,0.0,7.0
848b63bffffffff,12.0,0.0,12.0
848b76bffffffff,1.0,0.0,0.0
848f0d1ffffffff,3.0,3.0,0.0
848f0d3ffffffff,1.0,0.0,0.0
848f407ffffffff,3.0,0.0,3.0
848f73dffffffff,1.0,0.0,1.0
