cell_id,Malurus leucopterus,Malurus leucopterus leuconotus,Malurus leucopterus leucopterus/edouardi
84a6267ffffffff,2.0,2.0,0.0
84a71d1ffffffff,2.0,2.0,0.0
84a71ddffffffff,2.0,2.0,0.0
84b8415ffffffff,1.0,1.0,0.0
84b880bffffffff,1.0,1.0,0.0
84b8843ffffffff,1.0,1.0,0.0
84b8855ffffffff,5.0,5.0,0.0
84b9855ffffffff,2.0,0.0,0.0
84b9861ffffffff,4.0,0.0,0.0
84b9951ffffffff,1.0,0.0,0.0
84b9955ffffffff,1.0,0.0,0.0
84b9a13ffffffff,1.0,1.0,0.0
84b9a59ffffffff,4.0,0.0,0.0
84be401ffffffff,7.0,0.0,0.0
84be421ffffffff,1.0,1.0,0.0
84be42dffffffff,2.0,0.0,0.0
84be505ffffffff,3.0,3.0,0.0
84be563ffffffff,3.0,0.0,0.0
84bee45ffffffff,5.0,0.0,0.0
84bee6bffffffff,3.0,0.0,0.0
84bef07ffffffff,4.0,2.0,0.0
