cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
820c47fffffffff,8.0,0.0,0.0
820c77fffffffff,22.0,0.0,0.0
820d5ffffffffff,5.0,0.0,0.0
820e4ffffffffff,6.0,0.0,0.0
821227fffffffff,1.0,0.0,0.0
821297fffffffff,1.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0
8212b7fffffffff,4.0,0.0,0.0
8212c7fffffffff,1.0,0.0,0.0
8212cffffffffff,21.0,2.0,0.0
8212dffffffffff,14.0,4.0,0.0
8212effffffffff,4.0,0.0,0.0
821387fffffffff,4.0,0.0,0.0
82138ffffffffff,2.0,0.0,0.0
82261ffffffffff,2.0,2.0,0.0
82262ffffffffff,2.0,0.0,0.0
822637fffffffff,8.0,0.0,0.0
822647fffffffff,29.0,1.0,0.0
82264ffffffffff,93.0,12.0,0.0
822657fffffffff,19.0,0.0,0.0
82265ffffffffff,34.0,4.0,0.0
822667fffffffff,94.0,2.0,0.0
82266ffffffffff,25.0,0.0,0.0
822677fffffffff,5.0,5.0,0.0
822687fffffffff,235.0,2.0,0.0
82268ffffffffff,164.0,3.0,0.0
822697fffffffff,96.0,0.0,0.0
82269ffffffffff,80.0,1.0,0.0
8226affffffffff,55.0,0.0,0.0
8226b7fffffffff,6.0,0.0,0.0
8226c7fffffffff,6.0,0.0,0.0
8226cffffffffff,7.0,3.0,0.0
8226d7fffffffff,10.0,0.0,0.0
8226dffffffffff,19.0,1.0,0.0
8226e7fffffffff,13.0,1.0,0.0
8226effffffffff,19.0,0.0,0.0
8226f7fffffffff,17.0,0.0,0.0
82270ffffffffff,3.0,3.0,0.0
82271ffffffffff,1.0,0.0,0.0
822747fffffffff,74.0,0.0,0.0
82274ffffffffff,1528.0,0.0,0.0
822757fffffffff,289.0,0.0,0.0
82275ffffffffff,72.0,0.0,0.0
822767fffffffff,15.0,0.0,0.0
82276ffffffffff,41.0,19.0,0.0
822777fffffffff,21.0,0.0,0.0
822787fffffffff,1.0,0.0,0.0
822797fffffffff,2.0,0.0,0.0
82279ffffffffff,2.0,2.0,0.0
8227a7fffffffff,3.0,0.0,0.0
8227affffffffff,6.0,0.0,0.0
8227b7fffffffff,1.0,0.0,0.0
822807fffffffff,12.0,0.0,0.0
822817fffffffff,5.0,0.0,0.0
82281ffffffffff,12.0,0.0,0.0
822837fffffffff,6631.0,39.0,0.0
822887fffffffff,9.0,0.0,0.0
82288ffffffffff,8.0,0.0,0.0
822897fffffffff,14.0,0.0,0.0
82289ffffffffff,9.0,0.0,0.0
8228a7fffffffff,1.0,0.0,0.0
8228affffffffff,7.0,4.0,0.0
8228b7fffffffff,5.0,0.0,0.0
8228d7fffffffff,6.0,2.0,0.0
8228dffffffffff,3.0,0.0,0.0
8228f7fffffffff,14.0,0.0,0.0
822917fffffffff,9.0,2.0,0.0
82291ffffffffff,8.0,1.0,0.0
822987fffffffff,8.0,0.0,0.0
82298ffffffffff,13.0,1.0,0.0
822997fffffffff,16.0,2.0,0.0
8229a7fffffffff,172.0,20.0,0.0
8229affffffffff,47.0,2.0,0.0
8229b7fffffffff,12.0,4.0,0.0
822a07fffffffff,9.0,0.0,0.0
822a17fffffffff,11935.0,29.0,0.0
822a37fffffffff,180.0,10.0,0.0
822a87fffffffff,11.0,1.0,0.0
822a8ffffffffff,4.0,0.0,0.0
822a97fffffffff,8.0,1.0,0.0
822a9ffffffffff,2.0,0.0,0.0
822aa7fffffffff,29.0,1.0,0.0
822aaffffffffff,934.0,32.0,0.0
822ab7fffffffff,1551.0,1061.0,0.0
822ad7fffffffff,1.0,0.0,0.0
822af7fffffffff,17.0,0.0,0.0
822b07fffffffff,15.0,0.0,0.0
822b0ffffffffff,13.0,0.0,0.0
822b17fffffffff,199.0,1.0,0.0
822b1ffffffffff,32.0,0.0,0.0
822b2ffffffffff,1.0,0.0,0.0
822b37fffffffff,5.0,0.0,0.0
822b87fffffffff,117.0,26.0,0.0
822b8ffffffffff,956.0,532.0,0.0
822b9ffffffffff,1066.0,913.0,0.0
822ba7fffffffff,4.0,0.0,0.0
822baffffffffff,280.0,10.0,0.0
824417fffffffff,27.0,0.0,0.0
82441ffffffffff,11.0,5.0,0.0
824437fffffffff,19.0,0.0,0.0
824447fffffffff,15.0,0.0,0.0
82444ffffffffff,8.0,0.0,0.0
824457fffffffff,10.0,3.0,0.0
824467fffffffff,1.0,0.0,0.0
82446ffffffffff,29.0,3.0,0.0
8244a7fffffffff,22.0,0.0,0.0
8244affffffffff,17.0,0.0,0.0
8244c7fffffffff,81.0,0.0,0.0
8244cffffffffff,10.0,0.0,0.0
8244d7fffffffff,3.0,0.0,0.0
8244dffffffffff,10.0,0.0,0.0
8244e7fffffffff,13.0,0.0,0.0
8244effffffffff,14.0,0.0,0.0
8244f7fffffffff,94.0,67.0,0.0
82480ffffffffff,64.0,60.0,0.0
82482ffffffffff,1.0,0.0,0.0
824847fffffffff,1.0,0.0,0.0
82484ffffffffff,5.0,0.0,0.0
824857fffffffff,6.0,5.0,0.0
82485ffffffffff,66.0,7.0,0.0
82486ffffffffff,2.0,0.0,0.0
824877fffffffff,1.0,0.0,0.0
824887fffffffff,97.0,1.0,0.0
82488ffffffffff,5.0,2.0,0.0
824897fffffffff,65.0,1.0,0.0
82489ffffffffff,16.0,4.0,0.0
8248b7fffffffff,1628.0,15.0,0.0
8248c7fffffffff,39.0,7.0,0.0
8248cffffffffff,12.0,5.0,0.0
8248d7fffffffff,10.0,6.0,0.0
8248dffffffffff,8.0,4.0,0.0
8248e7fffffffff,10.0,10.0,0.0
8248effffffffff,1551.0,1214.0,0.0
8248f7fffffffff,11.0,0.0,0.0
824987fffffffff,184.0,183.0,0.0
82498ffffffffff,4.0,3.0,0.0
824997fffffffff,911.0,889.0,0.0
8249affffffffff,111.0,109.0,0.0
8249b7fffffffff,127.0,126.0,0.0
825d17fffffffff,14.0,2.0,0.0
826d2ffffffffff,5.0,0.0,0.0
826d37fffffffff,35.0,13.0,0.0
