cell_id,Staphida castaniceps,Staphida castaniceps [striata Group],Staphida castaniceps castaniceps
823c0ffffffffff,21.0,0.0,0.0
823c47fffffffff,3.0,0.0,0.0
823c57fffffffff,1.0,0.0,0.0
823c5ffffffffff,657.0,0.0,0.0
823cc7fffffffff,53.0,0.0,0.0
823cdffffffffff,12.0,0.0,0.0
823ce7fffffffff,340.0,0.0,0.0
823ceffffffffff,65.0,0.0,0.0
82404ffffffffff,204.0,2.0,0.0
82405ffffffffff,2.0,0.0,0.0
824067fffffffff,13.0,0.0,0.0
82406ffffffffff,15.0,0.0,0.0
826417fffffffff,68.0,0.0,0.0
826487fffffffff,143.0,0.0,0.0
826497fffffffff,182.0,0.0,0.0
8264a7fffffffff,54.0,0.0,0.0
