cell_id,Limosa lapponica,Limosa lapponica [lapponica Group],Limosa lapponica [baueri Group]
8401265ffffffff,2.0,0.0,0.0
840130bffffffff,80.0,12.0,0.0
8401319ffffffff,10.0,0.0,0.0
840131dffffffff,10.0,0.0,0.0
840134bffffffff,4.0,0.0,0.0
8401351ffffffff,161.0,15.0,0.0
8401353ffffffff,16.0,0.0,0.0
8401355ffffffff,88.0,18.0,0.0
8401357ffffffff,6.0,0.0,0.0
8401359ffffffff,2.0,0.0,0.0
840135bffffffff,50.0,4.0,0.0
84041abffffffff,88.0,0.0,0.0
8404cddffffffff,6.0,0.0,0.0
840758dffffffff,2.0,0.0,0.0
84075d1ffffffff,16.0,0.0,0.0
8407623ffffffff,2.0,0.0,0.0
8407635ffffffff,5.0,0.0,0.0
840802dffffffff,3.0,0.0,0.0
8408065ffffffff,8.0,0.0,0.0
8408159ffffffff,4.0,0.0,0.0
840815bffffffff,6.0,0.0,0.0
8408305ffffffff,2.0,0.0,0.0
8408365ffffffff,6.0,0.0,0.0
840836dffffffff,2.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0
8408855ffffffff,2.0,0.0,0.0
8408863ffffffff,1.0,0.0,0.0
8408869ffffffff,2.0,0.0,0.0
840886bffffffff,18.0,0.0,0.0
8408889ffffffff,25.0,0.0,0.0
840888bffffffff,3.0,0.0,0.0
840888dffffffff,18.0,7.0,0.0
84088e1ffffffff,2.0,0.0,0.0
84088e3ffffffff,1.0,0.0,0.0
8408929ffffffff,1.0,0.0,0.0
8408937ffffffff,15.0,0.0,0.0
8408959ffffffff,2.0,0.0,0.0
840895bffffffff,2.0,0.0,0.0
8408961ffffffff,7.0,0.0,0.0
8408965ffffffff,6.0,0.0,0.0
8408985ffffffff,7.0,0.0,0.0
840898bffffffff,17.0,0.0,0.0
8408995ffffffff,3.0,0.0,0.0
8408997ffffffff,4.0,2.0,0.0
84089a5ffffffff,2.0,0.0,0.0
84089a9ffffffff,30.0,0.0,0.0
84089c3ffffffff,1.0,0.0,0.0
84089dbffffffff,6.0,0.0,0.0
84089e3ffffffff,19.0,0.0,0.0
84089e7ffffffff,5.0,0.0,0.0
84089ebffffffff,2.0,0.0,0.0
8408c91ffffffff,2.0,2.0,0.0
8408c93ffffffff,10.0,2.0,0.0
8408c97ffffffff,12.0,2.0,0.0
8408cd3ffffffff,15.0,0.0,0.0
8408cd7ffffffff,2.0,0.0,0.0
8408cdbffffffff,1.0,0.0,0.0
8408d19ffffffff,8.0,0.0,0.0
8408d57ffffffff,6.0,0.0,0.0
8408e99ffffffff,1.0,0.0,0.0
8408e9bffffffff,2.0,0.0,0.0
8408ec9ffffffff,1.0,0.0,0.0
8408edbffffffff,2.0,0.0,0.0
8408f63ffffffff,2.0,0.0,0.0
8409591ffffffff,2.0,0.0,0.0
8409819ffffffff,4.0,0.0,0.0
8409821ffffffff,16.0,0.0,0.0
8409829ffffffff,13.0,0.0,0.0
840982bffffffff,5.0,0.0,0.0
840982dffffffff,17.0,0.0,0.0
8409911ffffffff,35.0,0.0,0.0
8409917ffffffff,2.0,0.0,0.0
840991bffffffff,68.0,1.0,0.0
8409937ffffffff,4.0,0.0,0.0
8409981ffffffff,10.0,0.0,0.0
8409987ffffffff,2.0,0.0,0.0
8409993ffffffff,4.0,0.0,0.0
8409a09ffffffff,1.0,0.0,0.0
