cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
82524ffffffffff,8.0,2.0,0.0,0.0
8254e7fffffffff,1.0,0.0,0.0,0.0
826337fffffffff,2.0,0.0,0.0,0.0
826ac7fffffffff,1.0,1.0,0.0,0.0
826acffffffffff,7.0,3.0,0.0,0.0
82750ffffffffff,4.0,4.0,0.0,0.0
827527fffffffff,1.0,1.0,0.0,0.0
827a47fffffffff,4.0,3.0,0.0,0.0
827a4ffffffffff,1.0,0.0,0.0,0.0
827a67fffffffff,1.0,0.0,0.0,0.0
827a6ffffffffff,6.0,5.0,0.0,0.0
827acffffffffff,2.0,0.0,0.0,0.0
827b4ffffffffff,35.0,0.0,0.0,0.0
829747fffffffff,1.0,1.0,0.0,0.0
82974ffffffffff,9.0,0.0,0.0,0.0
82bcc7fffffffff,7.0,0.0,0.0,0.0
82bcd7fffffffff,3.0,1.0,0.0,0.0
