cell_id,Pyrrhura amazonum,Pyrrhura amazonum amazonum,Pyrrhura amazonum snethlageae,Pyrrhura amazonum lucida
828067fffffffff,65.0,40.0,0.0,0.0
828147fffffffff,81.0,21.0,0.0,0.0
82814ffffffffff,436.0,130.0,21.0,0.0
82815ffffffffff,46.0,11.0,0.0,0.0
828177fffffffff,8.0,8.0,0.0,0.0
828a07fffffffff,62.0,0.0,55.0,0.0
828a17fffffffff,42.0,0.0,16.0,0.0
828a27fffffffff,27.0,0.0,23.0,0.0
828a2ffffffffff,5.0,0.0,5.0,0.0
828a37fffffffff,22.0,0.0,17.0,0.0
828a87fffffffff,24.0,15.0,3.0,0.0
828a97fffffffff,7.0,0.0,0.0,0.0
828a9ffffffffff,28.0,22.0,0.0,0.0
828b0ffffffffff,1.0,0.0,1.0,0.0
828b1ffffffffff,1.0,0.0,1.0,0.0
828b87fffffffff,86.0,0.0,50.0,0.0
828b8ffffffffff,11.0,0.0,4.0,0.0
828b97fffffffff,1.0,0.0,1.0,0.0
828b9ffffffffff,880.0,24.0,275.0,0.0
828ba7fffffffff,6.0,0.0,5.0,0.0
828baffffffffff,3.0,0.0,3.0,0.0
828bb7fffffffff,1.0,0.0,1.0,0.0
82a84ffffffffff,1.0,0.0,0.0,0.0
82a8cffffffffff,12.0,0.0,11.0,0.0
