cell_id,Cistothorus palustris,Cistothorus palustris [paludicola Group],Cistothorus palustris [plesius Group],Cistothorus palustris [palustris Group],Cistothorus palustris griseus,Cistothorus palustris tolucensis
821217fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,251.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,49.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,253.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,227.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,125.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,256.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,77.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,458.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,2365.0,0.0,15.0,0.0,0.0,0.0
8212d7fffffffff,1588.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,2901.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,802.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,62.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,661.0,0.0,0.0,24.0,0.0,0.0
82260ffffffffff,618.0,0.0,0.0,8.0,0.0,0.0
822617fffffffff,202.0,0.0,15.0,0.0,0.0,0.0
82261ffffffffff,115.0,0.0,0.0,2.0,0.0,0.0
822627fffffffff,2329.0,0.0,0.0,83.0,0.0,0.0
82262ffffffffff,2368.0,0.0,0.0,28.0,0.0,0.0
822637fffffffff,1957.0,0.0,0.0,274.0,0.0,0.0
822647fffffffff,675.0,0.0,0.0,20.0,0.0,0.0
82264ffffffffff,266.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,1335.0,0.0,0.0,9.0,0.0,0.0
82265ffffffffff,437.0,0.0,0.0,6.0,0.0,0.0
822667fffffffff,5177.0,0.0,0.0,143.0,0.0,0.0
82266ffffffffff,655.0,0.0,0.0,57.0,0.0,0.0
822677fffffffff,345.0,0.0,0.0,10.0,0.0,0.0
822687fffffffff,2125.0,0.0,71.0,0.0,0.0,0.0
82268ffffffffff,2830.0,0.0,124.0,0.0,0.0,0.0
822697fffffffff,5821.0,0.0,1975.0,0.0,0.0,0.0
82269ffffffffff,1705.0,0.0,73.0,0.0,0.0,0.0
