cell_id,Cissa chinensis,Cissa chinensis [chinensis Group],Cissa chinensis margaritae
843c027ffffffff,3.0,0.0,0.0
843c029ffffffff,11.0,1.0,0.0
843c02dffffffff,49.0,1.0,0.0
843c065ffffffff,1.0,0.0,0.0
843c067ffffffff,12.0,0.0,0.0
843c069ffffffff,1.0,0.0,0.0
843c0a5ffffffff,389.0,8.0,0.0
843c0a7ffffffff,1.0,0.0,0.0
843c0adffffffff,103.0,3.0,0.0
843c0b5ffffffff,2.0,0.0,0.0
843c0b7ffffffff,7.0,0.0,0.0
843c159ffffffff,15.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0
843c199ffffffff,429.0,11.0,0.0
843c19bffffffff,4.0,0.0,0.0
843c1d1ffffffff,12.0,2.0,0.0
843c1d3ffffffff,158.0,8.0,0.0
843c1d7ffffffff,26.0,0.0,0.0
843c1dbffffffff,35.0,4.0,0.0
843c307ffffffff,2.0,0.0,0.0
843c315ffffffff,3.0,0.0,0.0
843c32bffffffff,2.0,0.0,0.0
843c337ffffffff,2.0,0.0,0.0
843c33bffffffff,67.0,2.0,0.0
843c521ffffffff,2.0,0.0,0.0
843c525ffffffff,13.0,0.0,0.0
843c527ffffffff,200.0,0.0,0.0
843c537ffffffff,2.0,0.0,0.0
843c581ffffffff,103.0,0.0,0.0
843c583ffffffff,12.0,0.0,0.0
843c585ffffffff,1.0,0.0,0.0
843c587ffffffff,33.0,0.0,0.0
843c589ffffffff,4.0,0.0,0.0
843c5a1ffffffff,161.0,0.0,0.0
843c5a3ffffffff,2.0,0.0,0.0
843c5a9ffffffff,3.0,0.0,0.0
843c5abffffffff,6.0,0.0,0.0
843c5adffffffff,12.0,0.0,0.0
843c5b1ffffffff,1.0,0.0,0.0
843c5b3ffffffff,2.0,0.0,0.0
843c5b7ffffffff,6.0,0.0,0.0
843c5b9ffffffff,16.0,0.0,0.0
843c5bbffffffff,2.0,0.0,0.0
843c5bdffffffff,126.0,0.0,0.0
843c5c1ffffffff,29.0,0.0,0.0
843c5c5ffffffff,6.0,0.0,0.0
