cell_id,Ammospiza nelsoni,Ammospiza nelsoni nelsoni/altera,Ammospiza nelsoni subvirgata
820e87fffffffff,120.0,0.0,0.0
820ec7fffffffff,34.0,1.0,0.0
820ecffffffffff,610.0,0.0,0.0
820ee7fffffffff,1.0,0.0,0.0
820eeffffffffff,1840.0,3.0,0.0
820ef7fffffffff,15.0,0.0,0.0
821217fffffffff,1.0,0.0,0.0
82121ffffffffff,32.0,0.0,0.0
82124ffffffffff,22.0,0.0,0.0
821257fffffffff,162.0,10.0,0.0
82125ffffffffff,143.0,2.0,0.0
821277fffffffff,1.0,0.0,0.0
8212c7fffffffff,315.0,21.0,0.0
8212cffffffffff,266.0,26.0,0.0
8212e7fffffffff,31.0,0.0,0.0
8212effffffffff,506.0,28.0,0.0
821357fffffffff,2.0,0.0,0.0
822607fffffffff,11.0,5.0,0.0
82260ffffffffff,44.0,2.0,0.0
822627fffffffff,57.0,1.0,0.0
82262ffffffffff,57.0,4.0,0.0
822637fffffffff,439.0,76.0,0.0
822647fffffffff,87.0,2.0,0.0
822657fffffffff,104.0,8.0,0.0
822667fffffffff,367.0,2.0,0.0
82266ffffffffff,11.0,0.0,0.0
822677fffffffff,32.0,6.0,0.0
8226e7fffffffff,132.0,8.0,0.0
822707fffffffff,154.0,0.0,0.0
82270ffffffffff,22.0,0.0,0.0
822717fffffffff,252.0,0.0,0.0
82271ffffffffff,296.0,43.0,0.0
822737fffffffff,1.0,0.0,0.0
822757fffffffff,25.0,4.0,0.0
82275ffffffffff,70.0,0.0,0.0
822787fffffffff,83.0,0.0,0.0
82278ffffffffff,5.0,1.0,0.0
8227a7fffffffff,144.0,0.0,0.0
8227affffffffff,513.0,95.0,0.0
8227b7fffffffff,15.0,0.0,0.0
822a07fffffffff,5.0,0.0,0.0
822a17fffffffff,932.0,23.0,96.0
822a37fffffffff,2182.0,66.0,644.0
822a97fffffffff,12.0,0.0,0.0
822a9ffffffffff,2.0,0.0,0.0
822aa7fffffffff,86.0,37.0,0.0
822aaffffffffff,1058.0,208.0,173.0
822ab7fffffffff,46.0,0.0,0.0
822ad7fffffffff,315.0,3.0,0.0
822af7fffffffff,965.0,84.0,73.0
822b07fffffffff,1054.0,0.0,81.0
822b0ffffffffff,1823.0,0.0,241.0
822b17fffffffff,1191.0,3.0,0.0
822b1ffffffffff,1551.0,0.0,206.0
822b27fffffffff,122.0,0.0,0.0
822b2ffffffffff,213.0,0.0,44.0
822b37fffffffff,201.0,0.0,0.0
822b9ffffffffff,32.0,0.0,0.0
822ba7fffffffff,10.0,0.0,0.0
822baffffffffff,140.0,0.0,0.0
824417fffffffff,98.0,0.0,0.0
82441ffffffffff,127.0,0.0,0.0
824447fffffffff,75.0,0.0,0.0
824457fffffffff,837.0,17.0,0.0
824467fffffffff,303.0,0.0,0.0
82446ffffffffff,1563.0,86.0,0.0
824477fffffffff,511.0,0.0,0.0
8244affffffffff,69.0,0.0,0.0
8244d7fffffffff,545.0,7.0,12.0
8244e7fffffffff,288.0,0.0,0.0
8244f7fffffffff,543.0,27.0,58.0
824897fffffffff,340.0,11.0,0.0
