cell_id,Ramphocaenus melanurus,Ramphocaenus melanurus [rufiventris Group],Ramphocaenus melanurus [melanurus Group]
8444249ffffffff,15.0,0.0,0.0
8445019ffffffff,16.0,0.0,0.0
844501bffffffff,4.0,0.0,0.0
8445053ffffffff,4.0,0.0,0.0
844505bffffffff,66.0,0.0,0.0
8445081ffffffff,4.0,0.0,0.0
8445083ffffffff,27.0,0.0,0.0
8445085ffffffff,23.0,1.0,0.0
8445087ffffffff,159.0,0.0,0.0
8445089ffffffff,3.0,0.0,0.0
844508dffffffff,36.0,0.0,0.0
84450a1ffffffff,344.0,1.0,0.0
84450a3ffffffff,114.0,0.0,0.0
84450a5ffffffff,25.0,0.0,0.0
84450a7ffffffff,6.0,0.0,0.0
84450a9ffffffff,25.0,2.0,0.0
84450abffffffff,38.0,4.0,0.0
84450b1ffffffff,1.0,0.0,0.0
84450b5ffffffff,27.0,0.0,0.0
84450bdffffffff,29.0,0.0,0.0
84450c1ffffffff,50.0,3.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,83.0,3.0,0.0
84450c7ffffffff,11.0,0.0,0.0
84450c9ffffffff,8.0,0.0,0.0
84450cdffffffff,42.0,10.0,0.0
84450d1ffffffff,1.0,0.0,0.0
84450d3ffffffff,5.0,0.0,0.0
84450d5ffffffff,24.0,0.0,0.0
84450ddffffffff,4.0,0.0,0.0
84450e1ffffffff,6.0,0.0,0.0
84450e3ffffffff,201.0,5.0,0.0
84450ebffffffff,165.0,31.0,0.0
8445203ffffffff,69.0,0.0,0.0
8445205ffffffff,19.0,1.0,0.0
8445207ffffffff,63.0,0.0,0.0
844520bffffffff,93.0,0.0,0.0
844520dffffffff,12.0,0.0,0.0
8445211ffffffff,23.0,0.0,0.0
8445213ffffffff,71.0,0.0,0.0
8445215ffffffff,626.0,13.0,0.0
8445217ffffffff,242.0,3.0,0.0
8445219ffffffff,4.0,0.0,0.0
844521bffffffff,5.0,0.0,0.0
844521dffffffff,110.0,0.0,0.0
8445221ffffffff,232.0,0.0,0.0
8445223ffffffff,1.0,0.0,0.0
8445225ffffffff,506.0,0.0,0.0
844522bffffffff,1.0,0.0,0.0
844522dffffffff,9.0,0.0,0.0
8445233ffffffff,902.0,25.0,0.0
844523bffffffff,101.0,0.0,0.0
8445249ffffffff,37.0,0.0,0.0
8445253ffffffff,4.0,0.0,0.0
8445257ffffffff,60.0,0.0,0.0
8445263ffffffff,184.0,6.0,0.0
844526bffffffff,29.0,0.0,0.0
8445281ffffffff,19.0,0.0,0.0
8445283ffffffff,8.0,3.0,0.0
8445285ffffffff,53.0,9.0,0.0
8445287ffffffff,56.0,11.0,0.0
8445289ffffffff,760.0,0.0,0.0
844528dffffffff,147.0,1.0,0.0
8445291ffffffff,9.0,2.0,0.0
8445297ffffffff,2.0,0.0,0.0
84452a1ffffffff,67.0,8.0,0.0
84452a3ffffffff,11.0,0.0,0.0
84452a5ffffffff,266.0,0.0,0.0
84452a7ffffffff,22.0,4.0,0.0
84452a9ffffffff,369.0,22.0,0.0
84452abffffffff,83.0,4.0,0.0
84452adffffffff,622.0,53.0,0.0
84452b5ffffffff,27.0,0.0,0.0
84452b9ffffffff,38.0,1.0,0.0
84452bdffffffff,80.0,8.0,0.0
84452c1ffffffff,55.0,5.0,0.0
84452c3ffffffff,586.0,40.0,0.0
84452c5ffffffff,89.0,13.0,0.0
84452c7ffffffff,455.0,27.0,0.0
84452c9ffffffff,44.0,11.0,0.0
84452cbffffffff,8.0,0.0,0.0
84452cdffffffff,8.0,0.0,0.0
84452d5ffffffff,22.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0
84452d9ffffffff,124.0,27.0,0.0
84452dbffffffff,34.0,0.0,0.0
84452ddffffffff,11.0,0.0,0.0
84452e1ffffffff,3069.0,99.0,0.0
84452e3ffffffff,409.0,16.0,0.0
84452e5ffffffff,1320.0,30.0,0.0
84452e7ffffffff,186.0,7.0,0.0
84452e9ffffffff,109.0,0.0,0.0
84452ebffffffff,856.0,102.0,0.0
84452edffffffff,161.0,0.0,0.0
8445303ffffffff,1.0,0.0,0.0
8445305ffffffff,32.0,0.0,0.0
8445307ffffffff,1.0,0.0,0.0
8445309ffffffff,11.0,0.0,0.0
844530dffffffff,1.0,0.0,0.0
8445319ffffffff,68.0,0.0,0.0
844532bffffffff,36.0,0.0,0.0
8445343ffffffff,40.0,0.0,0.0
844534dffffffff,7.0,0.0,0.0
8445351ffffffff,5.0,0.0,0.0
8445363ffffffff,14.0,0.0,0.0
8445365ffffffff,40.0,0.0,0.0
8445367ffffffff,14.0,0.0,0.0
8445649ffffffff,1.0,0.0,0.0
8445725ffffffff,3.0,0.0,0.0
8445767ffffffff,10.0,0.0,0.0
845f00bffffffff,4.0,0.0,0.0
845f011ffffffff,4.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f017ffffffff,3.0,0.0,0.0
845f01bffffffff,3.0,0.0,0.0
845f025ffffffff,1.0,0.0,0.0
845f035ffffffff,12.0,0.0,0.0
845f037ffffffff,1.0,0.0,0.0
845f03dffffffff,73.0,0.0,3.0
845f0d7ffffffff,12.0,0.0,0.0
845f105ffffffff,11.0,0.0,0.0
845f107ffffffff,2.0,0.0,0.0
845f10dffffffff,1.0,0.0,0.0
845f117ffffffff,2.0,0.0,0.0
845f12bffffffff,7.0,0.0,0.0
845f139ffffffff,1.0,0.0,0.0
845f13dffffffff,10.0,0.0,0.0
845f143ffffffff,10.0,0.0,0.0
845f155ffffffff,1.0,0.0,0.0
845f161ffffffff,9.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0
845f1cbffffffff,1.0,0.0,0.0
845f295ffffffff,25.0,0.0,0.0
845f299ffffffff,2.0,0.0,0.0
845f29dffffffff,1.0,0.0,0.0
845f2b1ffffffff,17.0,0.0,0.0
845f2b3ffffffff,34.0,0.0,0.0
845f2bbffffffff,195.0,0.0,0.0
845f2d7ffffffff,2.0,0.0,0.0
845f407ffffffff,6.0,0.0,0.0
845f415ffffffff,2.0,0.0,0.0
845f42bffffffff,16.0,0.0,1.0
845f483ffffffff,5.0,0.0,0.0
845f485ffffffff,1.0,0.0,0.0
845f487ffffffff,4.0,0.0,0.0
845f491ffffffff,17.0,0.0,0.0
845f4a3ffffffff,5.0,0.0,0.0
845f4a7ffffffff,5.0,0.0,0.0
845f4a9ffffffff,3.0,0.0,0.0
845f4abffffffff,7.0,0.0,0.0
845f4b9ffffffff,1.0,0.0,1.0
845f4bdffffffff,11.0,0.0,0.0
845f549ffffffff,48.0,0.0,0.0
845f581ffffffff,10.0,0.0,0.0
845f583ffffffff,625.0,0.0,0.0
845f587ffffffff,10.0,0.0,0.0
845f595ffffffff,20.0,0.0,0.0
845f5b9ffffffff,58.0,0.0,0.0
845f5d7ffffffff,5.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,15.0,0.0,0.0
845f689ffffffff,3.0,0.0,0.0
845f68bffffffff,35.0,0.0,0.0
845f711ffffffff,14.0,0.0,0.0
845f713ffffffff,12.0,0.0,0.0
845f717ffffffff,3.0,0.0,0.0
845f71bffffffff,1.0,0.0,0.0
845f759ffffffff,64.0,0.0,0.0
845f75dffffffff,11.0,0.0,0.0
845f767ffffffff,8.0,0.0,0.0
8466023ffffffff,2.0,0.0,0.0
8466037ffffffff,1.0,0.0,0.0
8466045ffffffff,49.0,0.0,0.0
8466061ffffffff,5.0,0.0,0.0
846606bffffffff,10.0,0.0,0.0
8466081ffffffff,8.0,0.0,0.0
8466089ffffffff,3.0,0.0,0.0
846608dffffffff,36.0,0.0,0.0
8466091ffffffff,1.0,0.0,0.0
8466097ffffffff,17.0,0.0,0.0
8466099ffffffff,13.0,0.0,0.0
84660a7ffffffff,4.0,0.0,0.0
84660b3ffffffff,3.0,0.0,0.0
84660c7ffffffff,2.0,0.0,0.0
84660cbffffffff,6.0,0.0,0.0
84660cdffffffff,5.0,0.0,0.0
84660d1ffffffff,20.0,0.0,0.0
84660d3ffffffff,2.0,0.0,0.0
84660d9ffffffff,11.0,0.0,0.0
84660ddffffffff,3.0,0.0,0.0
84660e5ffffffff,2.0,0.0,0.0
8466103ffffffff,2.0,0.0,0.0
8466105ffffffff,2.0,0.0,0.0
8466107ffffffff,107.0,6.0,0.0
846610bffffffff,4.0,0.0,0.0
846610dffffffff,9.0,0.0,0.0
8466113ffffffff,18.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
846611dffffffff,5.0,0.0,0.0
8466129ffffffff,42.0,3.0,0.0
8466131ffffffff,9.0,4.0,0.0
8466139ffffffff,40.0,2.0,0.0
846613bffffffff,7.0,0.0,0.0
846613dffffffff,6.0,0.0,0.0
8466163ffffffff,242.0,17.0,0.0
8466165ffffffff,184.0,26.0,0.0
8466167ffffffff,107.0,19.0,0.0
8466183ffffffff,26.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466191ffffffff,11.0,0.0,0.0
8466193ffffffff,77.0,0.0,0.0
8466195ffffffff,3.0,0.0,0.0
8466197ffffffff,2.0,0.0,0.0
8466199ffffffff,1.0,0.0,0.0
846619bffffffff,83.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0
84661b1ffffffff,10.0,0.0,0.0
84661b3ffffffff,49.0,0.0,0.0
84661b9ffffffff,27.0,0.0,0.0
84661bbffffffff,13.0,0.0,0.0
84661c1ffffffff,9.0,0.0,0.0
84661c3ffffffff,11.0,0.0,0.0
84661c9ffffffff,4.0,0.0,0.0
84661cbffffffff,19.0,0.0,0.0
84661cdffffffff,80.0,0.0,0.0
84661d1ffffffff,124.0,0.0,0.0
84661d3ffffffff,2.0,0.0,0.0
84661d9ffffffff,6.0,0.0,0.0
8466201ffffffff,11.0,2.0,0.0
8466203ffffffff,8.0,0.0,0.0
8466205ffffffff,115.0,7.0,0.0
846620bffffffff,43.0,0.0,0.0
8466211ffffffff,2.0,0.0,0.0
8466213ffffffff,2.0,0.0,0.0
8466217ffffffff,31.0,0.0,0.0
8466219ffffffff,3.0,0.0,0.0
8466225ffffffff,8.0,0.0,0.0
8466227ffffffff,66.0,4.0,0.0
846622bffffffff,425.0,2.0,0.0
8466231ffffffff,2.0,0.0,0.0
846623bffffffff,5.0,0.0,0.0
8466293ffffffff,5.0,0.0,0.0
846629bffffffff,8.0,0.0,0.0
846629dffffffff,8.0,0.0,0.0
84662b5ffffffff,1.0,0.0,0.0
84662b7ffffffff,15.0,0.0,0.0
84662d3ffffffff,5.0,0.0,0.0
84662d9ffffffff,1.0,0.0,0.0
84662e1ffffffff,2.0,0.0,0.0
84662e5ffffffff,7.0,0.0,0.0
8466313ffffffff,2.0,0.0,0.0
846631bffffffff,11.0,0.0,0.0
8466415ffffffff,43.0,0.0,0.0
846641dffffffff,1.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0
84664cbffffffff,1.0,0.0,0.0
8466529ffffffff,4.0,0.0,0.0
846652dffffffff,3.0,0.0,0.0
8466565ffffffff,4.0,0.0,0.0
846656dffffffff,43.0,0.0,0.0
846661dffffffff,3.0,0.0,0.0
8466637ffffffff,13.0,0.0,0.0
846663dffffffff,3.0,0.0,0.0
8466647ffffffff,2.0,0.0,0.0
84666b7ffffffff,1.0,0.0,0.0
84666b9ffffffff,4.0,0.0,0.0
84666c5ffffffff,5.0,0.0,0.0
84666e3ffffffff,3.0,0.0,0.0
84666ebffffffff,2.0,0.0,0.0
8466701ffffffff,1.0,0.0,0.0
846670dffffffff,8.0,0.0,0.0
8466725ffffffff,16.0,0.0,0.0
8466a01ffffffff,103.0,3.0,0.0
8466a05ffffffff,23.0,0.0,0.0
8466a09ffffffff,2.0,0.0,0.0
8466a0bffffffff,741.0,28.0,0.0
8466a1dffffffff,17.0,0.0,0.0
8466a23ffffffff,2.0,0.0,0.0
8466a25ffffffff,7.0,0.0,0.0
8466a2bffffffff,7.0,0.0,0.0
8466a2dffffffff,13.0,0.0,0.0
8466a31ffffffff,5.0,0.0,0.0
8466a33ffffffff,12.0,0.0,0.0
8466a37ffffffff,2.0,0.0,0.0
8466a3dffffffff,2.0,0.0,0.0
8466a51ffffffff,3495.0,332.0,0.0
8466a55ffffffff,12.0,0.0,0.0
8466a57ffffffff,330.0,7.0,0.0
8466a59ffffffff,35.0,0.0,0.0
8466a5bffffffff,358.0,25.0,0.0
8466a5dffffffff,71.0,6.0,0.0
8466a65ffffffff,308.0,3.0,0.0
8466b01ffffffff,179.0,0.0,0.0
8466b09ffffffff,158.0,0.0,0.0
8466b0bffffffff,320.0,0.0,0.0
8466b1dffffffff,20.0,3.0,0.0
8466b41ffffffff,208.0,0.0,0.0
8466b43ffffffff,205.0,0.0,0.0
8466b45ffffffff,156.0,0.0,0.0
8466b47ffffffff,161.0,0.0,0.0
8466b49ffffffff,949.0,0.0,0.0
8466b4bffffffff,53.0,0.0,0.0
8466b4dffffffff,315.0,0.0,0.0
8466b51ffffffff,160.0,0.0,0.0
8466b53ffffffff,47.0,0.0,0.0
8466b55ffffffff,464.0,0.0,0.0
8466b57ffffffff,35.0,0.0,0.0
8466b59ffffffff,156.0,1.0,0.0
8466b5bffffffff,133.0,11.0,0.0
8466b5dffffffff,14.0,0.0,0.0
8466b69ffffffff,34.0,0.0,0.0
8466c0dffffffff,1.0,0.0,0.0
8466c2bffffffff,4.0,0.0,0.0
8466c5bffffffff,8.0,0.0,0.0
8466c5dffffffff,34.0,0.0,0.0
8466cdbffffffff,2.0,0.0,0.0
8466d01ffffffff,5.0,0.0,0.0
8466d07ffffffff,5.0,2.0,0.0
8466d09ffffffff,3.0,0.0,0.0
8466d0bffffffff,4.0,0.0,0.0
8466d0dffffffff,2.0,0.0,0.0
8466d23ffffffff,12.0,1.0,0.0
8466d27ffffffff,13.0,1.0,0.0
8466d81ffffffff,31.0,0.0,1.0
8466da1ffffffff,1.0,0.0,0.0
8466db1ffffffff,3.0,0.0,1.0
8466dc3ffffffff,230.0,0.0,48.0
8466dc7ffffffff,10.0,0.0,0.0
8466dc9ffffffff,1.0,0.0,0.0
8466dcdffffffff,1.0,0.0,0.0
8466dd1ffffffff,2.0,0.0,0.0
8466dd5ffffffff,4.0,0.0,1.0
8466dd7ffffffff,2.0,0.0,0.0
8466dd9ffffffff,3.0,0.0,0.0
8466dddffffffff,2.0,0.0,0.0
8466de3ffffffff,51.0,0.0,6.0
8466de7ffffffff,2.0,0.0,0.0
8466debffffffff,2.0,0.0,1.0
8466e01ffffffff,2.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0
8466e0bffffffff,39.0,0.0,0.0
8466e0dffffffff,39.0,0.0,0.0
8466e11ffffffff,18.0,0.0,0.0
8466e15ffffffff,24.0,0.0,0.0
8466e17ffffffff,2.0,0.0,0.0
8466e1dffffffff,1.0,0.0,0.0
8466e2bffffffff,10.0,0.0,0.0
8466e31ffffffff,2.0,0.0,0.0
8466e39ffffffff,4.0,0.0,0.0
8466e3bffffffff,47.0,0.0,0.0
8466e41ffffffff,254.0,0.0,0.0
8466e45ffffffff,13.0,0.0,0.0
8466e47ffffffff,26.0,0.0,0.0
8466e49ffffffff,4.0,0.0,0.0
8466e4dffffffff,3.0,0.0,0.0
8466e51ffffffff,11.0,0.0,0.0
8466e57ffffffff,174.0,0.0,0.0
8466e59ffffffff,30.0,0.0,0.0
8466e65ffffffff,15.0,0.0,0.0
8466e67ffffffff,5.0,0.0,0.0
8466e69ffffffff,37.0,0.0,0.0
8466e6bffffffff,7.0,0.0,0.0
8466e6dffffffff,462.0,0.0,0.0
8466eadffffffff,2.0,0.0,0.0
8466ec1ffffffff,6.0,0.0,0.0
8466ec5ffffffff,14.0,0.0,0.0
8466ec7ffffffff,23.0,0.0,0.0
8466ec9ffffffff,2.0,0.0,0.0
8466ecbffffffff,139.0,0.0,0.0
8466ecdffffffff,2.0,0.0,0.0
8466ee5ffffffff,218.0,0.0,0.0
8466ee7ffffffff,3.0,0.0,0.0
8466f03ffffffff,14.0,0.0,0.0
8466f0bffffffff,10.0,0.0,0.0
8466f15ffffffff,29.0,0.0,0.0
8466f17ffffffff,1.0,0.0,0.0
8466f19ffffffff,27.0,0.0,0.0
8466f1dffffffff,163.0,0.0,0.0
8466f35ffffffff,3.0,0.0,0.0
8466f53ffffffff,50.0,0.0,0.0
8466f57ffffffff,81.0,0.0,0.0
8466f59ffffffff,6.0,0.0,0.0
8466f5bffffffff,1.0,0.0,0.0
8467413ffffffff,803.0,0.0,6.0
8467417ffffffff,8.0,0.0,0.0
8467425ffffffff,158.0,0.0,0.0
8467427ffffffff,2.0,0.0,0.0
846742dffffffff,6.0,0.0,0.0
8467433ffffffff,86.0,0.0,0.0
8467437ffffffff,70.0,0.0,2.0
846743bffffffff,62.0,0.0,0.0
846743dffffffff,4.0,0.0,1.0
84674a7ffffffff,12.0,0.0,0.0
84674c1ffffffff,22.0,0.0,0.0
84674c5ffffffff,763.0,0.0,32.0
84674c7ffffffff,7.0,0.0,0.0
84674cdffffffff,163.0,0.0,3.0
84674e1ffffffff,60.0,0.0,0.0
84674e5ffffffff,11.0,0.0,0.0
84674e9ffffffff,65.0,0.0,0.0
84674ebffffffff,32.0,0.0,0.0
84674edffffffff,45.0,0.0,1.0
8467519ffffffff,34.0,0.0,0.0
8467531ffffffff,12.0,0.0,0.0
8467537ffffffff,8.0,0.0,0.0
8467539ffffffff,18.0,0.0,0.0
846753bffffffff,1.0,0.0,0.0
8467551ffffffff,2.0,0.0,0.0
8467553ffffffff,12.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0
8467599ffffffff,7.0,0.0,0.0
84675a1ffffffff,2.0,0.0,0.0
84675a5ffffffff,26.0,0.0,6.0
84675a9ffffffff,3.0,0.0,0.0
84675abffffffff,13.0,0.0,0.0
84675adffffffff,1.0,0.0,0.0
