cell_id,Spilornis cheela,Spilornis cheela [cheela Group],Spilornis cheela davisoni,Spilornis cheela minimus,Spilornis cheela perplexus,Spilornis cheela natunensis,Spilornis cheela abbotti,Spilornis cheela asturinus,Spilornis cheela sipora,Spilornis cheela baweanus
84309a5ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c02dffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c065ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c159ffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c199ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c19bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c36bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c527ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c581ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c5a1ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c8c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c8c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c8dbffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c8e5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c909ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c943ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cab1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cb4dffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce15ffffffff,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce45ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce4dffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce57ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce5bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce5dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843cec1ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
