cell_id,Emberiza cineracea,Emberiza cineracea cineracea,Emberiza cineracea semenowi
821edffffffffff,157.0,13.0,0.0
822c07fffffffff,5.0,0.0,0.0
822c17fffffffff,13.0,0.0,0.0
822c37fffffffff,7.0,0.0,0.0
822c97fffffffff,51.0,0.0,23.0
822caffffffffff,6.0,0.0,0.0
822d1ffffffffff,2.0,0.0,0.0
822d97fffffffff,1.0,0.0,0.0
822daffffffffff,187.0,1.0,56.0
822db7fffffffff,105.0,12.0,0.0
823e6ffffffffff,5.0,0.0,0.0
823f67fffffffff,7.0,0.0,0.0
825207fffffffff,2.0,0.0,0.0
825237fffffffff,1.0,0.0,0.0
825367fffffffff,6.0,0.0,2.0
82536ffffffffff,2.0,0.0,0.0
