cell_id,Ramphastos ambiguus,Ramphastos ambiguus swainsonii,Ramphastos ambiguus ambiguus/abbreviatus
82660ffffffffff,5.0,5.0,0.0
826617fffffffff,7.0,7.0,0.0
82661ffffffffff,17.0,11.0,0.0
82662ffffffffff,8.0,0.0,0.0
8266a7fffffffff,53.0,12.0,0.0
8266b7fffffffff,1100.0,1074.0,0.0
8266c7fffffffff,29.0,0.0,2.0
8266d7fffffffff,14.0,8.0,0.0
8266dffffffffff,11.0,0.0,3.0
8266f7fffffffff,13.0,6.0,4.0
826797fffffffff,8.0,0.0,0.0
82679ffffffffff,208.0,203.0,0.0
826d67fffffffff,2.0,0.0,0.0
826d6ffffffffff,2015.0,1977.0,0.0
828f0ffffffffff,10.0,3.0,0.0
