cell_id,Numida meleagris,Numida meleagris sabyi,Numida meleagris galeatus,Numida meleagris meleagris/somaliensis,Numida meleagris reichenowi,Numida meleagris [mitratus Group]
831253fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83185bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831908fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831943fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831948fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83194afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83194cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831958fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831959fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83195efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831973fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831ed2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83260afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832621fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83262cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
832641fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832649fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832652fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832664fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832689fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83268dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832696fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83269cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8326a5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8326a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326c1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326cbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326defffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326e3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8326e5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326f1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832709fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832749fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832753fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832756fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832758fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83275bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83275cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83275dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83276efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8327a9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832802fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832830fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832832fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832834fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
832836fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83288dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83289bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8328b1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328b2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8328b6fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8328c6fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8328d1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832986fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8329a0fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8329a1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8329a4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8329a5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8329adfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8329aefffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8329b6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832a10fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832a12fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832a13fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
832a14fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832a15fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
832a16fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832a30fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832a31fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832a33fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832a34fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832a36fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832a85fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832a88fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832a8afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832a8cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832a8efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832a95fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832aa1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832aa3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832aa4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832aa9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832aaafffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832aabfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832aadfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
832ab1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832af6fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832b0cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832b18fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832b83fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832b88fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832b89fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832b8efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832b9afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832b9bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
