cell_id,Laniarius fuelleborni,Laniarius fuelleborni usambaricus,Laniarius fuelleborni fuelleborni
847b487ffffffff,6.0,3.0,0.0
847b4b1ffffffff,8.0,0.0,0.0
847b4b9ffffffff,176.0,71.0,0.0
847b4bdffffffff,2.0,1.0,0.0
847b4dbffffffff,26.0,0.0,0.0
8496a03ffffffff,4.0,0.0,0.0
8496a05ffffffff,1.0,0.0,0.0
8496a2dffffffff,1.0,0.0,0.0
8496a39ffffffff,2.0,0.0,0.0
8496a4bffffffff,2.0,0.0,0.0
8496a59ffffffff,1.0,0.0,0.0
8496a5dffffffff,47.0,0.0,1.0
8496b09ffffffff,46.0,0.0,0.0
8496b0dffffffff,1.0,0.0,0.0
8496b21ffffffff,11.0,0.0,0.0
8496b2bffffffff,9.0,0.0,0.0
8496b43ffffffff,1.0,0.0,0.0
8496b51ffffffff,1.0,0.0,0.0
8496b53ffffffff,1.0,0.0,0.0
8496b55ffffffff,24.0,0.0,0.0
8496b57ffffffff,3.0,0.0,0.0
8496b5bffffffff,3.0,0.0,0.0
8496b67ffffffff,16.0,0.0,0.0
8497895ffffffff,5.0,0.0,0.0
84978b7ffffffff,1.0,0.0,0.0
