cell_id,Dendrocolaptes certhia,Dendrocolaptes certhia radiolatus,Dendrocolaptes certhia certhia,Dendrocolaptes certhia juruanus/polyzonus,Dendrocolaptes certhia concolor,Dendrocolaptes certhia ridgwayi,Dendrocolaptes certhia retentus,Dendrocolaptes certhia medius
825f07fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
825f4ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
82665ffffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266effffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828047fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
828067fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
828077fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
828147fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
82814ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
82815ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
828167fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
828187fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
828a07fffffffff,8.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0
828a17fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
828a27fffffffff,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
828a6ffffffffff,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
828a87fffffffff,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
828a97fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
828a9ffffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
828af7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
828b47fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
828b87fffffffff,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
828b9ffffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
828f77fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
